/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_e2_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R    40.11 | 배송  9/50 | 미활동 1 | 2홉+ 0.20 | 도달  591 | 차단   45
Ep 2 | Step 1000 | R    46.83 | 배송  9/50 | 미활동 1 | 2홉+ 0.29 | 도달  795 | 차단   55
Ep 3 | Step 1000 | R    17.13 | 배송  8/50 | 미활동 2 | 2홉+ 0.28 | 도달  649 | 차단   12
Ep 4 | Step 1000 | R    40.29 | 배송 10/50 | 미활동 1 | 2홉+ 0.30 | 도달  893 | 차단  354
Ep 5 | Step 1000 | R    65.81 | 배송 10/50 | 미활동 1 | 2홉+ 0.28 | 도달  661 | 차단  131
Ep 6 | Step 1000 | R   -51.17 | 배송  0/50 | 미활동 4 | 2홉+ 0.09 | 도달  514 | 차단    4
Ep 7 | Step 1000 | R    78.54 | 배송 11/50 | 미활동 1 | 2홉+ 0.18 | 도달  707 | 차단   58
Ep 8 | Step 1000 | R   126.02 | 배송 16/50 | 미활동 0 | 2홉+ 0.38 | 도달  797 | 차단  175
Ep 9 | Step 1000 | R   101.53 | 배송 12/50 | 미활동 0 | 2홉+ 0.33 | 도달  803 | 차단  189
Ep 10 | Step 1000 | R   192.08 | 배송 20/50 | 미활동 0 | 2홉+ 0.46 | 도달  807 | 차단  157
Ep 11 | Step 1000 | R   119.16 | 배송 15/50 | 미활동 0 | 2홉+ 0.54 | 도달  995 | 차단  887
Ep 12 | Step 1000 | R   149.15 | 배송 17/50 | 미활동 0 | 2홉+ 0.50 | 도달  960 | 차단  301
Ep 13 | Step 1000 | R   159.90 | 배송 20/50 | 미활동 0 | 2홉+ 0.48 | 도달  822 | 차단  573
Ep 14 | Step 1000 | R   137.39 | 배송 17/50 | 미활동 0 | 2홉+ 0.51 | 도달 1040 | 차단  550
Ep 15 | Step 1000 | R   129.77 | 배송 17/50 | 미활동 0 | 2홉+ 0.57 | 도달  768 | 차단  464
