episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,13.8333,4.0586,0.3333,0.625,987.5157,0,1,50000,639.0
100,8.0,3.873,1.0,0.5933,890.4182,0,0,100000,1330.2
150,14.8333,2.8529,0.0,0.5072,889.4341,0,1,150000,2022.2
200,10.6667,2.8674,0.3333,0.5192,749.5379,0,0,200000,2715.9
250,15.5,2.6926,0.0,0.4276,825.1715,0,1,250000,3408.7
300,12.6667,2.357,0.0,0.3894,880.457,0,0,300000,4101.9
350,10.5,3.594,0.5,0.4076,885.4969,0,0,350000,4800.5
400,9.5,2.8723,0.5,0.3575,807.1396,0,0,400000,5492.6
450,9.6667,4.15,0.5,0.4299,684.0113,0,0,450000,6193.3
500,14.6667,2.4944,0.5,0.2665,763.2129,0,0,500000,6886.9
550,14.3333,4.9216,0.5,0.207,741.5617,0,0,550000,7593.9
600,13.5,4.4628,0.3333,0.3065,717.9191,0,0,600000,8300.5
650,11.0,2.6458,0.5,0.4185,858.5431,0,0,650000,8998.7
700,16.1667,3.5785,0.0,0.2661,734.0427,0,1,700000,9696.3
750,11.1667,4.2197,0.6667,0.2032,718.0345,0,0,750000,10400.5
800,9.6667,5.9628,1.0,0.3557,781.0085,0,0,800000,11061.1
850,8.6667,2.8674,1.0,0.2918,710.5762,0,0,850000,11669.2
900,9.8333,3.0777,0.6667,0.2445,675.2585,0,0,900000,12247.3
950,8.3333,2.4267,0.8333,0.1838,610.5846,0,0,950000,12797.2
1000,10.0,3.7859,0.6667,0.2616,622.938,0,0,1000000,13341.1
1050,12.0,2.8284,0.5,0.2942,731.2279,0,0,1050000,13884.7
1100,10.3333,2.9814,0.8333,0.1452,697.2187,0,0,1100000,14432.0
1150,10.1667,2.1922,0.8333,0.2653,650.0431,0,0,1150000,14976.1
1200,11.8333,2.7335,0.5,0.1505,729.3033,0,0,1200000,15474.1
1250,12.1667,2.4777,0.5,0.1975,681.6671,0,0,1250000,15885.7
1300,7.8333,2.1148,1.1667,0.1426,626.4929,0,0,1300000,16298.1
1350,7.8333,3.7156,1.5,0.1785,649.5519,0,0,1350000,16710.8
1400,10.0,2.0,0.6667,0.1273,635.5015,0,0,1400000,17025.4
1450,4.0,1.5275,1.8333,0.2214,663.2716,0,0,1450000,17333.1
