episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,-110.7236,1,0.02,,3,0,1,0.433,0,28,0.3412,673.2,544,0,0.1,nan,nan,1000,2.5
2,1000,-71.5129,1,0.02,,3,0,1,0.433,0,54,0.3448,948.8,870,0,0.1,nan,nan,2000,4.8
3,1000,-115.7419,0,0.0,,4,0,0,0.0,0,154,0.302,800.4,0,0,0.1,nan,nan,3000,7.2
4,1000,-112.9627,0,0.0,,4,0,0,0.0,0,56,0.2223,714.0,0,0,0.1,nan,nan,4000,9.7
5,1000,-81.0732,2,0.04,,3,0,2,0.866,0,27,0.2948,714.4,448,0,0.1,nan,nan,5000,12.3
6,1000,83.5456,15,0.3,,0,2,5,1.0897,0,0,0.1827,1015.4,973,0,0.08617,0.045946,-0.875336,6000,26.0
7,1000,104.8943,16,0.32,,0,3,5,0.7071,0,477,0.5583,1073.5,406,0,0.075428,1.188355,-0.746161,7000,39.9
8,1000,28.4682,7,0.14,,1,0,3,1.0897,0,2034,0.7035,1073.5,329,0,0.072066,1.290786,-1.105869,8000,53.9
9,1000,86.8848,13,0.26,,0,1,5,1.479,0,1497,0.6505,1062.9,998,0,0.068778,0.307479,-2.872887,9000,67.3
10,1000,115.0066,18,0.36,,0,3,5,0.866,0,602,0.6943,1002.9,914,0,0.062891,1.542722,-3.207081,10000,81.1
11,1000,84.401,12,0.24,,0,1,5,1.5811,0,797,0.6877,1073.5,998,0,0.056861,0.644047,-4.174061,11000,95.2
12,1000,84.7256,12,0.24,,0,1,5,1.5811,0,314,0.7023,1073.5,728,0,0.05364,0.738192,-5.481098,12000,108.8
13,1000,60.9914,12,0.24,,0,2,5,1.2247,0,1413,0.6823,1073.5,530,0,0.05216,1.128998,-6.408764,13000,122.6
14,1000,90.6909,12,0.24,,1,0,5,2.1213,0,1334,0.5665,998.6,989,0,0.051625,1.302795,-7.334997,14000,136.4
15,1000,120.6597,15,0.3,,0,1,5,1.6394,0,141,0.691,996.8,636,0,0.053043,1.585464,-7.542341,15000,150.5
16,1000,146.041,17,0.34,,0,2,5,1.299,0,1166,0.602,977.6,774,0,0.055017,1.085232,-6.917424,16000,164.6
17,1000,133.1271,17,0.34,,0,2,5,1.299,0,897,0.5543,1009.2,813,0,0.055909,0.684354,-7.621619,17000,177.8
18,1000,150.4258,17,0.34,,0,3,5,0.8292,0,174,0.672,995.4,962,0,0.057835,1.151638,-9.116672,18000,191.4
19,1000,119.9713,16,0.32,,0,1,5,1.7321,0,388,0.67,1073.5,970,0,0.058405,1.874537,-10.06588,19000,205.1
20,1000,134.2453,17,0.34,,0,3,5,0.8292,0,1072,0.5302,1022.0,881,0,0.055661,1.491261,-10.597898,20000,218.6
21,1000,165.2789,19,0.38,,0,4,5,0.433,0,760,0.6325,1046.8,924,0,0.054438,1.902164,-13.252274,21000,232.0
22,1000,140.838,18,0.36,,0,3,5,0.866,0,797,0.6833,1073.5,597,0,0.054206,1.021574,-11.986073,22000,245.8
23,1000,123.2336,15,0.3,,1,0,5,2.1651,0,767,0.6877,1073.5,745,0,0.053475,1.187977,-14.392406,23000,259.2
24,1000,130.3487,17,0.34,,0,2,5,1.299,0,853,0.6657,1073.5,221,0,0.051042,0.617205,-14.200769,24000,274.0
25,1000,145.7588,17,0.34,,0,3,5,0.8292,0,514,0.6697,1073.5,934,0,0.052869,1.189527,-14.938678,25000,287.5
26,1000,159.6514,18,0.36,,0,3,5,0.866,0,324,0.5393,1073.5,943,0,0.052392,2.364882,-15.666963,26000,301.1
27,1000,81.5714,12,0.24,,0,1,5,1.5811,0,1557,0.6943,1056.3,825,0,0.053544,2.064146,-15.274508,27000,314.5
28,1000,119.3215,15,0.3,,0,1,5,1.6394,0,858,0.652,1002.3,911,0,0.057741,1.443403,-16.083729,28000,327.9
29,1000,154.187,20,0.4,,0,5,5,0.0,0,916,0.6438,1040.1,308,0,0.057553,1.774027,-15.331367,29000,341.6
30,1000,113.564,14,0.28,,0,2,5,1.5,0,420,0.565,1073.5,664,0,0.058012,1.599202,-15.883307,30000,355.2
31,1000,94.9413,14,0.28,,0,1,5,1.6583,0,1402,0.6813,1073.5,273,0,0.057888,2.687109,-17.107922,31000,368.8
32,1000,111.8515,14,0.28,,0,2,5,1.5,0,466,0.511,1068.9,677,0,0.05907,1.815368,-17.485458,32000,382.5
33,1000,127.2246,16,0.32,,0,1,5,1.7321,0,504,0.6158,1037.2,830,0,0.059356,1.716985,-18.38245,33000,395.8
34,1000,123.4066,16,0.32,,0,1,5,1.7321,0,788,0.5018,999.4,304,0,0.057616,1.01227,-16.915264,34000,409.4
35,1000,138.4669,17,0.34,,0,3,5,0.8292,0,1024,0.6308,1073.5,753,0,0.053133,1.001612,-17.768803,35000,422.8
36,1000,60.3317,11,0.22,,0,1,5,1.479,0,1175,0.626,1073.5,410,0,0.051128,1.102508,-19.480934,36000,436.2
37,1000,159.6464,19,0.38,,0,4,5,0.433,0,296,0.669,1060.6,509,0,0.050492,2.604781,-21.547005,37000,449.7
38,1000,162.2402,18,0.36,,0,3,5,0.866,0,230,0.6695,1073.5,967,0,0.049069,1.374734,-20.4342,38000,463.3
39,1000,133.688,17,0.34,,0,3,5,0.8292,0,710,0.6773,1073.5,907,0,0.048164,1.67503,-20.272573,39000,476.8
40,1000,161.7516,20,0.4,,0,5,5,0.0,0,503,0.6228,1009.0,572,0,0.04604,0.648867,-19.594692,40000,490.2
41,1000,220.823,21,0.42,,0,5,6,0.433,1,530,0.557,937.1,808,0,0.047754,1.371927,-20.98999,41000,503.6
42,1000,133.3296,18,0.36,,0,3,5,0.866,0,779,0.66,1050.9,856,0,0.048315,1.19514,-20.408232,42000,517.3
43,1000,172.8968,20,0.4,,0,5,5,0.0,0,294,0.6155,1073.5,907,0,0.047702,1.901413,-21.033119,43000,530.5
44,1000,156.9276,20,0.4,,0,5,5,0.0,0,538,0.6675,1073.5,364,0,0.045372,1.463739,-22.184338,44000,543.6
45,1000,167.1885,20,0.4,,0,5,5,0.0,0,608,0.6713,1036.1,680,0,0.045496,2.038883,-20.443558,45000,557.4
46,1000,153.663,18,0.36,,0,3,5,0.866,0,216,0.6432,1071.9,528,0,0.044892,1.380947,-21.902407,46000,570.6
47,1000,128.6783,16,0.32,,0,2,5,1.2247,0,624,0.5835,1042.4,911,0,0.044195,1.51144,-20.55916,47000,584.9
48,1000,120.755,17,0.34,,0,3,5,0.8292,0,1476,0.664,1073.5,961,0,0.044809,2.763573,-20.036114,48000,598.1
49,1000,149.9983,19,0.38,,0,4,5,0.433,0,372,0.6168,1054.8,564,0,0.04528,1.217874,-20.422417,49000,611.1
50,1000,125.1683,16,0.32,,0,3,5,1.0,0,1027,0.6733,1039.0,911,0,0.045095,1.516615,-20.94965,50000,624.0
51,1000,83.1383,13,0.26,,0,1,5,1.7854,0,1021,0.6925,984.3,161,0,0.043928,1.442611,-21.071836,51000,652.6
52,1000,218.9638,21,0.42,,0,4,7,1.0897,1,851,0.5995,997.1,866,0,0.043047,0.64274,-21.095352,52000,666.3
53,1000,168.2181,20,0.4,,0,5,5,0.0,0,333,0.5517,1073.5,371,0,0.041994,1.864748,-20.439304,53000,679.6
54,1000,168.5294,19,0.38,,0,4,5,0.433,0,100,0.6238,1002.6,527,0,0.041095,0.863638,-19.820011,54000,693.4
55,1000,133.3583,16,0.32,,0,1,5,1.7321,0,715,0.5413,1010.9,343,0,0.040354,1.096875,-20.085384,55000,706.9
56,1000,98.7657,13,0.26,,0,1,5,1.7854,0,679,0.642,1057.4,530,0,0.039957,1.56352,-20.713074,56000,720.3
57,1000,132.3878,16,0.32,,0,3,5,1.0,0,611,0.654,1073.5,974,0,0.039936,1.020794,-20.61454,57000,734.3
58,1000,110.7467,14,0.28,,1,0,5,2.0616,0,1009,0.5182,1061.2,289,0,0.038918,1.307041,-21.603497,58000,748.0
59,1000,156.5723,19,0.38,,0,4,5,0.433,0,591,0.6322,999.5,824,0,0.036893,0.508168,-18.711792,59000,761.6
60,1000,151.5824,17,0.34,,0,2,5,1.299,0,285,0.581,1070.5,783,0,0.036178,0.674162,-19.204,60000,775.4
61,1000,148.0627,18,0.36,,0,3,5,0.866,0,478,0.5813,1073.5,650,0,0.035819,1.087012,-19.370785,61000,788.6
62,1000,139.94,17,0.34,,0,3,5,0.8292,0,372,0.6823,1073.5,892,0,0.035142,0.624756,-19.609203,62000,802.1
63,1000,147.3474,19,0.38,,0,4,5,0.433,0,820,0.6717,991.7,988,0,0.035092,1.200932,-19.493839,63000,816.3
64,1000,146.8654,18,0.36,,0,3,5,0.866,0,553,0.6615,1063.1,402,0,0.034521,1.077417,-21.864119,64000,829.5
65,1000,162.8673,19,0.38,,0,4,5,0.433,0,269,0.6258,1036.0,1000,0,0.034469,0.811052,-22.149088,65000,842.8
66,1000,117.7259,15,0.3,,1,0,5,2.1651,0,1032,0.476,962.4,911,0,0.033453,0.885864,-20.778587,66000,856.6
67,1000,133.0745,17,0.34,,0,2,5,1.299,0,668,0.5292,1009.1,344,0,0.032297,0.956773,-20.556492,67000,870.0
68,1000,185.4267,20,0.4,,0,5,5,0.0,0,243,0.5212,1011.0,767,0,0.031937,0.9909,-19.490074,68000,883.5
69,1000,197.4978,19,0.38,,0,4,5,0.433,1,991,0.4587,1027.0,947,0,0.031991,1.12184,-18.725758,69000,896.9
70,1000,144.1502,17,0.34,,0,2,5,1.299,0,317,0.5873,966.4,989,0,0.0314,0.435397,-20.65657,70000,910.4
71,1000,176.4116,20,0.4,,0,5,5,0.0,0,220,0.5942,1039.2,762,0,0.030809,0.957249,-18.382851,71000,923.7
72,1000,118.0059,15,0.3,,1,0,5,2.1651,0,520,0.524,1009.2,486,0,0.030721,0.959625,-20.037985,72000,936.9
73,1000,151.8763,18,0.36,,0,3,5,0.866,0,730,0.475,999.6,765,0,0.03049,0.950392,-19.765743,73000,950.2
74,1000,87.7177,12,0.24,,1,0,5,1.8708,0,581,0.575,1036.1,742,0,0.030703,0.809533,-19.872631,74000,964.1
75,1000,170.0066,20,0.4,,0,5,5,0.0,0,224,0.525,965.9,863,0,0.030906,0.830782,-19.472881,75000,977.2
76,1000,148.4331,17,0.34,,0,2,5,1.299,0,468,0.4768,955.5,825,0,0.030519,1.138455,-20.112597,76000,990.6
77,1000,164.9178,19,0.38,,0,4,5,0.433,0,381,0.4615,962.2,928,0,0.029993,3.379011,-20.887232,77000,1003.7
78,1000,142.0165,17,0.34,,0,2,5,1.299,0,931,0.7005,1073.5,689,0,0.029578,2.492662,-19.31118,78000,1017.7
79,1000,108.8923,14,0.28,,0,2,5,1.118,0,24,0.6915,1070.2,911,0,0.028942,2.310764,-18.920834,79000,1031.4
80,1000,144.1669,16,0.32,,0,1,5,1.7321,0,326,0.475,1073.5,477,0,0.028416,0.615401,-19.56711,80000,1045.8
81,1000,151.9799,18,0.36,,0,4,5,0.5,0,142,0.6867,1067.4,895,0,0.027872,0.702142,-19.537189,81000,1060.0
82,1000,127.9542,16,0.32,,0,3,5,1.0,0,966,0.589,1034.4,786,0,0.028106,1.086062,-18.149494,82000,1073.3
83,1000,126.6265,16,0.32,,0,3,5,1.0,0,813,0.5282,1073.5,955,0,0.027513,0.654995,-19.709949,83000,1086.9
84,1000,154.3447,18,0.36,,0,3,5,0.866,0,964,0.5515,1062.2,927,0,0.027096,0.77792,-19.016651,84000,1100.9
85,1000,93.7153,12,0.24,,0,1,5,1.4142,0,659,0.6793,1073.5,889,0,0.026481,0.799485,-19.228189,85000,1114.5
86,1000,138.4917,16,0.32,,0,1,5,1.7321,0,656,0.5192,1031.2,885,0,0.025601,0.831373,-19.176086,86000,1128.1
87,1000,133.6847,16,0.32,,0,1,5,1.7321,0,255,0.5705,1073.5,531,0,0.024947,0.998109,-20.294838,87000,1141.3
88,1000,157.753,19,0.38,,0,4,5,0.433,0,726,0.4635,976.8,983,0,0.024479,0.598501,-20.396688,88000,1154.5
89,1000,175.993,20,0.4,,0,5,5,0.0,0,759,0.653,1011.3,753,0,0.024436,0.769518,-17.99329,89000,1168.2
90,1000,182.4369,20,0.4,,0,5,5,0.0,0,246,0.495,1068.9,641,0,0.024172,0.628865,-18.119865,90000,1181.2
91,1000,143.1178,17,0.34,,0,2,5,1.299,0,463,0.4545,1073.5,558,0,0.024157,0.590208,-17.820349,91000,1194.7
92,1000,175.2004,20,0.4,,0,5,5,0.0,0,455,0.6573,1073.5,831,0,0.023658,0.756047,-18.62829,92000,1208.6
93,1000,151.0423,19,0.38,,0,4,5,0.433,0,794,0.544,1071.2,685,0,0.023355,0.541626,-19.951534,93000,1222.0
94,1000,184.0129,20,0.4,,0,5,5,0.0,0,162,0.5587,988.0,758,0,0.02319,0.595863,-20.157545,94000,1235.6
