/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_e3_obs
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=3
obs_dim=23, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R  -110.72 | 배송  1/50 | 미활동 3 | 2홉+ 0.34 | 도달  673 | 차단   28
Ep 2 | Step 1000 | R   -71.51 | 배송  1/50 | 미활동 3 | 2홉+ 0.34 | 도달  949 | 차단   54
Ep 3 | Step 1000 | R  -115.74 | 배송  0/50 | 미활동 4 | 2홉+ 0.30 | 도달  800 | 차단  154
Ep 4 | Step 1000 | R  -112.96 | 배송  0/50 | 미활동 4 | 2홉+ 0.22 | 도달  714 | 차단   56
Ep 5 | Step 1000 | R   -81.07 | 배송  2/50 | 미활동 3 | 2홉+ 0.29 | 도달  714 | 차단   27
Ep 6 | Step 1000 | R    83.55 | 배송 15/50 | 미활동 0 | 2홉+ 0.18 | 도달 1015 | 차단    0
Ep 7 | Step 1000 | R   104.89 | 배송 16/50 | 미활동 0 | 2홉+ 0.56 | 도달 1074 | 차단  477
Ep 8 | Step 1000 | R    28.47 | 배송  7/50 | 미활동 1 | 2홉+ 0.70 | 도달 1074 | 차단 2034
Ep 9 | Step 1000 | R    86.88 | 배송 13/50 | 미활동 0 | 2홉+ 0.65 | 도달 1063 | 차단 1497
Ep 10 | Step 1000 | R   115.01 | 배송 18/50 | 미활동 0 | 2홉+ 0.69 | 도달 1003 | 차단  602
Ep 11 | Step 1000 | R    84.40 | 배송 12/50 | 미활동 0 | 2홉+ 0.69 | 도달 1074 | 차단  797
Ep 12 | Step 1000 | R    84.73 | 배송 12/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단  314
Ep 13 | Step 1000 | R    60.99 | 배송 12/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단 1413
Ep 14 | Step 1000 | R    90.69 | 배송 12/50 | 미활동 1 | 2홉+ 0.57 | 도달  999 | 차단 1334
Ep 15 | Step 1000 | R   120.66 | 배송 15/50 | 미활동 0 | 2홉+ 0.69 | 도달  997 | 차단  141
Ep 16 | Step 1000 | R   146.04 | 배송 17/50 | 미활동 0 | 2홉+ 0.60 | 도달  978 | 차단 1166
Ep 17 | Step 1000 | R   133.13 | 배송 17/50 | 미활동 0 | 2홉+ 0.55 | 도달 1009 | 차단  897
Ep 18 | Step 1000 | R   150.43 | 배송 17/50 | 미활동 0 | 2홉+ 0.67 | 도달  995 | 차단  174
Ep 19 | Step 1000 | R   119.97 | 배송 16/50 | 미활동 0 | 2홉+ 0.67 | 도달 1074 | 차단  388
Ep 20 | Step 1000 | R   134.25 | 배송 17/50 | 미활동 0 | 2홉+ 0.53 | 도달 1022 | 차단 1072
Ep 21 | Step 1000 | R   165.28 | 배송 19/50 | 미활동 0 | 2홉+ 0.63 | 도달 1047 | 차단  760
Ep 22 | Step 1000 | R   140.84 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단  797
Ep 23 | Step 1000 | R   123.23 | 배송 15/50 | 미활동 1 | 2홉+ 0.69 | 도달 1074 | 차단  767
Ep 24 | Step 1000 | R   130.35 | 배송 17/50 | 미활동 0 | 2홉+ 0.67 | 도달 1074 | 차단  853
Ep 25 | Step 1000 | R   145.76 | 배송 17/50 | 미활동 0 | 2홉+ 0.67 | 도달 1074 | 차단  514
Ep 26 | Step 1000 | R   159.65 | 배송 18/50 | 미활동 0 | 2홉+ 0.54 | 도달 1074 | 차단  324
Ep 27 | Step 1000 | R    81.57 | 배송 12/50 | 미활동 0 | 2홉+ 0.69 | 도달 1056 | 차단 1557
Ep 28 | Step 1000 | R   119.32 | 배송 15/50 | 미활동 0 | 2홉+ 0.65 | 도달 1002 | 차단  858
Ep 29 | Step 1000 | R   154.19 | 배송 20/50 | 미활동 0 | 2홉+ 0.64 | 도달 1040 | 차단  916
Ep 30 | Step 1000 | R   113.56 | 배송 14/50 | 미활동 0 | 2홉+ 0.56 | 도달 1073 | 차단  420
Ep 31 | Step 1000 | R    94.94 | 배송 14/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단 1402
Ep 32 | Step 1000 | R   111.85 | 배송 14/50 | 미활동 0 | 2홉+ 0.51 | 도달 1069 | 차단  466
Ep 33 | Step 1000 | R   127.22 | 배송 16/50 | 미활동 0 | 2홉+ 0.62 | 도달 1037 | 차단  504
Ep 34 | Step 1000 | R   123.41 | 배송 16/50 | 미활동 0 | 2홉+ 0.50 | 도달  999 | 차단  788
Ep 35 | Step 1000 | R   138.47 | 배송 17/50 | 미활동 0 | 2홉+ 0.63 | 도달 1074 | 차단 1024
Ep 36 | Step 1000 | R    60.33 | 배송 11/50 | 미활동 0 | 2홉+ 0.63 | 도달 1074 | 차단 1175
Ep 37 | Step 1000 | R   159.65 | 배송 19/50 | 미활동 0 | 2홉+ 0.67 | 도달 1061 | 차단  296
Ep 38 | Step 1000 | R   162.24 | 배송 18/50 | 미활동 0 | 2홉+ 0.67 | 도달 1074 | 차단  230
Ep 39 | Step 1000 | R   133.69 | 배송 17/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단  710
Ep 40 | Step 1000 | R   161.75 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달 1009 | 차단  503
Ep 41 | Step 1000 | R   220.82 | 배송 21/50 | 미활동 0 | 2홉+ 0.56 | 도달  937 | 차단  530
Ep 42 | Step 1000 | R   133.33 | 배송 18/50 | 미활동 0 | 2홉+ 0.66 | 도달 1051 | 차단  779
Ep 43 | Step 1000 | R   172.90 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달 1073 | 차단  294
Ep 44 | Step 1000 | R   156.93 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달 1074 | 차단  538
