episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,26.75,5.8612,3.1667,0.0,0.5953,784.3974,0,1,635.1
100,16.25,6.2065,1.25,0.4167,0.3895,561.6424,0,0,1327.1
150,4.25,2.8025,0.0,1.25,0.145,385.8747,0,0,2016.3
200,8.25,2.8904,0.1667,0.4167,0.3454,585.653,0,0,2708.2
250,13.25,3.1918,0.5,0.1667,0.387,624.999,0,0,3404.2
300,7.25,1.9203,0.0,0.5833,0.1729,469.3228,0,0,4089.7
350,9.0,3.0551,0.0833,0.4167,0.2856,462.67,0,0,4787.3
400,5.0833,4.232,0.0,2.0,0.3051,488.6313,0,0,5493.5
450,6.8333,2.6719,0.0,0.5833,0.3682,463.9786,0,0,6200.5
500,4.0833,4.2712,0.0,2.0,0.1333,322.1275,0,0,6899.9
550,8.8333,1.993,0.25,0.1667,0.2398,577.2783,0,0,7594.0
600,6.6667,2.925,0.0,0.75,0.3885,557.0026,0,0,8287.8
650,7.5833,3.1743,0.0,0.6667,0.2261,505.6784,0,0,8974.0
700,4.5833,1.7058,0.0,1.1667,0.3726,553.3622,0,0,9677.4
750,6.1667,1.1426,0.0,0.4167,0.1443,413.1537,0,0,10382.8
800,3.1667,2.9392,0.0,2.3333,0.0741,395.0205,0,0,11256.0
