episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
1,1000,340.0,7.087,29,,983,0,3,17,346,0.644,741.4,0,1000,2.2
2,1000,270.0,-3.214,25,,701,0,2,16,690,0.6325,655.4,0,2000,4.2
3,1000,430.0,9.59,32,,959,0,5,14,502,0.6185,807.5,0,3000,6.1
4,1000,340.0,9.551,26,,978,0,4,15,445,0.6558,743.2,0,4000,8.0
5,1000,290.0,3.442,24,,854,0,3,14,586,0.6248,850.3,0,5000,9.8
6,1000,90.0,-11.904,13,,999,0,0,5,379,0.5172,711.6,0,6000,24.2
7,1000,110.0,-14.565,15,,668,0,0,6,229,0.3762,701.4,0,7000,37.9
8,1000,140.0,-14.435,15,,949,0,1,6,367,0.4368,775.0,0,8000,51.6
9,1000,100.0,-12.346,14,,902,0,0,4,178,0.4795,674.0,0,9000,65.4
10,1000,100.0,-11.081,14,,724,0,0,3,213,0.4965,704.3,0,10000,78.8
11,1000,100.0,-14.23,14,,713,0,0,6,369,0.4228,987.1,0,11000,92.4
12,1000,190.0,-6.89,17,,915,0,2,11,321,0.5095,703.9,0,12000,105.8
13,1000,190.0,7.654,17,,992,0,2,50,96,0.3598,655.6,0,13000,118.9
14,1000,240.0,-1.85,19,,867,0,3,13,288,0.473,609.8,0,14000,131.9
15,1000,200.0,-10.968,18,,954,0,2,12,711,0.6422,870.2,0,15000,145.1
16,1000,270.0,-0.157,22,,945,0,3,12,323,0.573,789.2,0,16000,158.0
17,1000,230.0,3.226,21,,886,0,2,12,263,0.5855,688.0,0,17000,171.0
18,1000,250.0,-6.667,20,,880,0,3,9,746,0.5817,884.7,0,18000,184.2
19,1000,270.0,-3.439,22,,959,0,3,11,676,0.624,716.9,0,19000,197.7
20,1000,280.0,-4.408,26,,943,0,2,11,679,0.6445,772.5,0,20000,211.0
21,1000,410.0,-0.089,30,,1000,0,5,16,730,0.6235,830.5,0,21000,224.1
22,1000,300.0,-11.477,25,,919,0,3,12,949,0.6647,1073.5,0,22000,237.4
23,1000,270.0,-6.555,22,,957,0,3,13,1020,0.62,714.5,0,23000,250.7
24,1000,300.0,-11.241,25,,807,0,3,13,1102,0.6705,725.8,0,24000,264.1
25,1000,360.0,-8.046,28,,991,0,4,16,1138,0.6118,706.0,0,25000,277.5
26,1000,290.0,-4.167,24,,967,0,3,18,918,0.679,763.1,0,26000,290.6
27,1000,290.0,-0.343,24,,942,0,3,14,813,0.6538,835.9,0,27000,303.7
28,1000,290.0,-0.758,27,,987,0,2,18,975,0.6558,783.0,0,28000,317.5
29,1000,270.0,-17.235,25,,993,0,2,16,1513,0.6667,902.9,0,29000,331.4
30,1000,290.0,-18.141,24,,836,0,3,11,1271,0.6235,723.3,0,30000,345.1
31,1000,320.0,-10.405,27,,917,0,3,14,1237,0.662,856.2,0,31000,358.4
32,1000,350.0,-3.032,30,,950,0,3,36,1010,0.626,911.8,0,32000,372.3
33,1000,230.0,-16.012,21,,885,0,2,21,1402,0.6398,637.2,0,33000,386.1
34,1000,360.0,-19.451,28,,963,0,4,15,1502,0.6338,784.7,0,34000,400.1
35,1000,340.0,-3.597,26,,746,0,4,28,962,0.6285,784.7,0,35000,413.5
36,1000,390.0,-6.193,28,,931,0,5,20,1165,0.6365,901.4,0,36000,427.0
37,1000,310.0,-14.626,26,,935,0,3,17,1260,0.661,794.9,0,37000,440.6
38,1000,360.0,-5.616,28,,896,0,4,17,1083,0.632,741.7,0,38000,453.9
39,1000,460.0,8.189,32,,872,0,6,16,637,0.6288,795.8,0,39000,467.1
40,1000,340.0,-1.578,26,,998,0,4,19,891,0.6202,779.5,0,40000,480.4
41,1000,420.0,11.702,31,,930,0,5,23,693,0.6098,888.3,0,41000,493.5
42,1000,310.0,-13.211,26,,983,0,3,14,1067,0.6418,735.2,0,42000,507.0
43,1000,370.0,-3.659,29,,920,0,4,16,873,0.6252,916.2,0,43000,520.1
44,1000,420.0,-0.307,31,,991,0,5,16,870,0.5945,881.8,0,44000,533.6
45,1000,400.0,-8.526,29,,813,0,5,18,1040,0.6485,867.6,0,45000,547.4
46,1000,380.0,-7.11,30,,994,0,4,20,1173,0.6505,902.0,0,46000,561.2
47,1000,400.0,3.794,32,,886,0,4,19,627,0.6452,836.1,0,47000,574.9
48,1000,330.0,19.475,25,,927,0,4,96,731,0.5705,800.2,0,48000,588.3
49,1000,450.0,3.334,34,,945,0,5,27,885,0.6368,856.4,0,49000,601.9
50,1000,440.0,5.646,33,,989,0,5,22,675,0.5833,803.8,0,50000,615.3
51,1000,300.0,32.814,25,,986,0,3,142,622,0.518,826.0,0,51000,648.4
52,1000,310.0,4.358,26,,969,0,3,16,644,0.6255,663.7,0,52000,661.5
53,1000,330.0,1.333,28,,827,0,3,30,752,0.6318,810.5,0,53000,675.1
54,1000,280.0,-8.567,23,,802,0,3,16,978,0.5002,748.1,0,54000,688.1
55,1000,360.0,-4.306,28,,867,0,4,21,810,0.6215,831.1,0,55000,702.1
56,1000,340.0,4.914,29,,907,0,3,39,967,0.6185,808.8,0,56000,715.9
57,1000,370.0,9.345,29,,985,0,4,16,639,0.5825,797.0,0,57000,729.3
58,1000,280.0,4.192,23,,995,0,3,20,581,0.589,710.0,0,58000,742.6
59,1000,290.0,1.661,24,,909,0,3,22,727,0.5405,747.2,0,59000,755.8
60,1000,280.0,-12.064,23,,808,0,3,13,1043,0.6667,741.6,0,60000,769.0
61,1000,300.0,2.559,25,,817,0,3,11,631,0.603,728.4,0,61000,782.2
62,1000,340.0,2.138,29,,943,0,3,15,633,0.6522,793.4,0,62000,795.7
63,1000,310.0,7.201,26,,864,0,3,10,497,0.5453,708.7,0,63000,808.8
64,1000,380.0,-0.821,30,,992,0,4,19,703,0.6065,773.5,0,64000,822.3
65,1000,330.0,2.277,28,,932,0,3,12,464,0.595,850.8,0,65000,835.9
66,1000,290.0,7.949,24,,898,0,3,18,278,0.5262,764.3,0,66000,849.1
67,1000,290.0,4.769,24,,910,0,3,19,703,0.4905,688.9,0,67000,862.4
68,1000,260.0,15.56,24,,982,0,2,41,543,0.4818,732.0,0,68000,875.6
69,1000,370.0,8.251,29,,946,0,4,20,464,0.587,700.6,0,69000,889.1
70,1000,350.0,5.879,27,,988,0,4,14,489,0.5693,824.9,0,70000,902.5
71,1000,290.0,12.481,24,,938,0,3,26,450,0.5505,673.5,0,71000,916.1
72,1000,330.0,6.868,28,,936,0,3,13,543,0.6275,728.9,0,72000,929.5
73,1000,270.0,-2.199,25,,766,0,2,17,706,0.6052,793.8,0,73000,942.7
74,1000,310.0,10.88,23,,792,0,4,19,353,0.4275,608.6,0,74000,956.0
75,1000,280.0,10.973,23,,987,0,3,14,324,0.5337,691.3,0,75000,969.2
76,1000,350.0,5.608,27,,998,0,4,12,671,0.5982,766.4,0,76000,982.6
77,1000,380.0,12.698,30,,994,0,4,14,371,0.4968,796.0,0,77000,996.1
78,1000,270.0,6.11,25,,944,0,2,22,548,0.5208,669.0,0,78000,1009.3
79,1000,350.0,12.12,27,,869,0,4,17,380,0.4893,738.8,0,79000,1023.3
80,1000,320.0,20.211,27,,984,0,3,59,391,0.4753,848.9,0,80000,1036.7
81,1000,370.0,14.608,29,,893,0,4,26,473,0.5105,809.1,0,81000,1050.0
82,1000,240.0,19.645,22,,996,0,2,66,411,0.358,709.1,0,82000,1063.8
83,1000,240.0,13.758,22,,955,0,2,21,266,0.421,736.9,0,83000,1077.4
84,1000,340.0,-12.324,26,,994,0,4,11,1037,0.5865,743.1,0,84000,1090.9
85,1000,400.0,9.587,29,,903,0,5,12,360,0.528,733.4,0,85000,1104.3
86,1000,320.0,5.528,27,,941,0,3,13,512,0.5155,721.5,0,86000,1117.9
87,1000,210.0,1.971,19,,763,0,2,15,439,0.5205,698.9,0,87000,1131.3
88,1000,280.0,16.751,23,,995,0,3,25,312,0.4968,634.1,0,88000,1144.6
89,1000,170.0,12.962,18,,940,0,1,19,364,0.5275,562.7,0,89000,1158.3
90,1000,240.0,9.23,22,,822,0,2,25,448,0.4062,717.1,0,90000,1171.8
