/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=joint 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_worker.pth
상위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_manager.pth
Ep 1 | 배송 29/50 | 재적재 3 | 도착  17 | 2홉+ 0.64 | 도달  741 | 차단  346
Ep 2 | 배송 25/50 | 재적재 2 | 도착  16 | 2홉+ 0.63 | 도달  655 | 차단  690
Ep 3 | 배송 32/50 | 재적재 5 | 도착  14 | 2홉+ 0.62 | 도달  808 | 차단  502
Ep 4 | 배송 26/50 | 재적재 4 | 도착  15 | 2홉+ 0.66 | 도달  743 | 차단  445
Ep 5 | 배송 24/50 | 재적재 3 | 도착  14 | 2홉+ 0.62 | 도달  850 | 차단  586
Ep 6 | 배송 13/50 | 재적재 0 | 도착   5 | 2홉+ 0.52 | 도달  712 | 차단  379
Ep 7 | 배송 15/50 | 재적재 0 | 도착   6 | 2홉+ 0.38 | 도달  701 | 차단  229
Ep 8 | 배송 15/50 | 재적재 1 | 도착   6 | 2홉+ 0.44 | 도달  775 | 차단  367
Ep 9 | 배송 14/50 | 재적재 0 | 도착   4 | 2홉+ 0.48 | 도달  674 | 차단  178
Ep 10 | 배송 14/50 | 재적재 0 | 도착   3 | 2홉+ 0.50 | 도달  704 | 차단  213
Ep 11 | 배송 14/50 | 재적재 0 | 도착   6 | 2홉+ 0.42 | 도달  987 | 차단  369
Ep 12 | 배송 17/50 | 재적재 2 | 도착  11 | 2홉+ 0.51 | 도달  704 | 차단  321
Ep 13 | 배송 17/50 | 재적재 2 | 도착  50 | 2홉+ 0.36 | 도달  656 | 차단   96
Ep 14 | 배송 19/50 | 재적재 3 | 도착  13 | 2홉+ 0.47 | 도달  610 | 차단  288
Ep 15 | 배송 18/50 | 재적재 2 | 도착  12 | 2홉+ 0.64 | 도달  870 | 차단  711
Ep 16 | 배송 22/50 | 재적재 3 | 도착  12 | 2홉+ 0.57 | 도달  789 | 차단  323
Ep 17 | 배송 21/50 | 재적재 2 | 도착  12 | 2홉+ 0.59 | 도달  688 | 차단  263
Ep 18 | 배송 20/50 | 재적재 3 | 도착   9 | 2홉+ 0.58 | 도달  885 | 차단  746
Ep 19 | 배송 22/50 | 재적재 3 | 도착  11 | 2홉+ 0.62 | 도달  717 | 차단  676
Ep 20 | 배송 26/50 | 재적재 2 | 도착  11 | 2홉+ 0.64 | 도달  772 | 차단  679
Ep 21 | 배송 30/50 | 재적재 5 | 도착  16 | 2홉+ 0.62 | 도달  831 | 차단  730
Ep 22 | 배송 25/50 | 재적재 3 | 도착  12 | 2홉+ 0.66 | 도달 1074 | 차단  949
Ep 23 | 배송 22/50 | 재적재 3 | 도착  13 | 2홉+ 0.62 | 도달  714 | 차단 1020
Ep 24 | 배송 25/50 | 재적재 3 | 도착  13 | 2홉+ 0.67 | 도달  726 | 차단 1102
Ep 25 | 배송 28/50 | 재적재 4 | 도착  16 | 2홉+ 0.61 | 도달  706 | 차단 1138
Ep 26 | 배송 24/50 | 재적재 3 | 도착  18 | 2홉+ 0.68 | 도달  763 | 차단  918
Ep 27 | 배송 24/50 | 재적재 3 | 도착  14 | 2홉+ 0.65 | 도달  836 | 차단  813
Ep 28 | 배송 27/50 | 재적재 2 | 도착  18 | 2홉+ 0.66 | 도달  783 | 차단  975
Ep 29 | 배송 25/50 | 재적재 2 | 도착  16 | 2홉+ 0.67 | 도달  903 | 차단 1513
Ep 30 | 배송 24/50 | 재적재 3 | 도착  11 | 2홉+ 0.62 | 도달  723 | 차단 1271
Ep 31 | 배송 27/50 | 재적재 3 | 도착  14 | 2홉+ 0.66 | 도달  856 | 차단 1237
Ep 32 | 배송 30/50 | 재적재 3 | 도착  36 | 2홉+ 0.63 | 도달  912 | 차단 1010
Ep 33 | 배송 21/50 | 재적재 2 | 도착  21 | 2홉+ 0.64 | 도달  637 | 차단 1402
Ep 34 | 배송 28/50 | 재적재 4 | 도착  15 | 2홉+ 0.63 | 도달  785 | 차단 1502
Ep 35 | 배송 26/50 | 재적재 4 | 도착  28 | 2홉+ 0.63 | 도달  785 | 차단  962
Ep 36 | 배송 28/50 | 재적재 5 | 도착  20 | 2홉+ 0.64 | 도달  901 | 차단 1165
Ep 37 | 배송 26/50 | 재적재 3 | 도착  17 | 2홉+ 0.66 | 도달  795 | 차단 1260
Ep 38 | 배송 28/50 | 재적재 4 | 도착  17 | 2홉+ 0.63 | 도달  742 | 차단 1083
Ep 39 | 배송 32/50 | 재적재 6 | 도착  16 | 2홉+ 0.63 | 도달  796 | 차단  637
Ep 40 | 배송 26/50 | 재적재 4 | 도착  19 | 2홉+ 0.62 | 도달  779 | 차단  891
Ep 41 | 배송 31/50 | 재적재 5 | 도착  23 | 2홉+ 0.61 | 도달  888 | 차단  693
Ep 42 | 배송 26/50 | 재적재 3 | 도착  14 | 2홉+ 0.64 | 도달  735 | 차단 1067
Ep 43 | 배송 29/50 | 재적재 4 | 도착  16 | 2홉+ 0.63 | 도달  916 | 차단  873
Ep 44 | 배송 31/50 | 재적재 5 | 도착  16 | 2홉+ 0.59 | 도달  882 | 차단  870
Ep 45 | 배송 29/50 | 재적재 5 | 도착  18 | 2홉+ 0.65 | 도달  868 | 차단 1040
Ep 46 | 배송 30/50 | 재적재 4 | 도착  20 | 2홉+ 0.65 | 도달  902 | 차단 1173
