episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
1,1000,160.0,-7.389,20,,855,0,0,12,517,0.694,707.0,0,1000,3.5
2,1000,160.0,0.141,20,,889,0,0,5,166,0.4925,701.8,0,2000,6.5
3,1000,220.0,1.347,23,,1000,0,1,7,421,0.6178,697.1,0,3000,9.1
4,1000,160.0,-5.23,20,,681,0,0,9,314,0.5565,730.6,0,4000,11.9
5,1000,160.0,-11.166,20,,587,0,0,9,700,0.6298,968.8,0,5000,15.0
6,1000,350.0,7.236,30,,700,0,3,22,452,0.6232,892.9,0,6000,28.5
7,1000,160.0,4.056,20,,592,0,0,12,285,0.596,666.6,0,7000,40.6
8,1000,250.0,-28.781,23,,860,0,2,19,1731,0.6328,1073.5,0,8000,52.3
9,1000,370.0,15.131,29,,877,0,4,28,288,0.5553,691.4,0,9000,65.3
10,1000,430.0,10.004,32,,898,0,5,31,530,0.6345,791.6,0,10000,76.5
11,1000,280.0,-2.549,26,,798,0,2,25,556,0.6155,797.0,0,11000,87.7
12,1000,280.0,8.795,23,,989,0,3,19,208,0.4943,688.9,0,12000,100.8
13,1000,370.0,6.531,29,,913,0,4,22,541,0.576,787.9,0,13000,111.8
14,1000,380.0,19.627,30,,879,0,4,24,284,0.5767,750.9,0,14000,123.6
15,1000,330.0,16.903,28,,917,0,3,20,390,0.533,766.2,0,15000,137.0
16,1000,410.0,-0.189,33,,975,0,4,19,853,0.6312,799.8,0,16000,148.1
17,1000,310.0,3.882,26,,968,0,3,24,442,0.5825,732.5,0,17000,159.9
18,1000,200.0,-1.647,21,,749,0,1,11,433,0.621,773.5,0,18000,173.4
19,1000,400.0,20.082,32,,957,0,4,21,383,0.6405,725.1,0,19000,184.2
20,1000,300.0,17.831,25,,944,0,3,15,258,0.6375,656.9,0,20000,195.8
21,1000,320.0,9.998,27,,898,0,3,27,496,0.638,774.4,0,21000,208.6
22,1000,340.0,14.89,29,,983,0,3,15,260,0.5907,790.8,0,22000,219.9
23,1000,300.0,1.921,25,,911,0,3,13,634,0.6667,1028.0,0,23000,231.1
24,1000,310.0,-1.289,26,,947,0,3,14,528,0.6465,785.4,0,24000,243.8
25,1000,380.0,8.35,27,,693,0,5,14,464,0.6058,897.2,0,25000,254.7
26,1000,410.0,12.048,30,,859,0,5,20,334,0.582,976.0,0,26000,268.0
27,1000,390.0,1.302,28,,877,0,5,15,592,0.5998,776.8,0,27000,279.0
28,1000,370.0,12.584,32,,993,0,3,17,344,0.5863,872.9,0,28000,290.0
29,1000,260.0,6.45,24,,939,0,2,14,494,0.6095,1006.9,0,29000,303.4
30,1000,340.0,2.487,29,,990,0,3,14,405,0.6593,833.2,0,30000,314.4
31,1000,290.0,12.215,27,,984,0,2,17,337,0.6175,770.5,0,31000,325.8
32,1000,380.0,12.354,27,,811,0,5,22,473,0.593,985.7,0,32000,339.8
33,1000,330.0,11.715,25,,993,0,4,14,423,0.625,720.7,0,33000,351.3
34,1000,240.0,-23.165,25,,908,0,1,10,1372,0.6687,1064.4,0,34000,362.9
35,1000,320.0,10.543,30,,978,0,2,14,382,0.647,909.2,0,35000,376.4
36,1000,290.0,2.551,27,,1000,0,2,14,518,0.5913,889.4,0,36000,387.2
37,1000,300.0,6.211,25,,848,0,3,11,383,0.5757,796.2,0,37000,399.3
38,1000,220.0,8.701,23,,786,0,1,11,283,0.5775,958.9,0,38000,413.2
39,1000,290.0,8.226,24,,816,0,3,12,394,0.6015,728.8,0,39000,425.2
40,1000,300.0,11.537,25,,890,0,3,12,150,0.6145,729.4,0,40000,436.6
41,1000,410.0,12.618,30,,891,0,5,15,394,0.6042,764.3,0,41000,449.6
42,1000,350.0,7.898,27,,927,0,4,14,326,0.6148,801.0,0,42000,460.6
43,1000,400.0,7.363,32,,999,0,4,28,567,0.574,970.1,0,43000,474.2
44,1000,340.0,13.856,29,,943,0,3,15,408,0.6262,817.4,0,44000,485.7
45,1000,350.0,14.766,27,,865,0,4,17,339,0.6165,732.0,0,45000,497.6
46,1000,260.0,-3.934,24,,767,0,2,14,492,0.6308,916.1,0,46000,510.5
47,1000,450.0,12.421,34,,895,0,5,17,382,0.6182,765.9,0,47000,522.0
48,1000,310.0,3.354,26,,941,0,3,13,453,0.5845,886.5,0,48000,532.8
49,1000,310.0,9.037,29,,995,0,2,13,479,0.622,817.2,0,49000,545.7
50,1000,350.0,2.736,30,,989,0,3,15,527,0.63,910.0,0,50000,557.7
51,1000,350.0,8.307,30,,966,0,3,17,401,0.6617,920.4,0,51000,600.2
52,1000,120.0,-42.08,16,,220,0,0,7,1677,0.7133,989.4,0,52000,613.6
53,1000,320.0,14.49,27,,925,0,3,21,363,0.5553,795.4,0,53000,625.3
54,1000,150.0,3.182,19,,950,0,0,9,602,0.5952,746.9,0,54000,636.6
55,1000,350.0,-10.083,30,,683,0,3,14,1029,0.6402,1064.7,0,55000,649.8
