/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=10
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_w_nocl/best_worker.pth
Ep 1 | 배송 20/50 | 재적재 0 | 도착  12 | 2홉+ 0.69 | 도달  707 | 차단  517
Ep 2 | 배송 20/50 | 재적재 0 | 도착   5 | 2홉+ 0.49 | 도달  702 | 차단  166
Ep 3 | 배송 23/50 | 재적재 1 | 도착   7 | 2홉+ 0.62 | 도달  697 | 차단  421
Ep 4 | 배송 20/50 | 재적재 0 | 도착   9 | 2홉+ 0.56 | 도달  731 | 차단  314
Ep 5 | 배송 20/50 | 재적재 0 | 도착   9 | 2홉+ 0.63 | 도달  969 | 차단  700
Ep 6 | 배송 30/50 | 재적재 3 | 도착  22 | 2홉+ 0.62 | 도달  893 | 차단  452
Ep 7 | 배송 20/50 | 재적재 0 | 도착  12 | 2홉+ 0.60 | 도달  667 | 차단  285
Ep 8 | 배송 23/50 | 재적재 2 | 도착  19 | 2홉+ 0.63 | 도달 1074 | 차단 1731
Ep 9 | 배송 29/50 | 재적재 4 | 도착  28 | 2홉+ 0.56 | 도달  691 | 차단  288
Ep 10 | 배송 32/50 | 재적재 5 | 도착  31 | 2홉+ 0.63 | 도달  792 | 차단  530
Ep 11 | 배송 26/50 | 재적재 2 | 도착  25 | 2홉+ 0.62 | 도달  797 | 차단  556
Ep 12 | 배송 23/50 | 재적재 3 | 도착  19 | 2홉+ 0.49 | 도달  689 | 차단  208
Ep 13 | 배송 29/50 | 재적재 4 | 도착  22 | 2홉+ 0.58 | 도달  788 | 차단  541
Ep 14 | 배송 30/50 | 재적재 4 | 도착  24 | 2홉+ 0.58 | 도달  751 | 차단  284
Ep 15 | 배송 28/50 | 재적재 3 | 도착  20 | 2홉+ 0.53 | 도달  766 | 차단  390
Ep 16 | 배송 33/50 | 재적재 4 | 도착  19 | 2홉+ 0.63 | 도달  800 | 차단  853
Ep 17 | 배송 26/50 | 재적재 3 | 도착  24 | 2홉+ 0.58 | 도달  732 | 차단  442
Ep 18 | 배송 21/50 | 재적재 1 | 도착  11 | 2홉+ 0.62 | 도달  774 | 차단  433
Ep 19 | 배송 32/50 | 재적재 4 | 도착  21 | 2홉+ 0.64 | 도달  725 | 차단  383
Ep 20 | 배송 25/50 | 재적재 3 | 도착  15 | 2홉+ 0.64 | 도달  657 | 차단  258
Ep 21 | 배송 27/50 | 재적재 3 | 도착  27 | 2홉+ 0.64 | 도달  774 | 차단  496
Ep 22 | 배송 29/50 | 재적재 3 | 도착  15 | 2홉+ 0.59 | 도달  791 | 차단  260
Ep 23 | 배송 25/50 | 재적재 3 | 도착  13 | 2홉+ 0.67 | 도달 1028 | 차단  634
Ep 24 | 배송 26/50 | 재적재 3 | 도착  14 | 2홉+ 0.65 | 도달  785 | 차단  528
Ep 25 | 배송 27/50 | 재적재 5 | 도착  14 | 2홉+ 0.61 | 도달  897 | 차단  464
Ep 26 | 배송 30/50 | 재적재 5 | 도착  20 | 2홉+ 0.58 | 도달  976 | 차단  334
Ep 27 | 배송 28/50 | 재적재 5 | 도착  15 | 2홉+ 0.60 | 도달  777 | 차단  592
Ep 28 | 배송 32/50 | 재적재 3 | 도착  17 | 2홉+ 0.59 | 도달  873 | 차단  344
Ep 29 | 배송 24/50 | 재적재 2 | 도착  14 | 2홉+ 0.61 | 도달 1007 | 차단  494
Ep 30 | 배송 29/50 | 재적재 3 | 도착  14 | 2홉+ 0.66 | 도달  833 | 차단  405
Ep 31 | 배송 27/50 | 재적재 2 | 도착  17 | 2홉+ 0.62 | 도달  771 | 차단  337
Ep 32 | 배송 27/50 | 재적재 5 | 도착  22 | 2홉+ 0.59 | 도달  986 | 차단  473
Ep 33 | 배송 25/50 | 재적재 4 | 도착  14 | 2홉+ 0.62 | 도달  721 | 차단  423
Ep 34 | 배송 25/50 | 재적재 1 | 도착  10 | 2홉+ 0.67 | 도달 1064 | 차단 1372
Ep 35 | 배송 30/50 | 재적재 2 | 도착  14 | 2홉+ 0.65 | 도달  909 | 차단  382
Ep 36 | 배송 27/50 | 재적재 2 | 도착  14 | 2홉+ 0.59 | 도달  889 | 차단  518
Ep 37 | 배송 25/50 | 재적재 3 | 도착  11 | 2홉+ 0.58 | 도달  796 | 차단  383
Ep 38 | 배송 23/50 | 재적재 1 | 도착  11 | 2홉+ 0.58 | 도달  959 | 차단  283
Ep 39 | 배송 24/50 | 재적재 3 | 도착  12 | 2홉+ 0.60 | 도달  729 | 차단  394
Ep 40 | 배송 25/50 | 재적재 3 | 도착  12 | 2홉+ 0.61 | 도달  729 | 차단  150
Ep 41 | 배송 30/50 | 재적재 5 | 도착  15 | 2홉+ 0.60 | 도달  764 | 차단  394
Ep 42 | 배송 27/50 | 재적재 4 | 도착  14 | 2홉+ 0.61 | 도달  801 | 차단  326
Ep 43 | 배송 32/50 | 재적재 4 | 도착  28 | 2홉+ 0.57 | 도달  970 | 차단  567
Ep 44 | 배송 29/50 | 재적재 3 | 도착  15 | 2홉+ 0.63 | 도달  817 | 차단  408
Ep 45 | 배송 27/50 | 재적재 4 | 도착  17 | 2홉+ 0.62 | 도달  732 | 차단  339
Ep 46 | 배송 24/50 | 재적재 2 | 도착  14 | 2홉+ 0.63 | 도달  916 | 차단  492
Ep 47 | 배송 34/50 | 재적재 5 | 도착  17 | 2홉+ 0.62 | 도달  766 | 차단  382
Ep 48 | 배송 26/50 | 재적재 3 | 도착  13 | 2홉+ 0.58 | 도달  886 | 차단  453
Ep 49 | 배송 29/50 | 재적재 2 | 도착  13 | 2홉+ 0.62 | 도달  817 | 차단  479
