episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,26.75,6.2065,2.5833,0.0,0.5844,776.879,0,1,559.3
100,27.9167,4.2123,2.8333,0.0,0.615,848.3267,0,1,1184.4
150,24.8333,3.7379,2.25,0.0,0.6151,854.2149,0,0,1824.2
200,17.0833,7.3763,1.0833,0.25,0.6651,922.6895,0,0,2470.2
250,17.3333,7.4759,1.0833,0.0,0.6646,918.4872,0,0,3117.5
300,20.1667,4.9469,1.6667,0.0,0.6368,850.5099,0,0,3748.9
350,21.3333,5.8926,2.0,0.0,0.6234,859.1563,0,0,4384.2
400,15.5,5.1881,1.0,0.0833,0.6371,874.9842,0,0,5016.0
450,14.25,4.1256,0.3333,0.0,0.6975,895.315,0,0,5654.5
500,16.1667,4.6338,0.75,0.0,0.6266,883.4162,0,0,6296.1
550,15.0833,6.5633,0.75,0.1667,0.6817,978.2617,0,0,6936.3
600,20.75,7.7042,1.8333,0.0833,0.6221,930.958,0,0,7568.5
650,22.1667,6.0805,1.5,0.0,0.6201,885.2589,0,0,8208.9
700,14.8333,4.6158,0.5,0.0833,0.7009,926.0418,0,0,8851.7
750,17.6667,6.2227,0.8333,0.0,0.6838,921.6186,0,0,9486.8
800,19.5833,7.3989,1.75,0.0,0.6505,915.4691,0,0,10120.0
850,21.25,6.2467,2.0,0.0,0.6248,835.594,0,0,10753.0
