episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,17.0,7.461,1.1667,0.0,0.5979,688.8189,0,1,469.9
100,16.6667,13.9124,1.8333,1.0,0.4477,527.0453,0,0,972.8
150,19.6667,5.9348,1.3333,0.0,0.606,668.3367,0,1,1468.0
200,21.6667,4.8534,2.1667,0.0,0.5157,634.6901,0,1,1950.0
250,14.5,10.0457,1.8333,1.3333,0.2284,537.0333,0,0,2430.6
300,12.8333,7.3352,0.6667,0.6667,0.641,705.7716,0,0,2916.7
350,5.6667,8.0346,0.0,2.6667,0.174,286.7625,0,0,3409.7
400,7.5,7.953,0.1667,2.0,0.3155,466.8445,0,0,3892.1
450,17.6667,6.8718,1.5,0.5,0.5878,644.6171,0,0,4376.5
500,0.0,0.0,0.0,4.0,0.0,101.1067,0,0,4860.1
550,1.1667,2.6087,0.0,3.5,0.1159,228.4103,0,0,5348.2
600,0.0,0.0,0.0,4.0,0.0,50.7328,0,0,5832.6
650,0.0,0.0,0.0,4.0,0.0,123.5993,0,0,6317.9
700,2.1667,3.5785,0.0,3.0,0.1761,320.6197,0,0,6807.1
750,6.3333,8.6152,0.5,2.5,0.1645,337.486,0,0,7288.1
800,5.8333,8.3749,0.1667,2.6667,0.1787,256.8424,0,0,7773.8
850,7.6667,5.7927,0.0,1.3333,0.4387,484.7261,0,0,8258.8
900,6.0,8.3066,0.3333,2.3333,0.3849,396.4145,0,0,8753.5
950,3.0,4.397,0.0,2.5,0.6486,439.1002,0,0,9237.1
