episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
1,1000,-40.0,-38.274,0,,0,4,0,0,251,0.406,502.5,0,1000,1.9
2,1000,-40.0,-32.272,0,,0,4,0,0,133,0.408,511.3,0,2000,3.4
3,1000,-40.0,-45.355,0,,0,4,0,0,96,0.5907,533.9,0,3000,5.0
4,1000,-40.0,-29.48,0,,0,4,0,0,475,0.4088,502.5,0,4000,6.7
5,1000,-40.0,-37.375,0,,0,4,0,0,199,0.3917,502.5,0,5000,8.2
6,1000,130.0,-28.004,17,,892,0,0,15,164,0.5935,755.6,0,6000,15.8
7,1000,150.0,-26.009,16,,953,0,1,17,384,0.4422,612.5,0,7000,26.1
8,1000,130.0,-24.81,14,,798,1,1,14,261,0.4447,585.0,0,8000,35.9
9,1000,180.0,-28.721,19,,928,0,1,19,331,0.5145,625.9,0,9000,45.8
10,1000,170.0,-18.362,18,,517,0,1,17,468,0.4945,722.7,0,10000,55.7
11,1000,270.0,-11.22,22,,980,0,3,24,386,0.5025,627.3,0,11000,66.8
12,1000,240.0,-14.112,22,,843,0,2,23,613,0.5325,677.4,0,12000,76.1
13,1000,340.0,-21.44,26,,981,0,4,29,434,0.5182,733.3,0,13000,84.9
14,1000,290.0,-23.345,24,,747,0,3,26,910,0.5088,715.0,0,14000,95.6
15,1000,240.0,-25.94,22,,781,0,2,24,1005,0.6265,725.7,0,15000,105.1
16,1000,260.0,-18.653,24,,935,0,2,25,973,0.574,669.4,0,16000,114.4
17,1000,310.0,-19.374,26,,988,0,3,27,1156,0.6432,702.6,0,17000,123.7
18,1000,320.0,-15.25,24,,839,0,4,28,754,0.5265,741.4,0,18000,134.8
19,1000,340.0,-16.143,29,,936,0,3,32,1098,0.6472,724.4,0,19000,143.9
20,1000,280.0,-35.79,23,,651,0,3,26,1805,0.6348,872.0,0,20000,153.0
21,1000,380.0,-16.394,30,,988,0,4,33,1097,0.647,819.3,0,21000,163.8
22,1000,350.0,-15.097,27,,891,0,4,31,1330,0.6125,663.3,0,22000,173.0
23,1000,350.0,-16.195,30,,973,0,3,33,1134,0.5018,662.9,0,23000,181.9
24,1000,460.0,-9.783,35,,815,0,5,39,1217,0.648,915.9,0,24000,191.8
25,1000,380.0,-23.663,30,,676,0,4,34,1499,0.6843,1073.5,0,25000,204.3
26,1000,440.0,-20.129,33,,839,0,5,37,1496,0.6683,921.1,0,26000,214.9
27,1000,450.0,-15.373,34,,793,0,5,39,1181,0.6428,841.9,0,27000,224.7
28,1000,500.0,-9.95,36,,960,0,6,43,1175,0.605,1011.9,0,28000,236.4
29,1000,410.0,-18.827,30,,770,0,5,38,1476,0.5887,704.3,0,29000,245.3
30,1000,400.0,-23.07,32,,676,0,4,36,1528,0.6558,853.0,0,30000,254.6
31,1000,320.0,-28.957,27,,915,0,3,29,1842,0.6275,751.8,0,31000,266.8
32,1000,400.0,-14.59,32,,922,0,4,34,1376,0.659,791.3,0,32000,276.7
33,1000,410.0,-22.88,30,,818,0,5,35,1711,0.6442,774.6,0,33000,287.0
34,1000,150.0,-59.606,16,,193,0,1,19,2634,0.6927,684.7,0,34000,297.7
35,1000,340.0,-29.02,29,,977,0,3,31,1605,0.6468,802.6,0,35000,309.8
36,1000,270.0,-26.228,22,,998,0,3,24,1227,0.584,737.2,0,36000,318.9
