/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
Ep 1 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.41 | 도달  502 | 차단  251
Ep 2 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.41 | 도달  511 | 차단  133
Ep 3 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.59 | 도달  534 | 차단   96
Ep 4 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.41 | 도달  502 | 차단  475
Ep 5 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.39 | 도달  502 | 차단  199
Ep 6 | 배송 17/50 | 재적재 0 | 도착  15 | 2홉+ 0.59 | 도달  756 | 차단  164
Ep 7 | 배송 16/50 | 재적재 1 | 도착  17 | 2홉+ 0.44 | 도달  613 | 차단  384
Ep 8 | 배송 14/50 | 재적재 1 | 도착  14 | 2홉+ 0.44 | 도달  585 | 차단  261
Ep 9 | 배송 19/50 | 재적재 1 | 도착  19 | 2홉+ 0.51 | 도달  626 | 차단  331
Ep 10 | 배송 18/50 | 재적재 1 | 도착  17 | 2홉+ 0.49 | 도달  723 | 차단  468
Ep 11 | 배송 22/50 | 재적재 3 | 도착  24 | 2홉+ 0.50 | 도달  627 | 차단  386
Ep 12 | 배송 22/50 | 재적재 2 | 도착  23 | 2홉+ 0.53 | 도달  677 | 차단  613
Ep 13 | 배송 26/50 | 재적재 4 | 도착  29 | 2홉+ 0.52 | 도달  733 | 차단  434
Ep 14 | 배송 24/50 | 재적재 3 | 도착  26 | 2홉+ 0.51 | 도달  715 | 차단  910
Ep 15 | 배송 22/50 | 재적재 2 | 도착  24 | 2홉+ 0.63 | 도달  726 | 차단 1005
Ep 16 | 배송 24/50 | 재적재 2 | 도착  25 | 2홉+ 0.57 | 도달  669 | 차단  973
Ep 17 | 배송 26/50 | 재적재 3 | 도착  27 | 2홉+ 0.64 | 도달  703 | 차단 1156
Ep 18 | 배송 24/50 | 재적재 4 | 도착  28 | 2홉+ 0.53 | 도달  741 | 차단  754
Ep 19 | 배송 29/50 | 재적재 3 | 도착  32 | 2홉+ 0.65 | 도달  724 | 차단 1098
Ep 20 | 배송 23/50 | 재적재 3 | 도착  26 | 2홉+ 0.63 | 도달  872 | 차단 1805
Ep 21 | 배송 30/50 | 재적재 4 | 도착  33 | 2홉+ 0.65 | 도달  819 | 차단 1097
Ep 22 | 배송 27/50 | 재적재 4 | 도착  31 | 2홉+ 0.61 | 도달  663 | 차단 1330
Ep 23 | 배송 30/50 | 재적재 3 | 도착  33 | 2홉+ 0.50 | 도달  663 | 차단 1134
