episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,17.1667,7.559,1.0,0.0,0.7035,653.8005,0,1,463.0
100,19.5,5.1881,1.6667,0.0,0.5229,684.2071,0,1,964.4
150,20.6667,11.9117,2.0,0.3333,0.6388,723.3279,0,1,1450.9
200,27.0,11.9024,3.0,0.3333,0.6018,738.6341,0,1,1937.7
250,26.6667,13.0979,3.0,0.1667,0.5907,685.899,0,0,2414.7
300,16.6667,11.1305,1.5,0.0,0.628,612.7189,0,0,2894.6
350,22.0,4.0415,3.5,0.0,0.3434,660.5296,0,0,3383.6
400,19.5,9.3586,1.6667,0.0,0.5862,686.1998,0,0,3862.7
450,28.3333,4.5704,3.3333,0.0,0.575,737.0364,0,1,4345.6
500,26.6667,8.2597,3.1667,0.0,0.5531,758.8448,0,0,4825.3
550,18.3333,7.2495,1.8333,0.3333,0.4799,687.2325,0,0,5308.8
600,18.0,6.8799,1.1667,0.0,0.6532,693.3911,0,0,5791.0
650,17.1667,6.4914,1.6667,0.0,0.6155,642.4406,0,0,6267.4
700,15.1667,7.448,1.0,0.1667,0.6034,607.599,0,0,6742.7
750,10.8333,4.6338,0.5,0.1667,0.6799,509.7101,0,0,7227.0
800,13.0,6.1373,0.6667,0.0,0.6171,510.7864,0,0,7708.6
850,9.6667,2.1344,0.1667,0.0,0.5727,593.9422,0,0,8189.1
900,9.6667,2.8674,0.0,0.5,0.6769,618.1928,0,0,8667.2
950,8.3333,1.5986,0.0,0.6667,0.6437,681.0814,0,0,9162.5
1000,8.1667,4.5977,0.0,0.6667,0.4772,465.9542,0,0,9597.2
1050,7.6667,4.4222,0.0,1.1667,0.7193,541.1836,0,0,10017.5
1100,8.6667,4.15,0.0,0.5,0.4397,505.4921,0,0,10381.5
1150,3.6667,4.5704,0.0,2.5,0.2767,381.0263,0,0,10751.9
1200,7.0,1.633,0.0,0.5,0.6072,489.5049,0,0,11114.8
