episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
1,1000,-40.0,-14.13,0,,0,4,0,0,198,0.6753,502.5,0,1000,2.4
2,1000,-40.0,-14.357,0,,0,4,0,0,212,0.677,502.5,0,2000,4.4
3,1000,-40.0,-15.014,0,,0,4,0,0,247,0.6833,502.5,0,3000,6.4
4,1000,-40.0,-14.54,0,,0,4,0,0,250,0.679,502.5,0,4000,8.4
5,1000,-40.0,-14.535,0,,0,4,0,0,216,0.685,502.5,0,5000,12.3
6,1000,100.0,-8.56,14,,999,0,0,12,194,0.3242,607.8,0,6000,21.7
7,1000,180.0,-3.466,19,,896,0,1,19,170,0.5397,648.4,0,7000,31.1
8,1000,160.0,-3.449,17,,724,0,1,18,223,0.5345,658.4,0,8000,40.4
9,1000,170.0,-5.096,18,,913,0,1,16,370,0.435,602.3,0,9000,52.0
10,1000,190.0,-5.331,20,,842,0,1,19,477,0.5168,740.2,0,10000,61.4
11,1000,270.0,0.784,22,,933,0,3,25,397,0.5152,637.2,0,11000,70.5
12,1000,210.0,-2.782,19,,853,0,2,21,566,0.521,732.1,0,12000,81.5
13,1000,250.0,-5.659,23,,848,0,2,24,775,0.6225,690.5,0,13000,91.1
14,1000,250.0,-1.538,23,,995,0,2,24,592,0.6068,724.8,0,14000,100.4
15,1000,340.0,-1.571,29,,993,0,3,30,837,0.6002,875.8,0,15000,109.5
16,1000,180.0,-17.714,19,,881,0,1,20,1302,0.6773,816.0,0,16000,120.4
17,1000,430.0,12.67,35,,933,0,4,39,601,0.5743,914.3,0,17000,129.4
18,1000,440.0,12.033,33,,837,0,5,36,616,0.618,938.2,0,18000,138.3
19,1000,560.0,22.502,39,,993,0,7,45,546,0.5845,909.7,0,19000,149.2
20,1000,390.0,-4.517,31,,999,0,4,35,1184,0.5437,722.5,0,20000,158.3
21,1000,480.0,6.841,37,,866,0,5,41,1099,0.6112,905.4,0,21000,168.7
22,1000,400.0,-4.005,32,,966,0,4,35,1326,0.5553,735.0,0,22000,177.9
23,1000,490.0,4.895,38,,977,0,5,42,1111,0.6542,892.1,0,23000,189.3
24,1000,460.0,-2.069,35,,990,0,5,39,1350,0.655,936.5,0,24000,198.3
25,1000,470.0,0.146,36,,895,0,5,39,1399,0.5873,823.5,0,25000,206.9
