/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
Ep 1 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.68 | 도달  502 | 차단  198
Ep 2 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.68 | 도달  502 | 차단  212
Ep 3 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.68 | 도달  502 | 차단  247
Ep 4 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.68 | 도달  502 | 차단  250
Ep 5 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.69 | 도달  502 | 차단  216
Ep 6 | 배송 14/50 | 재적재 0 | 도착  12 | 2홉+ 0.32 | 도달  608 | 차단  194
Ep 7 | 배송 19/50 | 재적재 1 | 도착  19 | 2홉+ 0.54 | 도달  648 | 차단  170
Ep 8 | 배송 17/50 | 재적재 1 | 도착  18 | 2홉+ 0.53 | 도달  658 | 차단  223
Ep 9 | 배송 18/50 | 재적재 1 | 도착  16 | 2홉+ 0.43 | 도달  602 | 차단  370
Ep 10 | 배송 20/50 | 재적재 1 | 도착  19 | 2홉+ 0.52 | 도달  740 | 차단  477
Ep 11 | 배송 22/50 | 재적재 3 | 도착  25 | 2홉+ 0.52 | 도달  637 | 차단  397
Ep 12 | 배송 19/50 | 재적재 2 | 도착  21 | 2홉+ 0.52 | 도달  732 | 차단  566
Ep 13 | 배송 23/50 | 재적재 2 | 도착  24 | 2홉+ 0.62 | 도달  690 | 차단  775
Ep 14 | 배송 23/50 | 재적재 2 | 도착  24 | 2홉+ 0.61 | 도달  725 | 차단  592
Ep 15 | 배송 29/50 | 재적재 3 | 도착  30 | 2홉+ 0.60 | 도달  876 | 차단  837
Ep 16 | 배송 19/50 | 재적재 1 | 도착  20 | 2홉+ 0.68 | 도달  816 | 차단 1302
Ep 17 | 배송 35/50 | 재적재 4 | 도착  39 | 2홉+ 0.57 | 도달  914 | 차단  601
Ep 18 | 배송 33/50 | 재적재 5 | 도착  36 | 2홉+ 0.62 | 도달  938 | 차단  616
Ep 19 | 배송 39/50 | 재적재 7 | 도착  45 | 2홉+ 0.58 | 도달  910 | 차단  546
Ep 20 | 배송 31/50 | 재적재 4 | 도착  35 | 2홉+ 0.54 | 도달  722 | 차단 1184
