episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,19.6667,6.2761,1.75,0.0,0.4889,623.6686,0,1,1387.7
100,12.0833,2.6913,0.25,0.0833,0.312,563.9864,0,0,2889.1
150,16.5833,4.232,1.5,0.0833,0.3741,656.2484,0,0,4378.8
200,1.5833,1.754,0.0,2.6667,0.0348,278.9904,0,0,5864.8
250,8.75,2.919,0.0,0.1667,0.2641,547.9194,0,0,7354.7
300,7.5833,2.019,0.0,0.4167,0.1624,458.6415,0,0,8850.7
350,7.0,3.2404,0.0,0.5833,0.3426,503.3757,0,0,10339.2
400,7.5833,4.7515,0.0,0.8333,0.2397,474.2961,0,0,11846.6
450,1.9167,2.2158,0.0,2.6667,0.4252,433.9007,0,0,13336.8
500,2.6667,2.7487,0.0,2.4167,0.034,309.6108,0,0,14819.5
550,5.0,2.6141,0.0,0.9167,0.1613,398.2641,0,0,16299.9
600,1.8333,1.9508,0.0,2.6667,0.0924,314.4727,0,0,17426.2
650,2.5833,2.4986,0.0,2.25,0.1298,380.8822,0,0,18110.9
700,1.8333,2.1148,0.0,2.5833,0.1185,343.3608,0,0,18796.0
750,7.0,2.6141,0.0833,0.3333,0.196,457.5958,0,0,19481.5
800,4.3333,4.0483,0.0,1.8333,0.233,477.3573,0,0,20167.8
