episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
1,1000,340.0,12.137,26,,976,0,4,19,460,0.5807,789.5,0,1000,3.8
2,1000,260.0,4.83,24,,973,0,2,15,339,0.5995,723.9,0,2000,7.6
3,1000,290.0,10.789,24,,877,0,3,16,411,0.615,742.1,0,3000,11.4
4,1000,330.0,13.642,28,,935,0,3,21,279,0.6012,745.5,0,4000,15.2
5,1000,340.0,-2.927,29,,848,0,3,20,771,0.6382,1073.5,0,5000,19.4
6,1000,90.0,-18.693,13,,996,1,0,2,333,0.4475,780.0,0,6000,49.5
7,1000,100.0,-27.584,14,,573,0,0,7,943,0.4407,675.2,0,7000,78.5
8,1000,150.0,-22.628,19,,980,0,0,8,766,0.5567,768.2,0,8000,108.0
9,1000,90.0,-9.195,13,,905,0,0,6,171,0.3765,664.6,0,9000,137.2
10,1000,120.0,-17.418,16,,726,0,0,6,542,0.6232,832.4,0,10000,167.7
11,1000,80.0,-6.075,12,,790,0,0,6,158,0.2833,593.9,0,11000,197.7
12,1000,170.0,-9.234,18,,950,0,1,10,363,0.4943,627.0,0,12000,226.9
13,1000,250.0,-4.751,20,,846,0,3,11,252,0.499,800.6,0,13000,257.4
14,1000,170.0,1.427,15,,930,0,2,9,150,0.5062,636.6,0,14000,286.8
15,1000,200.0,-1.432,18,,968,0,2,9,252,0.4863,610.7,0,15000,317.6
16,1000,220.0,-11.781,20,,909,0,2,8,697,0.5445,728.9,0,16000,346.9
17,1000,230.0,-4.166,21,,960,0,2,9,356,0.594,708.0,0,17000,376.6
18,1000,290.0,3.568,24,,986,0,3,15,306,0.6205,679.2,0,18000,406.5
19,1000,280.0,2.323,23,,936,0,3,11,286,0.554,741.7,0,19000,435.7
20,1000,250.0,9.11,23,,997,0,2,38,380,0.474,739.7,0,20000,465.9
21,1000,290.0,-1.833,24,,921,0,3,18,831,0.6583,852.4,0,21000,496.0
22,1000,280.0,4.896,26,,998,0,2,9,436,0.615,759.1,0,22000,525.8
23,1000,280.0,1.884,23,,998,0,3,13,616,0.684,683.0,0,23000,554.8
24,1000,290.0,-1.044,24,,524,0,3,14,817,0.643,819.7,0,24000,584.7
25,1000,280.0,-3.956,23,,945,0,3,21,1101,0.635,765.8,0,25000,614.9
26,1000,310.0,8.808,26,,813,0,3,54,719,0.552,784.2,0,26000,644.3
27,1000,310.0,-4.627,26,,966,0,3,27,1083,0.544,636.7,0,27000,673.5
28,1000,310.0,1.948,26,,953,0,3,20,1000,0.6385,726.9,0,28000,702.6
29,1000,310.0,-10.311,26,,851,0,3,13,985,0.6278,838.9,0,29000,733.3
30,1000,340.0,-14.832,26,,900,0,4,16,1356,0.6607,784.6,0,30000,762.5
31,1000,380.0,-7.914,27,,739,0,5,17,1051,0.6312,835.7,0,31000,792.0
32,1000,290.0,69.318,27,,987,0,2,288,663,0.4755,720.8,0,32000,821.2
33,1000,360.0,-5.139,28,,958,0,4,19,1105,0.6312,856.1,0,33000,850.7
34,1000,330.0,-4.254,28,,972,0,3,22,1011,0.5655,758.1,0,34000,879.0
35,1000,290.0,-22.103,24,,997,0,3,12,1577,0.6735,865.1,0,35000,907.1
36,1000,350.0,-2.397,27,,798,0,4,27,753,0.512,787.4,0,36000,933.9
37,1000,330.0,-11.558,25,,934,0,4,18,1342,0.6458,711.3,0,37000,964.8
38,1000,270.0,-0.614,25,,991,0,2,12,891,0.5647,713.6,0,38000,993.2
39,1000,360.0,-0.914,28,,998,0,4,26,983,0.5897,752.3,0,39000,1022.9
40,1000,330.0,-5.041,25,,934,0,4,16,990,0.6162,825.2,0,40000,1052.8
41,1000,340.0,2.215,29,,940,0,3,13,624,0.6235,715.4,0,41000,1082.3
42,1000,330.0,18.938,25,,482,0,4,45,548,0.4205,769.1,0,42000,1110.2
43,1000,360.0,-0.899,31,,980,0,3,15,843,0.6515,863.0,0,43000,1139.3
44,1000,380.0,-1.751,30,,946,0,4,14,775,0.6535,773.8,0,44000,1169.2
45,1000,350.0,-5.635,27,,808,0,4,14,925,0.6375,732.6,0,45000,1198.6
46,1000,340.0,5.529,26,,625,0,4,23,484,0.5327,862.7,0,46000,1227.7
47,1000,290.0,-15.479,24,,995,0,3,14,1083,0.626,716.8,0,47000,1256.8
48,1000,310.0,-8.086,26,,959,0,3,19,889,0.6875,831.9,0,48000,1286.6
49,1000,330.0,4.617,25,,778,0,4,38,694,0.5797,692.4,0,49000,1315.5
50,1000,300.0,5.302,22,,942,0,4,13,428,0.4325,617.7,0,50000,1346.4
51,1000,300.0,4.635,25,,902,0,3,14,480,0.5513,777.1,0,51000,1416.3
52,1000,300.0,3.415,25,,915,0,3,19,580,0.5232,786.8,0,52000,1446.0
53,1000,410.0,9.97,30,,972,0,5,36,578,0.6338,825.2,0,53000,1475.0
54,1000,330.0,8.116,25,,852,0,4,49,742,0.5155,790.1,0,54000,1504.1
55,1000,290.0,5.102,24,,961,0,3,20,518,0.556,743.9,0,55000,1533.1
56,1000,280.0,-5.78,23,,816,0,3,11,801,0.5972,853.4,0,56000,1561.6
57,1000,270.0,2.038,22,,840,0,3,14,632,0.472,653.7,0,57000,1590.3
58,1000,330.0,-4.411,28,,970,0,3,12,809,0.6135,825.5,0,58000,1619.6
59,1000,360.0,7.624,28,,942,0,4,18,534,0.5565,747.5,0,59000,1649.3
60,1000,380.0,6.241,30,,998,0,4,16,751,0.6342,856.0,0,60000,1678.8
61,1000,320.0,13.441,27,,981,0,3,37,393,0.5607,820.7,0,61000,1708.8
62,1000,380.0,-4.924,30,,751,0,4,18,930,0.5713,740.6,0,62000,1736.6
63,1000,400.0,5.847,29,,931,0,5,17,644,0.5065,734.0,0,63000,1764.8
64,1000,230.0,10.547,21,,992,0,2,41,568,0.4268,627.7,0,64000,1792.7
65,1000,420.0,4.601,34,,962,0,4,18,706,0.6188,820.1,0,65000,1821.8
66,1000,310.0,-12.708,26,,789,0,3,10,1143,0.5208,802.6,0,66000,1851.2
67,1000,270.0,5.835,22,,957,0,3,15,540,0.421,649.2,0,67000,1880.9
68,1000,230.0,9.435,21,,755,0,2,24,457,0.3767,639.7,0,68000,1905.8
69,1000,230.0,0.769,21,,945,0,2,16,664,0.4923,666.5,0,69000,1932.4
70,1000,220.0,7.307,20,,997,0,2,16,522,0.291,597.2,0,70000,1959.8
71,1000,290.0,17.344,24,,966,0,3,25,378,0.4863,626.0,0,71000,1988.8
72,1000,290.0,13.201,24,,437,0,3,12,279,0.4705,690.4,0,72000,2017.9
73,1000,210.0,-6.302,19,,375,0,2,15,837,0.4612,661.5,0,73000,2047.0
74,1000,250.0,7.416,20,,910,0,3,16,496,0.4815,550.5,0,74000,2075.4
75,1000,280.0,8.878,23,,830,0,3,19,453,0.478,711.8,0,75000,2106.3
76,1000,160.0,13.663,17,,995,0,1,50,95,0.182,554.8,0,76000,2134.8
77,1000,270.0,4.182,22,,726,0,3,15,429,0.4868,655.4,0,77000,2164.0
78,1000,160.0,15.603,17,,576,0,1,36,216,0.3232,653.4,0,78000,2193.4
79,1000,160.0,15.459,17,,553,0,1,21,117,0.294,538.9,0,79000,2222.2
80,1000,220.0,7.656,20,,720,0,2,24,335,0.3812,572.5,0,80000,2251.5
81,1000,220.0,23.194,20,,991,0,2,43,139,0.3525,575.1,0,81000,2281.4
82,1000,220.0,10.907,20,,868,0,2,13,211,0.3892,621.3,0,82000,2311.6
83,1000,200.0,22.034,18,,766,0,2,61,284,0.4075,585.3,0,83000,2340.8
84,1000,130.0,15.607,14,,598,0,1,78,468,0.3212,564.6,0,84000,2368.8
85,1000,190.0,8.176,17,,447,0,2,15,229,0.309,565.8,0,85000,2397.3
86,1000,280.0,11.733,23,,554,0,3,26,323,0.4233,705.6,0,86000,2426.2
87,1000,270.0,12.669,22,,787,0,3,21,387,0.4853,674.4,0,87000,2456.2
88,1000,100.0,19.757,14,,821,0,0,60,51,0.2707,539.0,0,88000,2485.6
89,1000,200.0,11.154,18,,976,0,2,20,216,0.3705,548.0,0,89000,2514.3
90,1000,130.0,7.128,14,,263,0,1,16,159,0.2865,533.2,0,90000,2543.8
91,1000,290.0,8.845,24,,911,0,3,19,385,0.5395,756.2,0,91000,2572.1
92,1000,270.0,-1.869,25,,984,0,2,23,678,0.578,824.2,0,92000,2603.0
93,1000,190.0,14.518,17,,932,0,2,25,295,0.406,557.7,0,93000,2633.6
94,1000,160.0,2.416,17,,1000,0,1,8,366,0.3987,710.3,0,94000,2663.6
95,1000,220.0,8.396,20,,839,0,2,17,319,0.379,576.9,0,95000,2692.9
96,1000,260.0,23.519,21,,878,0,3,67,317,0.366,645.0,0,96000,2722.5
97,1000,190.0,13.279,17,,777,0,2,25,117,0.3397,550.6,0,97000,2752.2
98,1000,240.0,12.528,19,,661,0,3,38,171,0.3693,587.5,0,98000,2780.8
99,1000,200.0,22.457,18,,755,0,2,55,183,0.2968,641.1,0,99000,2810.5
100,1000,140.0,13.127,15,,311,0,1,22,167,0.2878,567.9,0,100000,2839.5
101,1000,150.0,6.555,16,,782,0,1,24,90,0.285,531.3,0,101000,2918.3
102,1000,150.0,10.049,16,,977,0,1,28,255,0.331,578.2,0,102000,2946.1
103,1000,210.0,11.766,19,,586,0,2,30,110,0.3048,739.5,0,103000,2973.9
104,1000,100.0,16.892,14,,978,0,0,32,150,0.187,560.5,0,104000,3002.5
105,1000,90.0,24.891,13,,986,0,0,79,105,0.1148,643.0,0,105000,3031.3
106,1000,110.0,16.093,12,,924,0,1,55,251,0.1812,560.0,0,106000,3061.2
107,1000,230.0,19.113,21,,994,0,2,37,118,0.3003,667.1,0,107000,3089.6
108,1000,50.0,32.019,9,,719,0,0,110,113,0.0678,418.4,0,108000,3118.6
109,1000,70.0,27.365,11,,285,0,0,71,18,0.1295,522.2,0,109000,3147.2
110,1000,110.0,12.718,12,,975,0,1,38,29,0.0877,457.6,0,110000,3176.6
111,1000,40.0,33.996,8,,210,0,0,110,30,0.0953,487.9,0,111000,3205.9
112,1000,60.0,14.897,10,,581,0,0,28,146,0.2092,521.2,0,112000,3235.3
113,1000,150.0,8.044,16,,852,0,1,6,283,0.2295,578.2,0,113000,3264.2
114,1000,80.0,12.927,12,,892,0,0,20,146,0.2975,556.8,0,114000,3293.9
115,1000,120.0,17.267,13,,790,0,1,51,102,0.2105,533.7,0,115000,3322.8
116,1000,30.0,28.782,7,,330,0,0,70,2,0.0143,335.9,0,116000,3352.1
117,1000,150.0,6.126,16,,801,0,1,40,517,0.337,578.0,0,117000,3381.4
118,1000,130.0,20.414,14,,804,0,1,54,57,0.1273,562.7,0,118000,3411.5
119,1000,110.0,22.411,12,,614,0,1,39,40,0.118,558.6,0,119000,3441.3
120,1000,50.0,25.311,9,,958,0,0,85,14,0.085,531.4,0,120000,3470.4
121,1000,30.0,25.509,7,,127,0,0,64,94,0.0445,409.9,0,121000,3499.0
122,1000,170.0,9.302,18,,926,0,1,19,214,0.239,619.5,0,122000,3527.1
123,1000,160.0,15.071,17,,771,0,1,36,174,0.2823,545.4,0,123000,3555.6
124,1000,20.0,44.236,6,,476,0,0,100,0,0.0085,347.2,0,124000,3583.6
125,1000,50.0,37.184,9,,796,0,0,84,0,0.1135,446.8,0,125000,3612.5
126,1000,80.0,19.765,12,,1000,0,0,50,34,0.1308,573.5,0,126000,3642.0
127,1000,120.0,29.698,13,,772,0,1,74,38,0.1115,489.0,0,127000,3671.6
128,1000,80.0,24.5,12,,854,0,0,58,24,0.0958,514.5,0,128000,3701.5
129,1000,20.0,40.995,6,,850,0,0,140,15,0.0083,326.7,0,129000,3730.3
130,1000,30.0,35.162,7,,140,0,0,135,0,0.0275,517.1,0,130000,3759.6
131,1000,40.0,26.558,8,,561,0,0,84,3,0.0605,475.1,0,131000,3789.4
132,1000,40.0,29.7,8,,981,0,0,112,23,0.07,425.3,0,132000,3818.0
133,1000,70.0,7.198,11,,960,0,0,45,262,0.2717,579.1,0,133000,3847.2
134,1000,70.0,34.35,11,,382,0,0,125,112,0.1335,523.1,0,134000,3875.6
135,1000,120.0,14.546,13,,651,0,1,51,1,0.1452,538.1,0,135000,3906.6
136,1000,50.0,18.437,9,,700,0,0,63,38,0.2818,528.7,0,136000,3934.6
137,1000,40.0,12.074,8,,171,0,0,49,50,0.0867,547.8,0,137000,3963.0
138,1000,30.0,7.283,7,,586,0,0,56,139,0.1688,505.8,0,138000,3990.3
139,1000,10.0,22.57,5,,963,0,0,100,1,0.0203,415.8,0,139000,4018.2
140,1000,20.0,12.329,6,,198,0,0,59,2,0.0065,336.7,0,140000,4045.4
141,1000,30.0,8.484,7,,973,0,0,47,20,0.039,480.0,0,141000,4074.7
142,1000,50.0,11.8,9,,987,0,0,45,24,0.1098,515.9,0,142000,4103.7
143,1000,20.0,9.731,6,,165,0,0,46,0,0.01,331.0,0,143000,4133.8
144,1000,20.0,44.899,6,,119,0,0,181,0,0.0,294.0,0,144000,4163.2
145,1000,10.0,36.355,5,,84,0,0,136,0,0.0,256.8,0,145000,4192.5
146,1000,30.0,23.904,7,,689,0,0,92,0,0.0295,393.6,0,146000,4221.7
147,1000,10.0,37.468,5,,320,0,0,144,0,0.0,281.0,0,147000,4252.6
148,1000,10.0,26.604,5,,60,0,0,99,0,0.0,291.8,0,148000,4281.9
149,1000,20.0,23.475,6,,440,0,0,116,191,0.078,470.4,0,149000,4310.9
150,1000,100.0,10.658,11,,837,0,1,47,63,0.1515,502.3,0,150000,4340.0
151,1000,30.0,59.452,7,,160,0,0,258,10,0.039,478.6,0,151000,4408.1
152,1000,30.0,5.797,7,,728,0,0,48,0,0.0095,332.8,0,152000,4438.4
153,1000,10.0,37.015,5,,62,0,0,151,14,0.015,399.2,0,153000,4468.5
154,1000,30.0,69.228,7,,102,0,0,276,0,0.0147,380.5,0,154000,4497.0
155,1000,20.0,45.519,6,,409,0,0,189,0,0.008,346.9,0,155000,4525.2
156,1000,50.0,41.62,9,,695,0,0,171,0,0.0305,386.4,0,156000,4554.3
157,1000,30.0,13.343,7,,680,0,0,73,48,0.0328,338.0,0,157000,4583.1
158,1000,30.0,34.781,7,,758,0,0,158,43,0.0912,510.1,0,158000,4611.6
159,1000,20.0,28.176,6,,205,0,0,138,64,0.1015,510.6,0,159000,4640.9
160,1000,20.0,60.263,6,,142,0,0,269,0,0.015,390.3,0,160000,4670.0
161,1000,20.0,33.157,6,,700,0,0,159,17,0.0085,344.3,0,161000,4699.3
162,1000,10.0,23.721,5,,238,0,0,116,0,0.0885,484.1,0,162000,4728.7
163,1000,30.0,49.566,7,,247,0,0,205,0,0.038,418.7,0,163000,4759.5
164,1000,20.0,66.853,6,,88,0,0,290,0,0.005,340.5,0,164000,4787.6
165,1000,30.0,30.471,7,,182,0,0,147,0,0.0365,371.8,0,165000,4816.7
166,1000,10.0,44.025,5,,216,0,0,191,0,0.0,265.4,0,166000,4845.5
167,1000,30.0,60.98,7,,399,0,0,264,2,0.0283,468.9,0,167000,4874.0
168,1000,10.0,45.439,5,,49,0,0,210,0,0.0032,310.9,0,168000,4903.1
169,1000,20.0,56.717,6,,215,0,0,246,0,0.004,332.1,0,169000,4932.3
170,1000,10.0,59.06,5,,76,0,0,239,0,0.0,268.6,0,170000,4960.0
171,1000,20.0,78.353,6,,156,0,0,329,0,0.0,292.6,0,171000,4986.3
172,1000,30.0,71.235,7,,139,0,0,314,0,0.0267,427.2,0,172000,5014.8
173,1000,10.0,50.544,5,,301,0,0,225,0,0.0003,301.4,0,173000,5044.0
174,1000,20.0,87.38,6,,51,0,0,373,0,0.0,284.8,0,174000,5071.0
175,1000,20.0,10.887,6,,847,0,0,73,0,0.0138,367.5,0,175000,5100.0
176,1000,30.0,89.131,7,,445,0,0,375,6,0.006,323.7,0,176000,5129.3
177,1000,10.0,-6.01,5,,981,0,0,11,0,0.005,365.5,0,177000,5158.7
178,1000,20.0,33.6,6,,879,0,0,146,0,0.0027,302.5,0,178000,5187.9
179,1000,30.0,3.596,7,,888,1,0,45,0,0.0215,379.0,0,179000,5216.5
180,1000,20.0,48.588,6,,423,0,0,223,0,0.0077,349.6,0,180000,5246.4
181,1000,10.0,17.546,5,,303,1,0,104,0,0.0,298.4,0,181000,5276.1
182,1000,10.0,26.953,5,,130,0,0,138,0,0.0,274.7,0,182000,5305.0
183,1000,30.0,34.801,7,,749,0,0,158,1,0.0155,378.3,0,183000,5334.6
184,1000,10.0,2.901,5,,238,0,0,37,0,0.0,262.6,0,184000,5364.3
185,1000,0.0,-6.128,4,,26,0,0,1,0,0.0,280.4,0,185000,5393.9
186,1000,0.0,-7.324,4,,18,0,0,1,0,0.0,288.4,0,186000,5423.6
187,1000,10.0,20.02,5,,401,0,0,116,0,0.0005,307.0,0,187000,5451.8
188,1000,10.0,20.532,5,,172,0,0,110,0,0.0,253.7,0,188000,5481.5
189,1000,100.0,40.858,11,,361,0,1,187,87,0.079,659.3,0,189000,5510.3
190,1000,10.0,42.573,5,,199,1,0,211,0,0.0,251.2,0,190000,5538.5
191,1000,10.0,25.967,5,,137,0,0,132,0,0.0,284.9,0,191000,5566.8
192,1000,10.0,32.18,5,,276,0,0,161,0,0.0,246.5,0,192000,5597.3
193,1000,10.0,52.905,5,,188,1,0,247,0,0.0,232.4,0,193000,5627.3
194,1000,10.0,25.929,5,,151,0,0,132,0,0.0,228.2,0,194000,5656.0
195,1000,20.0,47.768,6,,260,0,0,222,0,0.0,292.7,0,195000,5684.9
196,1000,10.0,64.009,5,,410,0,0,290,0,0.0,256.3,0,196000,5713.6
197,1000,70.0,5.707,11,,824,0,0,51,200,0.1688,627.9,0,197000,5742.5
198,1000,10.0,12.211,5,,675,0,0,79,0,0.0,264.7,0,198000,5771.4
199,1000,10.0,7.12,5,,636,0,0,64,0,0.0,242.5,0,199000,5800.6
200,1000,0.0,-3.671,4,,59,1,0,22,0,0.0,260.1,0,200000,5830.4
201,1000,10.0,18.03,5,,560,2,0,108,85,0.0235,452.7,0,201000,5894.0
202,1000,0.0,-7.266,4,,130,1,0,13,0,0.0,242.0,0,202000,5924.3
203,1000,20.0,57.02,6,,382,0,0,249,0,0.0,282.5,0,203000,5953.5
204,1000,10.0,8.956,5,,321,1,0,71,0,0.0,229.0,0,204000,5983.2
205,1000,0.0,1.018,4,,93,1,0,38,0,0.0047,375.5,0,205000,6011.4
206,1000,10.0,10.968,5,,78,1,0,80,0,0.0,260.0,0,206000,6040.6
207,1000,10.0,41.364,5,,314,0,0,196,0,0.0,242.4,0,207000,6068.8
208,1000,20.0,-4.425,6,,176,2,0,9,1,0.0067,387.4,0,208000,6096.0
209,1000,10.0,37.693,5,,338,1,0,186,0,0.0,205.7,0,209000,6122.5
210,1000,10.0,40.487,5,,206,1,0,194,0,0.0,246.9,0,210000,6150.9
211,1000,0.0,5.716,4,,108,1,0,50,0,0.0,210.5,0,211000,6183.6
212,1000,20.0,72.233,6,,779,0,0,318,0,0.003,306.9,0,212000,6214.1
213,1000,20.0,21.377,6,,659,1,0,110,0,0.0032,315.7,0,213000,6243.2
214,1000,10.0,15.667,5,,178,1,0,94,0,0.001,319.5,0,214000,6273.0
215,1000,10.0,7.663,5,,936,1,0,73,0,0.0,293.9,0,215000,6302.6
