/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=joint 장치=cuda 반경=300.0 상위주기=20 시드=1
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_worker.pth
상위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_manager.pth
Ep 1 | 배송 26/50 | 재적재 4 | 도착  19 | 2홉+ 0.58 | 도달  789 | 차단  460
Ep 2 | 배송 24/50 | 재적재 2 | 도착  15 | 2홉+ 0.60 | 도달  724 | 차단  339
Ep 3 | 배송 24/50 | 재적재 3 | 도착  16 | 2홉+ 0.61 | 도달  742 | 차단  411
Ep 4 | 배송 28/50 | 재적재 3 | 도착  21 | 2홉+ 0.60 | 도달  746 | 차단  279
Ep 5 | 배송 29/50 | 재적재 3 | 도착  20 | 2홉+ 0.64 | 도달 1074 | 차단  771
Ep 6 | 배송 13/50 | 재적재 0 | 도착   2 | 2홉+ 0.45 | 도달  780 | 차단  333
Ep 7 | 배송 14/50 | 재적재 0 | 도착   7 | 2홉+ 0.44 | 도달  675 | 차단  943
Ep 8 | 배송 19/50 | 재적재 0 | 도착   8 | 2홉+ 0.56 | 도달  768 | 차단  766
Ep 9 | 배송 13/50 | 재적재 0 | 도착   6 | 2홉+ 0.38 | 도달  665 | 차단  171
Ep 10 | 배송 16/50 | 재적재 0 | 도착   6 | 2홉+ 0.62 | 도달  832 | 차단  542
Ep 11 | 배송 12/50 | 재적재 0 | 도착   6 | 2홉+ 0.28 | 도달  594 | 차단  158
Ep 12 | 배송 18/50 | 재적재 1 | 도착  10 | 2홉+ 0.49 | 도달  627 | 차단  363
Ep 13 | 배송 20/50 | 재적재 3 | 도착  11 | 2홉+ 0.50 | 도달  801 | 차단  252
Ep 14 | 배송 15/50 | 재적재 2 | 도착   9 | 2홉+ 0.51 | 도달  637 | 차단  150
Ep 15 | 배송 18/50 | 재적재 2 | 도착   9 | 2홉+ 0.49 | 도달  611 | 차단  252
Ep 16 | 배송 20/50 | 재적재 2 | 도착   8 | 2홉+ 0.54 | 도달  729 | 차단  697
Ep 17 | 배송 21/50 | 재적재 2 | 도착   9 | 2홉+ 0.59 | 도달  708 | 차단  356
Ep 18 | 배송 24/50 | 재적재 3 | 도착  15 | 2홉+ 0.62 | 도달  679 | 차단  306
Ep 19 | 배송 23/50 | 재적재 3 | 도착  11 | 2홉+ 0.55 | 도달  742 | 차단  286
Ep 20 | 배송 23/50 | 재적재 2 | 도착  38 | 2홉+ 0.47 | 도달  740 | 차단  380
Ep 21 | 배송 24/50 | 재적재 3 | 도착  18 | 2홉+ 0.66 | 도달  852 | 차단  831
Ep 22 | 배송 26/50 | 재적재 2 | 도착   9 | 2홉+ 0.61 | 도달  759 | 차단  436
Ep 23 | 배송 23/50 | 재적재 3 | 도착  13 | 2홉+ 0.68 | 도달  683 | 차단  616
Ep 24 | 배송 24/50 | 재적재 3 | 도착  14 | 2홉+ 0.64 | 도달  820 | 차단  817
Ep 25 | 배송 23/50 | 재적재 3 | 도착  21 | 2홉+ 0.64 | 도달  766 | 차단 1101
Ep 26 | 배송 26/50 | 재적재 3 | 도착  54 | 2홉+ 0.55 | 도달  784 | 차단  719
Ep 27 | 배송 26/50 | 재적재 3 | 도착  27 | 2홉+ 0.54 | 도달  637 | 차단 1083
Ep 28 | 배송 26/50 | 재적재 3 | 도착  20 | 2홉+ 0.64 | 도달  727 | 차단 1000
Ep 29 | 배송 26/50 | 재적재 3 | 도착  13 | 2홉+ 0.63 | 도달  839 | 차단  985
Ep 30 | 배송 26/50 | 재적재 4 | 도착  16 | 2홉+ 0.66 | 도달  785 | 차단 1356
Ep 31 | 배송 27/50 | 재적재 5 | 도착  17 | 2홉+ 0.63 | 도달  836 | 차단 1051
Ep 32 | 배송 27/50 | 재적재 2 | 도착 288 | 2홉+ 0.48 | 도달  721 | 차단  663
Ep 33 | 배송 28/50 | 재적재 4 | 도착  19 | 2홉+ 0.63 | 도달  856 | 차단 1105
Ep 34 | 배송 28/50 | 재적재 3 | 도착  22 | 2홉+ 0.57 | 도달  758 | 차단 1011
Ep 35 | 배송 24/50 | 재적재 3 | 도착  12 | 2홉+ 0.67 | 도달  865 | 차단 1577
Ep 36 | 배송 27/50 | 재적재 4 | 도착  27 | 2홉+ 0.51 | 도달  787 | 차단  753
Ep 37 | 배송 25/50 | 재적재 4 | 도착  18 | 2홉+ 0.65 | 도달  711 | 차단 1342
Ep 38 | 배송 25/50 | 재적재 2 | 도착  12 | 2홉+ 0.56 | 도달  714 | 차단  891
Ep 39 | 배송 28/50 | 재적재 4 | 도착  26 | 2홉+ 0.59 | 도달  752 | 차단  983
Ep 40 | 배송 25/50 | 재적재 4 | 도착  16 | 2홉+ 0.62 | 도달  825 | 차단  990
Ep 41 | 배송 29/50 | 재적재 3 | 도착  13 | 2홉+ 0.62 | 도달  715 | 차단  624
Ep 42 | 배송 25/50 | 재적재 4 | 도착  45 | 2홉+ 0.42 | 도달  769 | 차단  548
Ep 43 | 배송 31/50 | 재적재 3 | 도착  15 | 2홉+ 0.65 | 도달  863 | 차단  843
