/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_w_nocl/best_worker.pth
Ep 1 | 배송 26/50 | 재적재 3 | 도착  12 | 2홉+ 0.62 | 도달  775 | 차단  416
Ep 2 | 배송 29/50 | 재적재 3 | 도착  16 | 2홉+ 0.62 | 도달  724 | 차단  383
Ep 3 | 배송 20/50 | 재적재 1 | 도착  14 | 2홉+ 0.48 | 도달  802 | 차단  226
Ep 4 | 배송 26/50 | 재적재 3 | 도착  19 | 2홉+ 0.67 | 도달 1007 | 차단  984
Ep 5 | 배송 33/50 | 재적재 4 | 도착  16 | 2홉+ 0.58 | 도달  893 | 차단  430
Ep 6 | 배송 30/50 | 재적재 5 | 도착  32 | 2홉+ 0.60 | 도달  758 | 차단  825
Ep 7 | 배송 32/50 | 재적재 4 | 도착  34 | 2홉+ 0.57 | 도달  822 | 차단  635
Ep 8 | 배송 31/50 | 재적재 5 | 도착  36 | 2홉+ 0.60 | 도달 1020 | 차단  925
Ep 9 | 배송 29/50 | 재적재 3 | 도착  24 | 2홉+ 0.62 | 도달  902 | 차단  877
Ep 10 | 배송 24/50 | 재적재 1 | 도착  19 | 2홉+ 0.66 | 도달  967 | 차단 1568
Ep 11 | 배송 29/50 | 재적재 4 | 도착  21 | 2홉+ 0.59 | 도달  794 | 차단  641
Ep 12 | 배송 22/50 | 재적재 3 | 도착  44 | 2홉+ 0.61 | 도달  612 | 차단 1198
Ep 13 | 배송 29/50 | 재적재 4 | 도착  24 | 2홉+ 0.60 | 도달  824 | 차단  747
Ep 14 | 배송 26/50 | 재적재 3 | 도착  27 | 2홉+ 0.50 | 도달  769 | 차단  417
Ep 15 | 배송 31/50 | 재적재 4 | 도착  23 | 2홉+ 0.61 | 도달  780 | 차단  366
Ep 16 | 배송 27/50 | 재적재 3 | 도착 113 | 2홉+ 0.63 | 도달  857 | 차단  818
Ep 17 | 배송 26/50 | 재적재 3 | 도착  19 | 2홉+ 0.60 | 도달  799 | 차단  179
Ep 18 | 배송 35/50 | 재적재 5 | 도착  22 | 2홉+ 0.57 | 도달  951 | 차단  716
Ep 19 | 배송 26/50 | 재적재 3 | 도착  14 | 2홉+ 0.66 | 도달  990 | 차단 1166
Ep 20 | 배송 28/50 | 재적재 3 | 도착  16 | 2홉+ 0.60 | 도달  722 | 차단  538
Ep 21 | 배송 27/50 | 재적재 4 | 도착  23 | 2홉+ 0.58 | 도달  793 | 차단  330
Ep 22 | 배송 32/50 | 재적재 4 | 도착  17 | 2홉+ 0.58 | 도달  886 | 차단  405
Ep 23 | 배송 30/50 | 재적재 4 | 도착  21 | 2홉+ 0.63 | 도달  854 | 차단  615
Ep 24 | 배송 27/50 | 재적재 4 | 도착  16 | 2홉+ 0.60 | 도달  708 | 차단  463
Ep 25 | 배송 31/50 | 재적재 5 | 도착  27 | 2홉+ 0.59 | 도달  824 | 차단  377
Ep 26 | 배송 28/50 | 재적재 4 | 도착  20 | 2홉+ 0.60 | 도달  794 | 차단  582
Ep 27 | 배송 28/50 | 재적재 4 | 도착  21 | 2홉+ 0.60 | 도달  752 | 차단  519
Ep 28 | 배송 27/50 | 재적재 3 | 도착  23 | 2홉+ 0.59 | 도달  809 | 차단  567
Ep 29 | 배송 29/50 | 재적재 3 | 도착  19 | 2홉+ 0.57 | 도달  755 | 차단  259
Ep 30 | 배송 23/50 | 재적재 2 | 도착  50 | 2홉+ 0.50 | 도달  669 | 차단  153
Ep 31 | 배송 22/50 | 재적재 3 | 도착  17 | 2홉+ 0.59 | 도달  798 | 차단  361
Ep 32 | 배송 23/50 | 재적재 4 | 도착  19 | 2홉+ 0.58 | 도달  840 | 차단  312
Ep 33 | 배송 30/50 | 재적재 4 | 도착  21 | 2홉+ 0.63 | 도달  891 | 차단  955
Ep 34 | 배송 28/50 | 재적재 4 | 도착  16 | 2홉+ 0.59 | 도달  851 | 차단  583
Ep 35 | 배송 31/50 | 재적재 5 | 도착  17 | 2홉+ 0.58 | 도달  807 | 차단  428
Ep 36 | 배송 31/50 | 재적재 3 | 도착  12 | 2홉+ 0.66 | 도달  974 | 차단  717
Ep 37 | 배송 33/50 | 재적재 4 | 도착  17 | 2홉+ 0.62 | 도달  894 | 차단  418
Ep 38 | 배송 28/50 | 재적재 2 | 도착  17 | 2홉+ 0.65 | 도달  933 | 차단  806
Ep 39 | 배송 28/50 | 재적재 3 | 도착  14 | 2홉+ 0.54 | 도달  821 | 차단  372
Ep 40 | 배송 32/50 | 재적재 4 | 도착  20 | 2홉+ 0.61 | 도달 1042 | 차단  678
Ep 41 | 배송 28/50 | 재적재 4 | 도착  16 | 2홉+ 0.57 | 도달  955 | 차단  444
Ep 42 | 배송 30/50 | 재적재 3 | 도착  15 | 2홉+ 0.66 | 도달  792 | 차단  412
Ep 43 | 배송 31/50 | 재적재 3 | 도착  16 | 2홉+ 0.62 | 도달  907 | 차단  576
Ep 44 | 배송 26/50 | 재적재 4 | 도착  15 | 2홉+ 0.50 | 도달  851 | 차단  332
Ep 45 | 배송 30/50 | 재적재 4 | 도착  17 | 2홉+ 0.59 | 도달  882 | 차단  398
Ep 46 | 배송 27/50 | 재적재 4 | 도착  15 | 2홉+ 0.60 | 도달  726 | 차단  398
Ep 47 | 배송 30/50 | 재적재 4 | 도착  22 | 2홉+ 0.62 | 도달  887 | 차단  471
Ep 48 | 배송 27/50 | 재적재 2 | 도착  12 | 2홉+ 0.60 | 도달  763 | 차단  406
Ep 49 | 배송 26/50 | 재적재 4 | 도착  17 | 2홉+ 0.53 | 도달  749 | 차단  397
Ep 50 | 배송 27/50 | 재적재 2 | 도착  17 | 2홉+ 0.64 | 도달 1074 | 차단 1592
  [홀드아웃] 배송 22.1±6.5 재적재 1.8 2홉+ 0.61 | 최고 22.1@ep50 정체 0/15  ← 갱신
Ep 51 | 배송 34/50 | 재적재 4 | 도착  19 | 2홉+ 0.64 | 도달  865 | 차단  477
Ep 52 | 배송 23/50 | 재적재 2 | 도착  13 | 2홉+ 0.62 | 도달  795 | 차단  283
Ep 53 | 배송 30/50 | 재적재 4 | 도착  12 | 2홉+ 0.59 | 도달  802 | 차단  739
