episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,27.0833,5.283,3.1667,0.0,0.5631,799.3997,0,1,930.7
100,22.0,6.364,1.5833,0.0,0.6102,804.5042,0,0,1969.5
150,18.1667,7.1628,0.9167,0.0833,0.6606,881.8662,0,0,3009.2
200,23.25,6.6973,2.0833,0.0,0.639,795.4613,0,0,4052.0
250,20.4167,5.6341,1.6667,0.0,0.6351,916.4109,0,0,5095.7
300,15.0833,4.5177,0.5833,0.0,0.6425,907.7655,0,0,6142.7
350,19.5,5.1881,1.5833,0.0833,0.6181,876.2325,0,0,7187.5
400,17.9167,6.6766,0.9167,0.0833,0.6343,853.7179,0,0,8229.2
450,17.6667,5.647,1.25,0.0,0.673,931.4446,0,0,9285.4
500,17.0,6.4807,0.75,0.0833,0.6752,962.4023,0,0,10335.0
550,16.1667,6.5171,0.75,0.0833,0.6866,951.4594,0,0,11390.6
600,15.6667,3.2489,0.8333,0.0,0.6487,901.3023,0,0,12440.8
650,19.4167,4.8211,1.25,0.0,0.6425,881.9913,0,0,13483.1
700,15.0833,3.774,0.25,0.0,0.7062,915.592,0,0,14533.8
750,18.3333,5.1532,1.0833,0.0,0.6545,936.1837,0,0,15589.9
800,16.9167,3.7072,0.8333,0.0,0.675,915.2317,0,0,16645.4
