episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
1,1000,330.0,7.9,28,,749,0,3,12,472,0.641,836.3,0,1000,3.1
2,1000,360.0,0.617,28,,780,0,4,15,677,0.546,909.6,0,2000,6.0
3,1000,350.0,9.984,30,,955,0,3,20,539,0.6108,780.9,0,3000,8.9
4,1000,310.0,2.0,26,,990,0,3,17,713,0.6338,827.9,0,4000,11.8
5,1000,370.0,15.435,29,,939,0,4,18,496,0.6188,975.2,0,5000,15.1
6,1000,310.0,2.607,26,,906,0,3,18,514,0.4955,737.2,0,6000,32.9
7,1000,410.0,18.213,30,,788,0,5,27,370,0.5923,812.2,0,7000,52.5
8,1000,380.0,-1.353,33,,972,0,3,19,787,0.6168,841.0,0,8000,71.6
9,1000,240.0,-4.763,22,,635,0,2,12,467,0.4963,703.8,0,9000,91.0
10,1000,190.0,-9.333,20,,933,0,1,32,812,0.501,682.1,0,10000,110.9
11,1000,340.0,4.959,29,,978,0,3,13,518,0.6342,891.0,0,11000,131.1
12,1000,380.0,-1.848,30,,851,0,4,15,654,0.591,896.4,0,12000,150.7
13,1000,300.0,4.566,25,,846,0,3,15,488,0.5125,680.4,0,13000,170.8
14,1000,420.0,-0.796,31,,981,0,5,17,751,0.5985,896.0,0,14000,190.3
15,1000,420.0,9.828,34,,983,0,4,22,443,0.5773,849.8,0,15000,209.8
16,1000,360.0,20.552,28,,900,0,4,27,212,0.5695,853.0,0,16000,229.8
17,1000,430.0,6.623,32,,809,0,5,14,518,0.5927,825.3,0,17000,249.1
18,1000,310.0,0.957,26,,844,0,3,17,499,0.5765,878.9,0,18000,268.3
19,1000,300.0,8.424,25,,848,0,3,12,417,0.5847,754.2,0,19000,287.0
20,1000,440.0,13.508,33,,999,0,5,22,446,0.5998,842.6,0,20000,306.1
21,1000,400.0,23.101,29,,953,0,5,25,283,0.5523,702.8,0,21000,325.3
22,1000,330.0,8.592,28,,804,0,3,19,556,0.5905,751.5,0,22000,344.5
23,1000,440.0,3.564,33,,986,0,5,19,572,0.5933,853.3,0,23000,364.3
24,1000,440.0,8.163,36,,907,0,4,24,539,0.6248,1016.3,0,24000,384.1
25,1000,360.0,-2.371,31,,964,0,3,18,701,0.5767,911.1,0,25000,403.8
26,1000,410.0,10.189,33,,955,0,4,23,504,0.6282,903.5,0,26000,423.3
27,1000,420.0,14.547,31,,997,0,5,20,459,0.5483,882.2,0,27000,442.6
28,1000,360.0,-1.614,31,,767,0,3,17,844,0.6362,1053.9,0,28000,461.9
29,1000,280.0,4.464,26,,991,0,2,17,484,0.6118,725.5,0,29000,481.7
30,1000,320.0,1.227,27,,832,0,3,12,553,0.6505,855.6,0,30000,500.9
31,1000,420.0,10.685,31,,956,0,5,17,447,0.6198,957.3,0,31000,520.7
32,1000,370.0,3.69,32,,991,0,3,19,564,0.6115,761.1,0,32000,540.7
33,1000,360.0,-7.025,31,,905,0,3,14,864,0.6452,852.9,0,33000,560.5
34,1000,330.0,3.099,25,,950,0,4,19,457,0.4677,664.2,0,34000,580.7
35,1000,400.0,17.578,32,,959,0,4,28,405,0.5825,940.7,0,35000,601.2
36,1000,280.0,4.843,23,,846,0,3,17,497,0.4823,821.6,0,36000,621.5
37,1000,350.0,9.769,30,,992,0,3,16,437,0.661,853.6,0,37000,642.3
38,1000,410.0,17.539,30,,767,0,5,22,398,0.5988,795.1,0,38000,662.5
39,1000,420.0,6.509,31,,988,0,5,19,580,0.6005,893.0,0,39000,681.9
40,1000,440.0,13.955,36,,941,0,4,24,465,0.5982,899.3,0,40000,701.8
41,1000,380.0,5.889,30,,989,0,4,18,445,0.601,783.3,0,41000,720.8
42,1000,370.0,3.408,29,,796,0,4,17,443,0.6442,961.6,0,42000,740.3
43,1000,360.0,7.304,28,,954,0,4,20,445,0.645,843.4,0,43000,760.0
44,1000,330.0,6.823,28,,896,0,3,16,381,0.6042,718.0,0,44000,779.1
45,1000,380.0,10.078,30,,955,0,4,16,374,0.6105,778.7,0,45000,798.8
46,1000,310.0,-0.862,26,,892,0,3,15,470,0.6072,736.0,0,46000,817.7
47,1000,400.0,5.143,32,,995,0,4,20,568,0.6315,804.9,0,47000,838.1
48,1000,310.0,1.47,26,,937,0,3,12,566,0.632,761.3,0,48000,857.7
49,1000,330.0,1.525,28,,839,0,3,21,823,0.611,1012.6,0,49000,877.6
50,1000,330.0,7.451,28,,921,0,3,15,551,0.6068,828.3,0,50000,895.4
