episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
1,1000,330.0,-2.891,28,,921,0,3,13,838,0.638,895.1,,,0,1000,3.3
2,1000,450.0,9.708,34,,986,0,5,17,603,0.606,978.0,,,0,2000,5.4
3,1000,290.0,4.097,27,,955,0,2,12,324,0.6245,792.0,,,0,3000,7.6
4,1000,350.0,13.792,27,,961,0,4,15,345,0.5985,720.6,,,0,4000,9.7
5,1000,430.0,7.743,35,,981,0,4,18,547,0.6345,905.8,,,0,5000,11.8
6,1000,450.0,0.709,34,,996,0,5,17,734,0.588,885.6,,,0,6000,24.2
7,1000,350.0,8.999,30,,968,0,3,34,412,0.6052,756.4,,,0,7000,38.2
8,1000,330.0,14.468,28,,866,0,3,93,727,0.6122,921.3,,,0,8000,50.2
9,1000,430.0,2.1,32,,990,0,5,41,743,0.6072,902.2,,,0,9000,62.4
10,1000,370.0,-6.9,32,,909,0,3,23,1002,0.598,835.9,,,0,10000,75.7
11,1000,380.0,-10.297,30,,833,0,4,29,1172,0.6495,799.6,,,0,11000,87.8
12,1000,380.0,8.25,33,,913,0,3,30,590,0.6085,872.0,,,0,12000,100.5
13,1000,410.0,5.082,33,,994,0,4,35,607,0.564,772.9,,,0,13000,112.2
14,1000,340.0,14.756,29,,911,0,3,45,490,0.5972,791.9,,,0,14000,124.2
15,1000,340.0,-11.177,29,,915,0,3,29,1123,0.6245,996.2,,,0,15000,137.5
16,1000,460.0,17.856,35,,867,0,5,37,284,0.5845,997.8,,,0,16000,149.9
17,1000,390.0,6.741,31,,867,0,4,30,484,0.6355,743.0,,,0,17000,162.1
18,1000,370.0,6.637,29,,870,0,4,30,624,0.6075,853.3,,,0,18000,175.3
19,1000,450.0,7.445,34,,830,0,5,36,683,0.5815,839.4,,,0,19000,186.9
20,1000,560.0,15.271,39,,881,0,7,25,488,0.5968,895.0,,,0,20000,198.6
21,1000,380.0,6.758,30,,974,0,4,22,281,0.5913,763.0,,,0,21000,211.4
22,1000,350.0,1.523,30,,948,0,3,27,773,0.6613,736.6,,,0,22000,222.1
23,1000,420.0,10.122,31,,697,0,5,30,626,0.5523,997.3,,,0,23000,235.4
