/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_04_15_w/best_worker.pth
Ep 1 | 배송 28/50 | 재적재 3 | 도착  13 | 2홉+ 0.64 | 도달  895 | 차단  838 | 정지 0.39 최장   3
Ep 2 | 배송 34/50 | 재적재 5 | 도착  17 | 2홉+ 0.61 | 도달  978 | 차단  603 | 정지 0.23 최장   1
Ep 3 | 배송 27/50 | 재적재 2 | 도착  12 | 2홉+ 0.62 | 도달  792 | 차단  324 | 정지 0.02 최장   3
Ep 4 | 배송 27/50 | 재적재 4 | 도착  15 | 2홉+ 0.60 | 도달  721 | 차단  345 | 정지 0.05 최장   7
Ep 5 | 배송 35/50 | 재적재 4 | 도착  18 | 2홉+ 0.63 | 도달  906 | 차단  547 | 정지 0.46 최장   5
Ep 6 | 배송 34/50 | 재적재 5 | 도착  17 | 2홉+ 0.59 | 도달  886 | 차단  734 | 정지 0.01 최장   4
Ep 7 | 배송 30/50 | 재적재 3 | 도착  34 | 2홉+ 0.61 | 도달  756 | 차단  412 | 정지 0.02 최장   4
Ep 8 | 배송 28/50 | 재적재 3 | 도착  93 | 2홉+ 0.61 | 도달  921 | 차단  727 | 정지 0.05 최장   2
Ep 9 | 배송 32/50 | 재적재 5 | 도착  41 | 2홉+ 0.61 | 도달  902 | 차단  743 | 정지 0.21 최장   3
Ep 10 | 배송 32/50 | 재적재 3 | 도착  23 | 2홉+ 0.60 | 도달  836 | 차단 1002 | 정지 0.48 최장   4
Ep 11 | 배송 30/50 | 재적재 4 | 도착  29 | 2홉+ 0.65 | 도달  800 | 차단 1172 | 정지 0.93 최장  18
Ep 12 | 배송 33/50 | 재적재 3 | 도착  30 | 2홉+ 0.61 | 도달  872 | 차단  590 | 정지 0.00 최장   4
Ep 13 | 배송 33/50 | 재적재 4 | 도착  35 | 2홉+ 0.56 | 도달  773 | 차단  607 | 정지 0.27 최장   4
Ep 14 | 배송 29/50 | 재적재 3 | 도착  45 | 2홉+ 0.60 | 도달  792 | 차단  490 | 정지 0.00 최장   2
Ep 15 | 배송 29/50 | 재적재 3 | 도착  29 | 2홉+ 0.62 | 도달  996 | 차단 1123 | 정지 0.50 최장   3
Ep 16 | 배송 35/50 | 재적재 5 | 도착  37 | 2홉+ 0.58 | 도달  998 | 차단  284 | 정지 0.02 최장   1
Ep 17 | 배송 31/50 | 재적재 4 | 도착  30 | 2홉+ 0.64 | 도달  743 | 차단  484 | 정지 0.00 최장   4
Ep 18 | 배송 29/50 | 재적재 4 | 도착  30 | 2홉+ 0.61 | 도달  853 | 차단  624 | 정지 0.24 최장   2
Ep 19 | 배송 34/50 | 재적재 5 | 도착  36 | 2홉+ 0.58 | 도달  839 | 차단  683 | 정지 0.65 최장   2
Ep 20 | 배송 39/50 | 재적재 7 | 도착  25 | 2홉+ 0.60 | 도달  895 | 차단  488 | 정지 0.02 최장   8
Ep 21 | 배송 30/50 | 재적재 4 | 도착  22 | 2홉+ 0.59 | 도달  763 | 차단  281 | 정지 0.15 최장   2
Ep 22 | 배송 30/50 | 재적재 3 | 도착  27 | 2홉+ 0.66 | 도달  737 | 차단  773 | 정지 0.25 최장   3
Ep 23 | 배송 31/50 | 재적재 5 | 도착  30 | 2홉+ 0.55 | 도달  997 | 차단  626 | 정지 0.12 최장   3
Ep 24 | 배송 31/50 | 재적재 5 | 도착  24 | 2홉+ 0.63 | 도달  853 | 차단  752 | 정지 0.52 최장   4
Ep 25 | 배송 26/50 | 재적재 3 | 도착  13 | 2홉+ 0.62 | 도달  956 | 차단  502 | 정지 0.66 최장   4
Ep 26 | 배송 30/50 | 재적재 4 | 도착  19 | 2홉+ 0.61 | 도달  863 | 차단  769 | 정지 0.02 최장   6
Ep 27 | 배송 35/50 | 재적재 5 | 도착  25 | 2홉+ 0.63 | 도달  903 | 차단  394 | 정지 0.15 최장   5
Ep 28 | 배송 34/50 | 재적재 4 | 도착  19 | 2홉+ 0.58 | 도달  842 | 차단  356 | 정지 0.02 최장   2
Ep 29 | 배송 30/50 | 재적재 5 | 도착  19 | 2홉+ 0.56 | 도달  775 | 차단  605 | 정지 0.49 최장   4
Ep 30 | 배송 32/50 | 재적재 3 | 도착  21 | 2홉+ 0.60 | 도달  757 | 차단  540 | 정지 0.44 최장   2
