episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,14.75,5.6734,0.75,0.0,0.6661,678.1559,0,1,362.8
100,22.3333,8.1172,2.3333,0.0,0.5529,651.2444,0,1,752.5
150,22.25,9.2837,2.5,0.0,0.5387,674.0896,0,0,1140.9
200,19.3333,7.771,1.8333,0.1667,0.5643,727.4302,0,0,1527.8
250,17.6667,8.4689,1.4167,0.0833,0.5912,584.9785,0,0,1910.9
300,23.4167,8.5679,2.1667,0.0,0.6185,677.449,0,1,2300.6
350,23.1667,8.7162,2.4167,0.0,0.6101,727.121,0,0,2699.9
400,14.5,6.994,0.9167,0.0,0.5761,548.6764,0,0,3093.9
450,21.8333,10.8921,2.0833,0.0,0.5912,682.7384,0,0,3482.4
500,16.5833,6.3961,1.3333,0.0,0.6007,634.8461,0,0,3856.8
550,14.6667,8.35,0.75,0.0833,0.4839,591.2619,0,0,4227.8
600,8.5833,3.7296,0.25,0.3333,0.57,607.0696,0,0,4608.3
650,12.1667,5.9137,0.5,0.3333,0.5866,640.634,0,0,4989.0
700,8.25,4.1054,0.0833,0.1667,0.5271,501.1141,0,0,5371.1
750,5.75,4.798,0.0833,0.75,0.2464,392.057,0,0,5739.3
800,6.5833,4.5177,0.0833,0.6667,0.2514,452.2467,0,0,6116.1
850,5.75,5.0847,0.0833,1.4167,0.2361,380.9701,0,0,6484.9
900,8.8333,4.9131,0.0,0.5,0.4815,546.996,0,0,6860.4
950,11.9167,5.7076,0.4167,0.4167,0.4905,560.1045,0,0,7236.1
1000,9.4167,3.9887,0.0833,0.3333,0.4187,503.1081,0,0,7615.8
1050,5.0,3.3665,0.0,1.5833,0.3194,383.9875,0,0,7996.8
