episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
1,1000,-40.0,-12.258,0,,0,4,0,0,16,0.2142,429.8,,,0,1000,2.9
2,1000,-30.0,-13.887,1,,246,3,0,1,228,0.2188,528.0,,,0,2000,5.3
3,1000,-40.0,-11.414,0,,0,4,0,0,0,0.2273,472.1,,,0,3000,7.1
4,1000,-40.0,-11.877,0,,0,4,0,0,5,0.1963,498.9,,,0,4000,8.8
5,1000,-40.0,-11.612,0,,0,4,0,0,7,0.1797,502.5,,,0,5000,10.5
6,1000,140.0,-7.543,18,,910,0,0,16,271,0.477,728.2,,,0,6000,21.0
7,1000,120.0,-7.274,16,,982,0,0,16,271,0.5105,662.1,,,0,7000,28.2
8,1000,150.0,-2.154,19,,899,0,0,19,279,0.5665,738.5,,,0,8000,35.4
9,1000,230.0,1.06,21,,990,0,2,21,220,0.3962,606.5,,,0,9000,43.0
10,1000,250.0,4.783,23,,921,0,2,23,171,0.5015,782.0,,,0,10000,50.3
11,1000,270.0,-1.043,22,,844,0,3,23,487,0.5505,772.5,,,0,11000,57.5
12,1000,290.0,5.647,24,,884,0,3,27,318,0.4848,712.2,,,0,12000,64.4
13,1000,350.0,7.973,27,,947,0,4,29,334,0.5008,735.6,,,0,13000,71.8
14,1000,260.0,-9.969,21,,913,0,3,23,995,0.6122,684.1,,,0,14000,79.1
15,1000,320.0,-4.406,24,,836,0,4,27,933,0.595,646.6,,,0,15000,86.3
16,1000,240.0,-7.687,22,,828,0,2,22,883,0.4943,685.1,,,0,16000,93.3
17,1000,320.0,-3.783,27,,851,0,3,30,1101,0.6132,794.7,,,0,17000,100.3
18,1000,250.0,-15.557,23,,415,0,2,26,1421,0.5797,746.3,,,0,18000,108.0
19,1000,420.0,3.329,31,,967,0,5,34,949,0.6335,795.3,,,0,19000,115.2
20,1000,420.0,1.774,31,,981,0,5,35,1162,0.635,761.1,,,0,20000,122.3
21,1000,460.0,5.407,32,,799,0,6,36,1024,0.539,714.7,,,0,21000,129.4
22,1000,390.0,-12.29,31,,947,0,4,35,1733,0.59,865.5,,,0,22000,137.2
23,1000,440.0,-2.031,33,,866,0,5,36,1344,0.6215,831.1,,,0,23000,144.5
24,1000,350.0,-20.851,27,,589,0,4,33,1912,0.6228,703.8,,,0,24000,151.9
25,1000,400.0,-0.305,32,,962,0,4,34,1277,0.644,879.1,,,0,25000,159.2
26,1000,300.0,-22.611,25,,868,0,3,29,1829,0.6208,753.9,,,0,26000,166.6
27,1000,460.0,3.293,32,,780,0,6,39,1131,0.6617,815.5,,,0,27000,174.3
28,1000,450.0,-1.382,34,,872,0,5,38,1281,0.6128,870.1,,,0,28000,181.5
29,1000,220.0,-33.923,23,,994,0,1,25,2280,0.6082,757.5,,,0,29000,188.7
30,1000,320.0,-16.902,27,,862,0,3,32,1867,0.593,711.8,,,0,30000,195.9
31,1000,360.0,-14.742,28,,524,0,4,32,1805,0.5958,709.9,,,0,31000,203.6
32,1000,280.0,-41.958,23,,472,0,3,28,2644,0.6825,643.4,,,0,32000,211.1
33,1000,340.0,-20.237,29,,978,0,3,30,1847,0.6745,736.8,,,0,33000,218.4
34,1000,380.0,-5.843,30,,995,0,4,36,1220,0.639,836.6,,,0,34000,225.7
35,1000,240.0,-39.992,22,,908,0,2,23,2196,0.6763,739.3,,,0,35000,233.1
36,1000,350.0,-14.931,27,,594,0,4,29,1549,0.5295,792.7,,,0,36000,240.7
37,1000,380.0,-1.871,30,,903,0,4,37,1192,0.6135,745.4,,,0,37000,247.8
38,1000,220.0,-41.009,23,,975,0,1,25,2333,0.644,640.3,,,0,38000,255.2
