/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
Ep 1 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.21 | 도달  430 | 차단   16 | 정지 0.00 최장   0
Ep 2 | 배송  1/50 | 재적재 0 | 도착   1 | 2홉+ 0.22 | 도달  528 | 차단  228 | 정지 0.01 최장   2
Ep 3 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.23 | 도달  472 | 차단    0 | 정지 0.00 최장   0
Ep 4 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.20 | 도달  499 | 차단    5 | 정지 0.00 최장   0
Ep 5 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.18 | 도달  502 | 차단    7 | 정지 0.00 최장   0
Ep 6 | 배송 18/50 | 재적재 0 | 도착  16 | 2홉+ 0.48 | 도달  728 | 차단  271 | 정지 0.17 최장   3
Ep 7 | 배송 16/50 | 재적재 0 | 도착  16 | 2홉+ 0.51 | 도달  662 | 차단  271 | 정지 0.30 최장   1
Ep 8 | 배송 19/50 | 재적재 0 | 도착  19 | 2홉+ 0.57 | 도달  739 | 차단  279 | 정지 0.12 최장   2
Ep 9 | 배송 21/50 | 재적재 2 | 도착  21 | 2홉+ 0.40 | 도달  606 | 차단  220 | 정지 0.02 최장   1
Ep 10 | 배송 23/50 | 재적재 2 | 도착  23 | 2홉+ 0.50 | 도달  782 | 차단  171 | 정지 0.07 최장   1
Ep 11 | 배송 22/50 | 재적재 3 | 도착  23 | 2홉+ 0.55 | 도달  773 | 차단  487 | 정지 0.05 최장   3
