/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 1 |  5641스텝 | 배송 47/50 | 재적재  8 | 정지 0.22 교착최장 100 | deadlock
Ep 2 |  3489스텝 | 배송 43/50 | 재적재  7 | 정지 0.21 교착최장  26 | no_progress
Ep 3 |  1754스텝 | 배송 40/50 | 재적재  7 | 정지 0.14 교착최장 100 | deadlock
Ep 4 |  4209스텝 | 배송 44/50 | 재적재  7 | 정지 0.18 교착최장  15 | no_progress
Ep 5 |  3474스텝 | 배송 42/50 | 재적재  8 | 정지 0.18 교착최장  16 | no_progress
Ep 6 |  3466스텝 | 배송 43/50 | 재적재  7 | 정지 0.18 교착최장  19 | no_progress
Ep 7 |  3019스텝 | 배송 47/50 | 재적재  7 | 정지 0.15 교착최장  11 | no_progress
Ep 8 |  5134스텝 | 배송 44/50 | 재적재  7 | 정지 0.13 교착최장   7 | no_progress
Ep 9 |  3189스텝 | 배송 35/50 | 재적재  6 | 정지 0.16 교착최장  13 | no_progress
Ep 10 |  2986스텝 | 배송 37/50 | 재적재  7 | 정지 0.31 교착최장  39 | no_progress
Ep 11 |  4434스텝 | 배송 44/50 | 재적재  7 | 정지 0.16 교착최장  23 | no_progress
Ep 12 |  5812스텝 | 배송 46/50 | 재적재  8 | 정지 0.19 교착최장  23 | no_progress
Ep 13 |  3967스텝 | 배송 44/50 | 재적재  7 | 정지 0.21 교착최장  25 | no_progress
Ep 14 |  1878스텝 | 배송 24/50 | 재적재  2 | 정지 0.33 교착최장  16 | no_progress
Ep 15 |  3672스텝 | 배송 44/50 | 재적재  7 | 정지 0.14 교착최장  17 | no_progress
Ep 16 |  4963스텝 | 배송 45/50 | 재적재  7 | 정지 0.14 교착최장  14 | no_progress
Ep 17 |  4960스텝 | 배송 45/50 | 재적재  8 | 정지 0.20 교착최장  20 | no_progress
Ep 18 |  4571스텝 | 배송 45/50 | 재적재  7 | 정지 0.13 교착최장  11 | no_progress
Ep 19 |  4893스텝 | 배송 40/50 | 재적재  7 | 정지 0.19 교착최장  23 | no_progress
Ep 20 |  3066스텝 | 배송 32/50 | 재적재  4 | 정지 0.16 교착최장  14 | no_progress
Ep 21 |  5532스텝 | 배송 48/50 | 재적재  8 | 정지 0.13 교착최장  16 | no_progress
Ep 22 |  6008스텝 | 배송 43/50 | 재적재  8 | 정지 0.12 교착최장  11 | no_progress
Ep 23 |  6267스텝 | 배송 40/50 | 재적재  7 | 정지 0.14 교착최장  15 | no_progress
Ep 24 |  4329스텝 | 배송 43/50 | 재적재  7 | 정지 0.16 교착최장  10 | no_progress
Ep 25 |  6308스텝 | 배송 44/50 | 재적재  8 | 정지 0.17 교착최장  21 | no_progress
Ep 26 |  4376스텝 | 배송 36/50 | 재적재  5 | 정지 0.12 교착최장  11 | no_progress
Ep 27 |  4314스텝 | 배송 43/50 | 재적재  7 | 정지 0.19 교착최장  18 | no_progress
Ep 28 |  5158스텝 | 배송 44/50 | 재적재  8 | 정지 0.11 교착최장  16 | no_progress
Ep 29 |  6094스텝 | 배송 44/50 | 재적재  8 | 정지 0.10 교착최장  19 | no_progress
Ep 30 |  4006스텝 | 배송 40/50 | 재적재  7 | 정지 0.17 교착최장  14 | no_progress
Ep 31 |  5446스텝 | 배송 44/50 | 재적재  7 | 정지 0.18 교착최장  20 | no_progress
Ep 32 |  5318스텝 | 배송 40/50 | 재적재  8 | 정지 0.16 교착최장  16 | no_progress
Ep 33 |  4089스텝 | 배송 41/50 | 재적재  6 | 정지 0.17 교착최장  36 | no_progress
Ep 34 |  5604스텝 | 배송 46/50 | 재적재  7 | 정지 0.19 교착최장  51 | no_progress
Ep 35 |  2877스텝 | 배송 36/50 | 재적재  7 | 정지 0.13 교착최장   4 | no_progress
Ep 36 |  5496스텝 | 배송 37/50 | 재적재  6 | 정지 0.16 교착최장  23 | no_progress
Ep 37 |  2929스텝 | 배송 38/50 | 재적재  6 | 정지 0.13 교착최장   9 | no_progress
Ep 38 |  4093스텝 | 배송 43/50 | 재적재  7 | 정지 0.14 교착최장  17 | no_progress
Ep 39 |  5292스텝 | 배송 45/50 | 재적재  8 | 정지 0.14 교착최장  30 | no_progress
Ep 40 |  4834스텝 | 배송 44/50 | 재적재  7 | 정지 0.14 교착최장  22 | no_progress
Ep 41 |  4326스텝 | 배송 45/50 | 재적재  8 | 정지 0.14 교착최장  12 | no_progress
Ep 42 |  2809스텝 | 배송 37/50 | 재적재  6 | 정지 0.20 교착최장  15 | no_progress
Ep 43 |  3490스텝 | 배송 41/50 | 재적재  7 | 정지 0.18 교착최장  10 | no_progress
Ep 44 |  4910스텝 | 배송 44/50 | 재적재  7 | 정지 0.19 교착최장  12 | no_progress
Ep 45 |  3305스텝 | 배송 41/50 | 재적재  7 | 정지 0.16 교착최장  15 | no_progress
Ep 46 |  5817스텝 | 배송 44/50 | 재적재  7 | 정지 0.13 교착최장  16 | no_progress
Ep 47 |  5936스텝 | 배송 41/50 | 재적재  7 | 정지 0.13 교착최장  14 | no_progress
Ep 48 |  3953스텝 | 배송 40/50 | 재적재  7 | 정지 0.17 교착최장  13 | no_progress
Ep 49 |  3729스텝 | 배송 37/50 | 재적재  6 | 정지 0.17 교착최장   6 | no_progress
Ep 50 |  5367스텝 | 배송 41/50 | 재적재  6 | 정지 0.21 교착최장  12 | no_progress
  [홀드아웃] 배송 16.8±8.4 재적재 0.9 2홉+ 0.42 | 최고 16.8@ep50 정체 0/15  ← 갱신
Ep 51 |  2099스텝 | 배송 23/50 | 재적재  2 | 정지 0.14 교착최장  12 | no_progress
Ep 52 |  3892스텝 | 배송 43/50 | 재적재  6 | 정지 0.13 교착최장  17 | no_progress
Ep 53 |  2727스텝 | 배송 35/50 | 재적재  5 | 정지 0.36 교착최장 100 | deadlock
Ep 54 |  4883스텝 | 배송 46/50 | 재적재  7 | 정지 0.13 교착최장  14 | no_progress
Ep 55 |  5148스텝 | 배송 43/50 | 재적재  7 | 정지 0.13 교착최장  14 | no_progress
Ep 56 |  3806스텝 | 배송 41/50 | 재적재  5 | 정지 0.23 교착최장  15 | no_progress
Ep 57 |  3434스텝 | 배송 36/50 | 재적재  6 | 정지 0.19 교착최장  39 | no_progress
Ep 58 |  5580스텝 | 배송 44/50 | 재적재  7 | 정지 0.15 교착최장  14 | no_progress
Ep 59 |  5021스텝 | 배송 39/50 | 재적재  6 | 정지 0.19 교착최장  34 | no_progress
Ep 60 |  5668스텝 | 배송 47/50 | 재적재  8 | 정지 0.17 교착최장  18 | no_progress
Ep 61 |  3969스텝 | 배송 45/50 | 재적재  8 | 정지 0.14 교착최장  36 | no_progress
Ep 62 |  3633스텝 | 배송 38/50 | 재적재  6 | 정지 0.13 교착최장  10 | no_progress
Ep 63 |  5148스텝 | 배송 42/50 | 재적재  7 | 정지 0.14 교착최장  11 | no_progress
Ep 64 |  3087스텝 | 배송 38/50 | 재적재  6 | 정지 0.17 교착최장   8 | no_progress
Ep 65 |  4886스텝 | 배송 44/50 | 재적재  8 | 정지 0.15 교착최장  34 | no_progress
Ep 66 |  3242스텝 | 배송 40/50 | 재적재  7 | 정지 0.19 교착최장  23 | no_progress
Ep 67 |  3492스텝 | 배송 39/50 | 재적재  7 | 정지 0.15 교착최장  23 | no_progress
Ep 68 |  4655스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  45 | no_progress
Ep 69 |  4695스텝 | 배송 46/50 | 재적재  8 | 정지 0.12 교착최장  16 | no_progress
Ep 70 |  4434스텝 | 배송 45/50 | 재적재  8 | 정지 0.11 교착최장  18 | no_progress
Ep 71 |  5812스텝 | 배송 45/50 | 재적재  8 | 정지 0.08 교착최장  10 | no_progress
Ep 72 |  4945스텝 | 배송 47/50 | 재적재  8 | 정지 0.16 교착최장  16 | no_progress
Ep 73 |  4080스텝 | 배송 43/50 | 재적재  7 | 정지 0.14 교착최장  13 | no_progress
Ep 74 |  4112스텝 | 배송 42/50 | 재적재  8 | 정지 0.10 교착최장  13 | no_progress
Ep 75 |  3676스텝 | 배송 39/50 | 재적재  6 | 정지 0.12 교착최장  13 | no_progress
Ep 76 |  1848스텝 | 배송 11/50 | 재적재  0 | 정지 0.09 교착최장   3 | no_progress
Ep 77 |  4233스텝 | 배송 38/50 | 재적재  7 | 정지 0.14 교착최장  13 | no_progress
Ep 78 |  4775스텝 | 배송 44/50 | 재적재  8 | 정지 0.12 교착최장   6 | no_progress
Ep 79 |  7362스텝 | 배송 45/50 | 재적재  8 | 정지 0.19 교착최장  40 | no_progress
Ep 80 |  4901스텝 | 배송 44/50 | 재적재  7 | 정지 0.17 교착최장  14 | no_progress
Ep 81 |  5098스텝 | 배송 42/50 | 재적재  6 | 정지 0.20 교착최장  27 | no_progress
Ep 82 |  4155스텝 | 배송 40/50 | 재적재  7 | 정지 0.14 교착최장  17 | no_progress
Ep 83 |  4010스텝 | 배송 43/50 | 재적재  7 | 정지 0.14 교착최장  18 | no_progress
