episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,19.0,8.4755,1.3333,0.4167,0.4599,591.976,0,1,2486.5
100,6.3333,9.2045,0.3333,2.6667,0.1294,250.6211,0,0,5405.6
150,10.0833,7.1,0.25,1.25,0.2271,471.9306,0,0,8101.9
200,9.5,10.0954,0.9167,1.5,0.171,391.5762,0,0,10915.8
250,12.3333,7.004,0.6667,0.8333,0.2869,540.4869,0,0,14332.5
300,11.9167,9.9788,1.0,1.5833,0.2793,432.7544,0,0,18112.0
350,14.8333,6.216,0.9167,0.3333,0.3862,536.8666,0,0,18914.9
400,13.0833,5.5746,0.5833,0.4167,0.3986,560.4119,0,0,19631.3
450,14.5,8.4607,0.75,0.4167,0.4252,534.5611,0,0,20354.7
500,17.9167,4.0303,1.25,0.0833,0.4388,571.3208,0,0,20989.2
550,16.4167,6.5633,0.9167,0.3333,0.4008,552.2761,0,0,21601.4
600,16.0833,6.2378,1.0833,0.25,0.4113,601.9965,0,0,22167.0
650,17.25,4.4558,0.4167,0.0,0.4953,641.9436,0,0,22808.3
700,16.25,3.6315,1.0,0.0,0.4196,560.477,0,0,23455.1
750,15.25,6.7346,0.8333,0.5,0.4422,572.8938,0,0,24228.5
800,14.25,7.0253,1.1667,0.5833,0.371,560.2157,0,0,24894.9
