episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,3895,494.2,0.914,44,,2896,0,7,28,3082,0.634,990.7,0.175,19,no_progress,0,3895,9.7
2,4925,503.0,-54.067,46,,3926,0,8,57,4566,0.6016,942.1,0.2068,28,no_progress,0,8820,62.7
3,1689,242.44,-40.758,25,,690,0,2,13,2787,0.521,781.9,0.3824,23,no_progress,0,10509,83.1
4,2421,403.16,-39.465,35,,1984,0,5,36,2840,0.5853,873.6,0.268,100,deadlock,0,12930,111.9
5,2801,257.96,-64.977,25,,1802,0,4,18,3730,0.5286,794.5,0.3087,32,no_progress,0,15731,147.3
6,3928,572.88,-16.44,46,,2929,0,9,43,2859,0.4812,993.1,0.1609,24,no_progress,0,19659,197.3
7,4176,562.96,-39.236,49,,3177,0,8,61,4246,0.5784,1028.8,0.232,48,no_progress,0,23835,247.3
8,3914,523.44,-0.313,44,,2915,0,8,37,2240,0.5198,891.2,0.1226,17,no_progress,0,27749,294.0
9,2599,366.04,-8.654,32,,1600,0,5,28,1681,0.5044,742.1,0.1428,23,no_progress,0,30348,323.9
10,4182,392.72,-13.91,38,,3183,0,6,31,2758,0.5991,885.0,0.1383,11,no_progress,0,34530,374.9
11,4780,448.8,-48.923,40,,3781,0,8,32,4038,0.5842,866.2,0.1901,11,no_progress,0,39310,434.6
12,5070,437.2,-6.864,40,,4071,0,8,28,2738,0.5261,884.2,0.1139,18,no_progress,0,44380,494.7
13,3003,349.88,-3.502,32,,2004,0,5,33,2069,0.5068,711.8,0.1462,7,no_progress,0,47383,532.5
14,2770,469.2,7.676,40,,1771,0,6,32,2179,0.6469,897.9,0.1745,21,no_progress,0,50153,567.0
15,6654,433.84,-25.122,46,,5655,0,8,35,5320,0.5965,1022.1,0.1751,20,no_progress,0,56807,648.0
16,4264,409.44,-6.331,40,,3265,0,6,27,2766,0.6093,971.8,0.1376,25,no_progress,0,61071,701.9
17,4326,486.96,-12.091,42,,3327,0,8,30,2755,0.5787,907.6,0.1352,9,no_progress,0,65397,754.3
18,4077,406.92,-25.547,36,,3078,0,7,33,2800,0.567,860.7,0.1467,11,no_progress,0,69474,805.0
19,4965,471.4,-7.68,43,,3966,0,8,30,3900,0.6369,977.6,0.1761,43,no_progress,0,74439,864.5
20,4504,419.84,-1.747,39,,3505,0,7,25,2872,0.6269,844.0,0.1337,14,no_progress,0,78943,920.9
21,4920,443.2,-14.012,40,,3921,0,8,28,3002,0.6126,900.3,0.1316,15,no_progress,0,83863,982.1
22,2870,235.2,-3.799,26,,1871,0,3,19,1819,0.5496,679.0,0.1325,5,no_progress,0,86733,1017.0
23,4264,409.44,-5.382,40,,3265,0,6,25,2420,0.6289,889.5,0.1176,17,no_progress,0,90997,1069.2
24,5233,340.68,-33.318,37,,4234,0,6,21,3824,0.5653,842.3,0.1576,17,no_progress,0,96230,1136.4
25,3057,337.72,-80.269,31,,2058,0,5,21,4564,0.6479,873.2,0.3486,49,no_progress,0,99287,1178.9
26,6468,281.28,-109.569,39,,5469,0,5,26,6992,0.6332,866.5,0.2364,41,no_progress,0,105755,1258.7
27,3313,357.48,-20.633,34,,2314,0,5,28,2490,0.6108,800.2,0.1594,10,no_progress,0,109068,1299.3
28,2772,449.12,-13.162,38,,1773,0,6,61,2552,0.5767,929.1,0.2072,28,no_progress,0,111840,1333.7
29,6099,376.04,-49.523,41,,5100,0,7,28,5056,0.6113,876.5,0.1785,19,no_progress,0,117939,1410.1
30,2453,351.88,4.281,30,,1454,0,5,22,1435,0.611,716.0,0.1245,11,no_progress,0,120392,1440.9
31,2663,463.48,-3.682,39,,1664,0,6,32,2054,0.6646,920.9,0.1714,11,no_progress,0,123055,1474.8
32,5728,410.88,-28.97,43,,4729,0,7,23,4363,0.6444,925.9,0.1656,24,no_progress,0,128783,1547.0
33,3658,323.68,-1.311,32,,2659,0,5,19,2170,0.6131,807.0,0.1248,7,no_progress,0,132441,1592.9
34,4593,476.28,-7.558,42,,3594,0,8,22,3186,0.6606,893.2,0.1473,10,no_progress,0,137034,1648.0
35,2970,411.2,2.909,35,,1971,0,6,36,1873,0.6037,888.4,0.1326,10,no_progress,0,140004,1686.2
36,4984,410.64,-1.881,40,,3985,0,7,26,2649,0.6196,862.9,0.115,5,no_progress,0,144988,1746.3
37,5365,475.4,-2.348,45,,4366,0,8,43,3746,0.5776,983.8,0.1504,10,no_progress,0,150353,1812.5
38,1501,119.96,3.692,18,,502,0,0,24,348,0.6144,556.8,0.0366,4,no_progress,0,151854,1833.1
39,3911,463.56,-6.149,41,,2912,0,7,31,3075,0.5837,895.5,0.1748,16,no_progress,0,155765,1879.9
40,4406,483.76,12.876,42,,3407,0,8,30,2662,0.6293,909.5,0.1301,13,no_progress,0,160171,1936.4
41,5754,489.84,-5.022,45,,4755,0,9,90,3376,0.5309,998.5,0.1263,12,no_progress,0,165925,2007.7
42,4938,392.48,0.122,38,,3939,0,7,27,2563,0.5489,876.4,0.1064,8,no_progress,0,170863,2067.7
43,2510,329.6,-24.263,31,,1511,0,4,28,2446,0.6341,722.2,0.2258,10,no_progress,0,173373,2098.5
44,4680,452.8,-41.699,43,,3681,0,7,64,4872,0.6348,911.8,0.2344,40,no_progress,0,178053,2155.1
45,3206,431.76,-11.493,38,,2207,0,6,45,2609,0.5773,818.0,0.1796,9,no_progress,0,181259,2193.4
46,4842,426.32,-16.437,41,,3843,0,7,85,3578,0.5694,852.5,0.1579,20,no_progress,0,186101,2253.4
47,4181,432.76,-2.148,39,,3182,0,7,37,2616,0.5977,871.1,0.1358,10,no_progress,0,190282,2305.8
48,4609,465.64,6.01,44,,3610,0,7,28,3028,0.6386,964.8,0.1386,23,no_progress,0,194891,2361.2
49,4350,476.0,-28.971,44,,3351,0,7,36,4600,0.6063,903.1,0.2428,37,no_progress,0,199241,2415.8
50,3680,452.8,-7.047,39,,2681,0,7,25,1890,0.5698,851.4,0.1091,7,no_progress,0,202921,2462.7
51,6109,425.64,13.02,43,,5110,0,8,45,3542,0.5913,874.3,0.1209,12,no_progress,0,209030,2560.9
52,2952,451.92,-5.524,39,,1953,0,6,30,2478,0.5896,813.5,0.1947,25,no_progress,0,211982,2596.5
