/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=2 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 1 |  3895스텝 | 배송 44/50 | 재적재  7 | 정지 0.17 교착최장  19 | no_progress
Ep 2 |  4925스텝 | 배송 46/50 | 재적재  8 | 정지 0.21 교착최장  28 | no_progress
Ep 3 |  1689스텝 | 배송 25/50 | 재적재  2 | 정지 0.38 교착최장  23 | no_progress
Ep 4 |  2421스텝 | 배송 35/50 | 재적재  5 | 정지 0.27 교착최장 100 | deadlock
Ep 5 |  2801스텝 | 배송 25/50 | 재적재  4 | 정지 0.31 교착최장  32 | no_progress
Ep 6 |  3928스텝 | 배송 46/50 | 재적재  9 | 정지 0.16 교착최장  24 | no_progress
Ep 7 |  4176스텝 | 배송 49/50 | 재적재  8 | 정지 0.23 교착최장  48 | no_progress
Ep 8 |  3914스텝 | 배송 44/50 | 재적재  8 | 정지 0.12 교착최장  17 | no_progress
Ep 9 |  2599스텝 | 배송 32/50 | 재적재  5 | 정지 0.14 교착최장  23 | no_progress
Ep 10 |  4182스텝 | 배송 38/50 | 재적재  6 | 정지 0.14 교착최장  11 | no_progress
Ep 11 |  4780스텝 | 배송 40/50 | 재적재  8 | 정지 0.19 교착최장  11 | no_progress
Ep 12 |  5070스텝 | 배송 40/50 | 재적재  8 | 정지 0.11 교착최장  18 | no_progress
Ep 13 |  3003스텝 | 배송 32/50 | 재적재  5 | 정지 0.15 교착최장   7 | no_progress
Ep 14 |  2770스텝 | 배송 40/50 | 재적재  6 | 정지 0.17 교착최장  21 | no_progress
Ep 15 |  6654스텝 | 배송 46/50 | 재적재  8 | 정지 0.18 교착최장  20 | no_progress
Ep 16 |  4264스텝 | 배송 40/50 | 재적재  6 | 정지 0.14 교착최장  25 | no_progress
Ep 17 |  4326스텝 | 배송 42/50 | 재적재  8 | 정지 0.14 교착최장   9 | no_progress
Ep 18 |  4077스텝 | 배송 36/50 | 재적재  7 | 정지 0.15 교착최장  11 | no_progress
Ep 19 |  4965스텝 | 배송 43/50 | 재적재  8 | 정지 0.18 교착최장  43 | no_progress
Ep 20 |  4504스텝 | 배송 39/50 | 재적재  7 | 정지 0.13 교착최장  14 | no_progress
Ep 21 |  4920스텝 | 배송 40/50 | 재적재  8 | 정지 0.13 교착최장  15 | no_progress
Ep 22 |  2870스텝 | 배송 26/50 | 재적재  3 | 정지 0.13 교착최장   5 | no_progress
Ep 23 |  4264스텝 | 배송 40/50 | 재적재  6 | 정지 0.12 교착최장  17 | no_progress
Ep 24 |  5233스텝 | 배송 37/50 | 재적재  6 | 정지 0.16 교착최장  17 | no_progress
Ep 25 |  3057스텝 | 배송 31/50 | 재적재  5 | 정지 0.35 교착최장  49 | no_progress
Ep 26 |  6468스텝 | 배송 39/50 | 재적재  5 | 정지 0.24 교착최장  41 | no_progress
Ep 27 |  3313스텝 | 배송 34/50 | 재적재  5 | 정지 0.16 교착최장  10 | no_progress
Ep 28 |  2772스텝 | 배송 38/50 | 재적재  6 | 정지 0.21 교착최장  28 | no_progress
Ep 29 |  6099스텝 | 배송 41/50 | 재적재  7 | 정지 0.18 교착최장  19 | no_progress
Ep 30 |  2453스텝 | 배송 30/50 | 재적재  5 | 정지 0.12 교착최장  11 | no_progress
Ep 31 |  2663스텝 | 배송 39/50 | 재적재  6 | 정지 0.17 교착최장  11 | no_progress
Ep 32 |  5728스텝 | 배송 43/50 | 재적재  7 | 정지 0.17 교착최장  24 | no_progress
Ep 33 |  3658스텝 | 배송 32/50 | 재적재  5 | 정지 0.12 교착최장   7 | no_progress
Ep 34 |  4593스텝 | 배송 42/50 | 재적재  8 | 정지 0.15 교착최장  10 | no_progress
Ep 35 |  2970스텝 | 배송 35/50 | 재적재  6 | 정지 0.13 교착최장  10 | no_progress
Ep 36 |  4984스텝 | 배송 40/50 | 재적재  7 | 정지 0.12 교착최장   5 | no_progress
Ep 37 |  5365스텝 | 배송 45/50 | 재적재  8 | 정지 0.15 교착최장  10 | no_progress
Ep 38 |  1501스텝 | 배송 18/50 | 재적재  0 | 정지 0.04 교착최장   4 | no_progress
Ep 39 |  3911스텝 | 배송 41/50 | 재적재  7 | 정지 0.17 교착최장  16 | no_progress
Ep 40 |  4406스텝 | 배송 42/50 | 재적재  8 | 정지 0.13 교착최장  13 | no_progress
Ep 41 |  5754스텝 | 배송 45/50 | 재적재  9 | 정지 0.13 교착최장  12 | no_progress
Ep 42 |  4938스텝 | 배송 38/50 | 재적재  7 | 정지 0.11 교착최장   8 | no_progress
Ep 43 |  2510스텝 | 배송 31/50 | 재적재  4 | 정지 0.23 교착최장  10 | no_progress
Ep 44 |  4680스텝 | 배송 43/50 | 재적재  7 | 정지 0.23 교착최장  40 | no_progress
Ep 45 |  3206스텝 | 배송 38/50 | 재적재  6 | 정지 0.18 교착최장   9 | no_progress
Ep 46 |  4842스텝 | 배송 41/50 | 재적재  7 | 정지 0.16 교착최장  20 | no_progress
Ep 47 |  4181스텝 | 배송 39/50 | 재적재  7 | 정지 0.14 교착최장  10 | no_progress
Ep 48 |  4609스텝 | 배송 44/50 | 재적재  7 | 정지 0.14 교착최장  23 | no_progress
Ep 49 |  4350스텝 | 배송 44/50 | 재적재  7 | 정지 0.24 교착최장  37 | no_progress
Ep 50 |  3680스텝 | 배송 39/50 | 재적재  7 | 정지 0.11 교착최장   7 | no_progress
  [홀드아웃] 배송 19.0±8.5 재적재 1.3 2홉+ 0.46 | 최고 19.0@ep50 정체 0/15  ← 갱신
Ep 51 |  6109스텝 | 배송 43/50 | 재적재  8 | 정지 0.12 교착최장  12 | no_progress
Ep 52 |  2952스텝 | 배송 39/50 | 재적재  6 | 정지 0.19 교착최장  25 | no_progress
Ep 53 |  2829스텝 | 배송 34/50 | 재적재  5 | 정지 0.16 교착최장  27 | no_progress
Ep 54 |  4100스텝 | 배송 43/50 | 재적재  8 | 정지 0.11 교착최장  15 | no_progress
Ep 55 |  5206스텝 | 배송 43/50 | 재적재  7 | 정지 0.21 교착최장  22 | no_progress
Ep 56 |  4652스텝 | 배송 44/50 | 재적재  7 | 정지 0.11 교착최장  12 | no_progress
Ep 57 |  4523스텝 | 배송 48/50 | 재적재  8 | 정지 0.24 교착최장  28 | no_progress
Ep 58 |  4818스텝 | 배송 42/50 | 재적재  7 | 정지 0.20 교착최장  25 | no_progress
Ep 59 |  5544스텝 | 배송 44/50 | 재적재  7 | 정지 0.20 교착최장  20 | no_progress
Ep 60 |  3239스텝 | 배송 38/50 | 재적재  7 | 정지 0.11 교착최장  10 | no_progress
Ep 61 |  3213스텝 | 배송 41/50 | 재적재  8 | 정지 0.09 교착최장   8 | no_progress
Ep 62 |  4675스텝 | 배송 41/50 | 재적재  8 | 정지 0.15 교착최장  15 | no_progress
Ep 63 |  5375스텝 | 배송 42/50 | 재적재  7 | 정지 0.12 교착최장  12 | no_progress
Ep 64 |  5101스텝 | 배송 41/50 | 재적재  5 | 정지 0.16 교착최장  27 | no_progress
Ep 65 |  2496스텝 | 배송 29/50 | 재적재  5 | 정지 0.12 교착최장  26 | no_progress
Ep 66 |  3495스텝 | 배송 32/50 | 재적재  5 | 정지 0.07 교착최장   5 | no_progress
Ep 67 |  3139스텝 | 배송 34/50 | 재적재  5 | 정지 0.08 교착최장   5 | no_progress
Ep 68 |  4242스텝 | 배송 40/50 | 재적재  7 | 정지 0.11 교착최장  12 | no_progress
Ep 69 |  4845스텝 | 배송 43/50 | 재적재  7 | 정지 0.14 교착최장  11 | no_progress
Ep 70 |  3841스텝 | 배송 43/50 | 재적재  7 | 정지 0.16 교착최장  14 | no_progress
Ep 71 |  5476스텝 | 배송 40/50 | 재적재  6 | 정지 0.22 교착최장  44 | no_progress
Ep 72 |  3203스텝 | 배송 38/50 | 재적재  6 | 정지 0.15 교착최장  10 | no_progress
Ep 73 |  6071스텝 | 배송 45/50 | 재적재  8 | 정지 0.13 교착최장  26 | no_progress
Ep 74 |  4671스텝 | 배송 46/50 | 재적재  6 | 정지 0.13 교착최장  14 | no_progress
Ep 75 |  5057스텝 | 배송 45/50 | 재적재  8 | 정지 0.13 교착최장  15 | no_progress
Ep 76 |  7285스텝 | 배송 46/50 | 재적재  8 | 정지 0.19 교착최장  16 | no_progress
Ep 77 |  4293스텝 | 배송 43/50 | 재적재  6 | 정지 0.11 교착최장   8 | no_progress
Ep 78 |  5367스텝 | 배송 46/50 | 재적재  8 | 정지 0.17 교착최장  30 | no_progress
Ep 79 |  3240스텝 | 배송 32/50 | 재적재  4 | 정지 0.12 교착최장  14 | no_progress
Ep 80 |  6430스텝 | 배송 37/50 | 재적재  5 | 정지 0.14 교착최장  15 | no_progress
Ep 81 |  5177스텝 | 배송 43/50 | 재적재  7 | 정지 0.14 교착최장  10 | no_progress
Ep 82 |  3215스텝 | 배송 41/50 | 재적재  7 | 정지 0.17 교착최장  15 | no_progress
Ep 83 |  4331스텝 | 배송 42/50 | 재적재  6 | 정지 0.14 교착최장  19 | no_progress
Ep 84 |  4044스텝 | 배송 40/50 | 재적재  7 | 정지 0.15 교착최장   8 | no_progress
Ep 85 |  2546스텝 | 배송 36/50 | 재적재  6 | 정지 0.16 교착최장   6 | no_progress
Ep 86 |  2616스텝 | 배송 27/50 | 재적재  4 | 정지 0.14 교착최장  20 | no_progress
Ep 87 |  4877스텝 | 배송 41/50 | 재적재  7 | 정지 0.13 교착최장  14 | no_progress
Ep 88 |  5312스텝 | 배송 42/50 | 재적재  7 | 정지 0.14 교착최장  13 | no_progress
Ep 89 |  5252스텝 | 배송 41/50 | 재적재  8 | 정지 0.19 교착최장  10 | no_progress
Ep 90 |  3011스텝 | 배송 34/50 | 재적재  5 | 정지 0.13 교착최장  10 | no_progress
Ep 91 |  4783스텝 | 배송 39/50 | 재적재  6 | 정지 0.14 교착최장  43 | no_progress
Ep 92 |  6029스텝 | 배송 40/50 | 재적재  6 | 정지 0.17 교착최장  15 | no_progress
