episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,-40.0,-11.926,0,,0,4,0,0,6,0.2013,430.0,0.0003,0,no_progress,0,1000,3.1
2,1672,-46.88,-21.15,2,,673,2,0,2,307,0.2572,530.7,0.0277,3,no_progress,0,2672,5.9
3,1000,-40.0,-11.984,0,,0,4,0,0,20,0.1998,502.5,0.0032,1,no_progress,0,3672,7.6
4,1123,-34.92,-12.895,1,,124,3,0,1,53,0.228,426.8,0.0062,1,no_progress,0,4795,9.5
5,8337,406.52,-139.965,50,8337,8337,0,8,56,6346,0.6095,1004.4,0.1307,14,complete,0,13132,72.0
6,2841,256.36,-57.247,28,,1842,0,3,31,3211,0.5097,664.7,0.2088,5,no_progress,0,15973,93.8
7,4365,595.4,-90.985,50,4365,4365,0,9,59,6170,0.6684,995.0,0.2758,9,complete,0,20338,125.7
8,5093,536.28,-187.874,50,5093,5093,0,8,54,10794,0.7228,972.0,0.4713,70,complete,0,25431,162.9
9,2782,628.72,-70.062,50,2782,2782,0,8,57,5461,0.6035,989.0,0.4712,57,complete,0,28213,182.6
10,3263,639.48,-86.298,50,3263,3263,0,9,59,6541,0.6563,969.6,0.4842,79,complete,0,31476,207.8
11,4046,388.16,-114.883,37,,3928,0,6,41,6201,0.5037,878.2,0.3576,100,deadlock,0,35522,238.2
12,2138,374.48,-69.989,34,,1916,0,4,39,4195,0.6945,907.0,0.4796,100,deadlock,0,37660,255.1
13,3156,273.76,-108.544,31,,2157,0,3,32,5347,0.7281,801.5,0.3997,34,no_progress,0,40816,277.8
14,2670,323.2,-109.806,31,,1671,0,4,35,5798,0.7072,791.8,0.5242,46,no_progress,0,43486,298.7
15,3763,589.48,-113.451,50,3763,3763,0,8,58,6677,0.6997,964.7,0.4207,40,complete,0,47249,327.4
16,1407,293.72,-27.357,26,,408,0,3,30,2126,0.5158,706.8,0.355,15,no_progress,0,48656,337.6
17,3744,510.24,-124.448,48,,2745,0,6,56,7189,0.6831,931.9,0.4616,42,no_progress,0,52400,366.1
18,391,184.36,-4.442,17,,236,0,1,18,587,0.5863,626.0,0.3967,100,deadlock,0,52791,368.9
19,2876,364.96,-118.327,33,,2200,0,5,39,6021,0.6949,817.5,0.5111,100,deadlock,0,55667,391.4
20,4398,494.08,-192.234,43,,3399,0,8,51,9498,0.7029,900.5,0.519,79,no_progress,0,60065,425.0
21,2223,301.08,-61.564,30,,2061,0,3,34,3414,0.6111,860.5,0.3468,100,deadlock,0,62288,441.4
22,2027,448.92,-47.03,35,,1718,0,6,42,3064,0.6569,809.7,0.3507,100,deadlock,0,64315,457.6
23,1333,156.68,-19.814,18,,334,0,1,17,1090,0.4019,702.4,0.1743,8,no_progress,0,65648,467.2
24,1658,273.68,-55.213,25,,1453,0,3,25,3076,0.6573,693.3,0.4359,100,deadlock,0,67306,479.1
25,5058,487.68,-164.618,45,,4059,0,8,53,8644,0.6619,905.5,0.3876,70,no_progress,0,72364,517.0
26,1815,377.4,-37.528,30,,1514,0,5,36,2458,0.6537,762.1,0.3258,100,deadlock,0,74179,531.8
27,2210,441.6,-43.862,35,,1211,0,6,46,2918,0.6602,766.5,0.3133,19,no_progress,0,76389,547.4
28,843,306.28,-1.463,25,,663,0,3,27,884,0.5967,596.1,0.2587,100,deadlock,0,77232,553.4
29,3691,562.36,-119.618,47,,3262,0,8,53,6473,0.6725,903.7,0.418,100,deadlock,0,80923,581.7
30,4290,558.4,-103.406,49,,4002,0,8,57,6077,0.71,947.1,0.3281,100,deadlock,0,85213,615.4
31,4634,554.64,-105.066,50,4634,4634,0,8,56,5833,0.7006,972.6,0.2814,68,complete,0,89847,651.7
32,2293,388.28,-53.592,30,,1996,0,6,35,2946,0.5621,733.1,0.2887,100,deadlock,0,92140,670.2
33,4422,473.12,-118.463,44,,3423,0,7,52,6266,0.6793,903.1,0.3118,39,no_progress,0,96562,704.4
34,2782,388.72,-71.205,35,,1783,0,5,39,4008,0.5727,759.1,0.3391,29,no_progress,0,99344,724.7
35,3168,613.28,-66.367,50,3168,3168,0,8,58,4656,0.657,1024.8,0.3403,97,complete,0,102512,748.7
36,1665,353.4,-32.401,27,,666,0,5,30,2349,0.5146,721.0,0.3323,48,no_progress,0,104177,762.2
37,1194,382.24,-7.988,31,,822,0,4,34,1177,0.5249,731.5,0.2418,100,deadlock,0,105371,770.4
38,4615,585.4,-82.669,50,4615,4615,0,9,58,5008,0.6345,1010.2,0.2413,63,complete,0,109986,805.3
39,3179,472.84,-40.033,39,,2180,0,7,46,2629,0.6939,857.0,0.1747,18,no_progress,0,113165,831.7
40,4739,490.44,-98.585,44,,3740,0,8,49,5255,0.6186,921.9,0.2451,27,no_progress,0,117904,867.5
41,4975,541.0,-94.235,50,4975,4975,0,8,62,5258,0.5851,982.5,0.2411,26,complete,0,122879,903.7
42,3006,329.76,-102.327,33,,2007,0,4,37,5439,0.6669,814.4,0.4308,85,no_progress,0,125885,925.3
43,4285,528.6,-113.245,46,,3286,0,8,52,6052,0.6658,923.6,0.3351,18,no_progress,0,130170,957.0
44,1922,563.12,-20.541,43,,1665,0,7,51,2609,0.6794,911.5,0.325,100,deadlock,0,132092,971.8
45,3941,462.36,-60.782,41,,2942,0,7,47,3575,0.5751,929.1,0.2086,11,no_progress,0,136033,1000.6
46,4429,592.84,-77.965,50,4429,4429,0,9,58,5196,0.6437,986.5,0.2638,41,complete,0,140462,1033.9
47,1571,267.16,-59.392,24,,572,0,3,26,3134,0.4946,600.0,0.492,50,no_progress,0,142033,1045.3
48,1894,224.24,-78.133,21,,1063,0,3,24,3780,0.6659,810.5,0.4869,100,deadlock,0,143927,1059.5
49,2095,316.2,-70.264,28,,1355,0,4,33,3865,0.5784,1008.8,0.4515,100,deadlock,0,146022,1076.1
50,3223,511.08,-45.386,40,,2224,0,8,47,2993,0.6259,893.9,0.2107,11,no_progress,0,149245,1100.7
51,2288,328.48,-52.374,30,,1289,0,4,34,3053,0.5476,706.1,0.3128,34,no_progress,0,151533,1126.8
52,3813,607.48,-67.317,49,,3080,0,9,57,4416,0.677,969.4,0.2724,100,deadlock,0,155346,1155.8
53,5118,495.28,-148.456,46,,4119,0,8,52,7184,0.6834,917.2,0.3306,26,no_progress,0,160464,1194.0
54,1638,574.48,-8.785,43,,1530,0,7,49,1922,0.6528,938.3,0.2821,100,deadlock,0,162102,1207.3
55,2832,546.72,-70.026,42,,1833,0,8,48,4114,0.6118,962.6,0.3485,70,no_progress,0,164934,1227.3
56,2044,668.24,-30.619,48,,1919,0,9,58,3187,0.6241,1073.5,0.3776,100,deadlock,0,166978,1243.3
57,2856,615.76,-22.201,46,,1857,0,9,56,2520,0.5867,970.1,0.2017,29,no_progress,0,169834,1263.1
58,3118,615.28,-52.819,47,,2119,0,9,56,3688,0.6786,965.7,0.272,77,no_progress,0,172952,1286.3
59,3073,567.08,-56.258,45,,2074,0,8,51,3271,0.6727,890.3,0.253,11,no_progress,0,176025,1309.5
60,2290,678.4,-10.04,50,2290,2290,0,9,61,2346,0.6112,978.5,0.2477,27,complete,0,178315,1325.5
61,3553,597.88,-51.569,47,,2554,0,9,56,3254,0.6813,1073.5,0.2163,13,no_progress,0,181868,1351.7
62,2553,647.88,-30.852,48,,2459,0,9,57,2895,0.6412,1036.7,0.2677,100,deadlock,0,184421,1371.1
63,2121,475.16,-63.006,38,,1381,0,6,44,3685,0.6714,886.8,0.4309,100,deadlock,0,186542,1386.4
64,1529,348.84,-21.668,29,,1395,0,4,33,1703,0.5803,737.4,0.256,100,deadlock,0,188071,1397.3
65,3842,526.32,-99.218,44,,2843,0,8,47,5085,0.6378,959.9,0.3097,50,no_progress,0,191913,1425.4
66,2385,674.6,-22.435,50,2385,2385,0,9,58,2664,0.6324,991.3,0.2657,39,complete,0,194298,1443.7
67,2652,473.92,-60.104,37,,2392,0,7,47,3731,0.6566,1049.3,0.323,100,deadlock,0,196950,1462.5
68,3903,533.88,-86.164,45,,2904,0,8,53,4731,0.6108,980.1,0.2805,47,no_progress,0,200853,1491.8
69,1874,555.04,-9.86,42,,1710,0,7,50,1713,0.6254,960.2,0.2145,100,deadlock,0,202727,1507.0
70,2598,536.08,-56.5,40,,2143,0,8,46,3462,0.6253,901.1,0.3161,100,deadlock,0,205325,1525.8
71,5584,546.64,-170.063,50,5584,5584,0,9,58,8580,0.6569,992.5,0.3585,91,complete,0,210909,1568.3
72,3561,627.56,-46.091,50,3561,3561,0,9,61,3524,0.6634,981.2,0.222,34,complete,0,214470,1595.7
73,1561,487.56,-10.637,37,,1442,0,6,39,1510,0.6403,908.6,0.2322,100,deadlock,0,216031,1608.4
74,3414,543.44,-112.359,44,,2415,0,8,51,5983,0.676,927.6,0.4201,83,no_progress,0,219445,1632.9
75,4334,546.64,-90.621,45,,3335,0,9,54,4720,0.6259,1032.8,0.2569,70,no_progress,0,223779,1664.8
76,3422,613.12,-39.856,48,,2423,0,9,59,3008,0.6558,938.8,0.1929,15,no_progress,0,227201,1690.0
77,4607,495.72,-122.885,44,,3608,0,8,54,6016,0.6324,959.6,0.2989,31,no_progress,0,231808,1724.4
78,1180,292.8,-26.393,25,,1090,0,3,27,1693,0.5358,799.0,0.3489,100,deadlock,0,232988,1732.8
79,2964,531.44,-42.64,41,,1965,0,8,47,2548,0.5918,885.4,0.2057,93,no_progress,0,235952,1754.9
80,1733,570.68,-10.131,43,,1544,0,7,52,2094,0.6353,957.4,0.2884,100,deadlock,0,237685,1767.1
81,1150,274.0,-32.853,23,,851,0,3,26,1867,0.6437,986.4,0.3942,100,deadlock,0,238835,1777.0
82,3528,588.88,-94.073,49,,2529,0,8,55,5313,0.6857,996.2,0.3637,76,no_progress,0,242363,1802.0
83,666,333.36,0.541,27,,483,0,3,29,815,0.5698,903.6,0.3156,100,deadlock,0,243029,1806.8
84,1769,479.24,-10.923,37,,1597,0,6,42,1426,0.6372,888.3,0.1855,100,deadlock,0,244798,1820.7
85,2557,587.72,-42.599,45,,2443,0,8,55,3162,0.6629,1018.1,0.2895,100,deadlock,0,247355,1838.7
86,4272,509.12,-80.078,44,,3273,0,8,52,3948,0.6072,917.3,0.2158,20,no_progress,0,251627,1869.9
87,2976,560.96,-32.989,44,,1977,0,8,52,2401,0.5944,871.1,0.1846,38,no_progress,0,254603,1892.7
88,3131,484.76,-85.41,43,,2132,0,6,49,4183,0.676,980.2,0.3215,33,no_progress,0,257734,1916.6
89,3578,506.88,-53.441,41,,2579,0,8,49,2897,0.611,884.8,0.1862,28,no_progress,0,261312,1941.6
90,5036,538.56,-74.951,47,,4037,0,9,57,3842,0.6404,969.7,0.174,68,no_progress,0,266348,1979.7
91,2704,551.84,-20.546,42,,1705,0,8,48,1863,0.6016,912.2,0.1586,24,no_progress,0,269052,1998.2
92,1900,414.0,-44.281,34,,1530,0,5,38,2598,0.5738,828.5,0.3379,100,deadlock,0,270952,2013.3
93,3106,485.76,-58.509,40,,2297,0,7,46,3139,0.6689,865.3,0.2271,100,deadlock,0,274058,2035.3
94,2823,497.08,-55.608,40,,1824,0,7,46,3358,0.6002,886.3,0.2807,28,no_progress,0,276881,2056.7
95,3774,459.04,-71.241,40,,3326,0,7,46,3638,0.6013,1073.5,0.2267,100,deadlock,0,280655,2084.7
96,4620,495.2,-86.575,44,,3621,0,8,52,4210,0.683,915.1,0.2055,60,no_progress,0,285275,2118.3
97,2326,546.96,-13.084,43,,2080,0,7,54,1766,0.6314,993.9,0.1811,100,deadlock,0,287601,2134.3
98,4256,479.76,-42.807,41,,3257,0,8,45,2026,0.5863,832.3,0.1024,19,no_progress,0,291857,2165.0
99,2134,474.64,2.199,35,,1135,0,7,41,870,0.544,766.9,0.0923,10,no_progress,0,293991,2179.6
100,3336,586.56,-15.182,45,,2337,0,9,55,1643,0.5807,960.9,0.107,16,no_progress,0,297327,2204.2
101,2599,486.04,-0.582,38,,1600,0,7,49,776,0.5777,875.7,0.0645,28,no_progress,0,299926,2232.2
102,4096,516.16,-87.349,47,,3097,0,7,53,4461,0.6256,954.6,0.2497,24,no_progress,0,304022,2262.5
103,2683,522.68,-69.07,42,,2039,0,7,48,3991,0.6259,1026.2,0.3597,100,deadlock,0,306705,2282.7
104,3502,519.92,-95.431,42,,2503,0,8,46,5001,0.6357,1073.5,0.3347,87,no_progress,0,310207,2307.4
105,2553,477.88,-19.705,37,,1554,0,7,41,1522,0.5345,918.0,0.139,49,no_progress,0,312760,2326.2
106,4010,529.6,-91.929,45,,3011,0,8,53,4375,0.558,978.6,0.2562,55,no_progress,0,316770,2355.6
107,1904,313.84,-41.195,27,,905,0,4,30,2210,0.4192,833.8,0.271,14,no_progress,0,318674,2368.9
