/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
Ep 1 |  1000스텝 | 배송  0/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 2 |  1672스텝 | 배송  2/50 | 재적재  0 | 정지 0.03 교착최장   3 | no_progress
Ep 3 |  1000스텝 | 배송  0/50 | 재적재  0 | 정지 0.00 교착최장   1 | no_progress
Ep 4 |  1123스텝 | 배송  1/50 | 재적재  0 | 정지 0.01 교착최장   1 | no_progress
Ep 5 |  8337스텝 | 배송 50/50 | 재적재  8 | 정지 0.13 교착최장  14 | complete
Ep 6 |  2841스텝 | 배송 28/50 | 재적재  3 | 정지 0.21 교착최장   5 | no_progress
Ep 7 |  4365스텝 | 배송 50/50 | 재적재  9 | 정지 0.28 교착최장   9 | complete
Ep 8 |  5093스텝 | 배송 50/50 | 재적재  8 | 정지 0.47 교착최장  70 | complete
Ep 9 |  2782스텝 | 배송 50/50 | 재적재  8 | 정지 0.47 교착최장  57 | complete
Ep 10 |  3263스텝 | 배송 50/50 | 재적재  9 | 정지 0.48 교착최장  79 | complete
Ep 11 |  4046스텝 | 배송 37/50 | 재적재  6 | 정지 0.36 교착최장 100 | deadlock
Ep 12 |  2138스텝 | 배송 34/50 | 재적재  4 | 정지 0.48 교착최장 100 | deadlock
Ep 13 |  3156스텝 | 배송 31/50 | 재적재  3 | 정지 0.40 교착최장  34 | no_progress
Ep 14 |  2670스텝 | 배송 31/50 | 재적재  4 | 정지 0.52 교착최장  46 | no_progress
Ep 15 |  3763스텝 | 배송 50/50 | 재적재  8 | 정지 0.42 교착최장  40 | complete
Ep 16 |  1407스텝 | 배송 26/50 | 재적재  3 | 정지 0.36 교착최장  15 | no_progress
Ep 17 |  3744스텝 | 배송 48/50 | 재적재  6 | 정지 0.46 교착최장  42 | no_progress
Ep 18 |   391스텝 | 배송 17/50 | 재적재  1 | 정지 0.40 교착최장 100 | deadlock
Ep 19 |  2876스텝 | 배송 33/50 | 재적재  5 | 정지 0.51 교착최장 100 | deadlock
Ep 20 |  4398스텝 | 배송 43/50 | 재적재  8 | 정지 0.52 교착최장  79 | no_progress
Ep 21 |  2223스텝 | 배송 30/50 | 재적재  3 | 정지 0.35 교착최장 100 | deadlock
Ep 22 |  2027스텝 | 배송 35/50 | 재적재  6 | 정지 0.35 교착최장 100 | deadlock
Ep 23 |  1333스텝 | 배송 18/50 | 재적재  1 | 정지 0.17 교착최장   8 | no_progress
Ep 24 |  1658스텝 | 배송 25/50 | 재적재  3 | 정지 0.44 교착최장 100 | deadlock
Ep 25 |  5058스텝 | 배송 45/50 | 재적재  8 | 정지 0.39 교착최장  70 | no_progress
Ep 26 |  1815스텝 | 배송 30/50 | 재적재  5 | 정지 0.33 교착최장 100 | deadlock
Ep 27 |  2210스텝 | 배송 35/50 | 재적재  6 | 정지 0.31 교착최장  19 | no_progress
Ep 28 |   843스텝 | 배송 25/50 | 재적재  3 | 정지 0.26 교착최장 100 | deadlock
Ep 29 |  3691스텝 | 배송 47/50 | 재적재  8 | 정지 0.42 교착최장 100 | deadlock
Ep 30 |  4290스텝 | 배송 49/50 | 재적재  8 | 정지 0.33 교착최장 100 | deadlock
Ep 31 |  4634스텝 | 배송 50/50 | 재적재  8 | 정지 0.28 교착최장  68 | complete
