episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,19.0,7.1764,1.4167,0.1667,0.421,666.0712,0,1,3517.7
100,17.0,5.2915,1.0,0.1667,0.4741,621.8449,0,0,7063.0
150,12.5833,11.7222,1.4167,1.6667,0.2228,372.6708,0,0,10609.4
200,7.75,9.4615,0.5833,2.0,0.1839,336.5882,0,0,13712.0
250,12.4167,6.5123,0.75,0.75,0.255,491.1651,0,0,16506.7
300,17.0833,7.4438,1.3333,0.3333,0.4137,600.3888,0,0,20198.4
350,17.1667,4.6158,1.75,0.0833,0.4159,577.1271,0,0,21289.7
400,16.8333,4.8961,1.4167,0.25,0.4478,592.8445,0,0,22201.5
450,17.5833,6.8976,1.1667,0.1667,0.4482,637.8755,0,0,23006.5
500,15.0833,4.9068,0.75,0.0,0.4773,572.9222,0,0,23767.8
550,13.0833,6.2644,0.5,0.6667,0.3829,502.8301,0,0,24494.5
600,14.0833,5.0076,0.4167,0.0833,0.5051,586.7479,0,0,25166.5
650,13.4167,2.5644,0.4167,0.0833,0.4294,548.4136,0,0,25839.4
700,7.5,7.7406,0.25,2.0,0.2006,314.2167,0,0,26476.3
750,8.0,7.8102,0.25,1.8333,0.2064,384.4107,0,0,27060.9
800,14.3333,7.5645,0.75,0.0833,0.4123,570.9869,0,0,27618.6
