episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,4035,478.6,-7.984,43,,3036,0,7,20,2672,0.6112,978.9,0.1433,44,no_progress,0,4035,10.5
2,3502,489.92,-33.415,42,,3140,0,7,34,3547,0.5675,884.7,0.2287,100,deadlock,0,7537,53.2
3,2588,506.48,2.206,40,,1589,0,7,39,1551,0.5502,836.6,0.1332,13,no_progress,0,10125,92.9
4,1395,324.2,-22.08,26,,940,0,4,22,1975,0.5799,802.1,0.3557,100,deadlock,0,11520,115.7
5,2958,601.68,20.427,45,,1959,0,9,48,1338,0.4791,885.9,0.098,14,no_progress,0,14478,161.0
6,3769,449.24,-57.596,39,,2770,0,7,29,3794,0.5289,870.8,0.2297,40,no_progress,0,18247,221.0
7,3045,598.2,12.422,45,,2046,0,9,41,1498,0.4466,926.9,0.1041,25,no_progress,0,21292,269.0
8,4465,511.4,-44.877,45,,3466,0,8,36,4123,0.606,989.1,0.2,31,no_progress,0,25757,341.9
9,4280,558.8,-17.384,46,,3281,0,9,36,2913,0.5547,968.3,0.1479,26,no_progress,0,30037,420.3
10,5590,506.4,-19.965,49,,4591,0,8,42,4251,0.6229,986.3,0.1617,24,no_progress,0,35627,515.4
11,2709,431.64,-60.293,36,,1710,0,6,26,4174,0.6247,880.8,0.3736,39,no_progress,0,38336,562.6
12,3963,531.48,-57.125,45,,2964,0,8,35,4609,0.5818,944.1,0.272,30,no_progress,0,42299,628.0
13,4892,334.32,-22.051,38,,3893,0,5,43,3873,0.5664,838.0,0.1758,18,no_progress,0,47191,710.0
14,3540,528.4,31.158,43,,2541,0,8,37,1381,0.5044,941.1,0.0777,9,no_progress,0,50731,770.3
15,3525,489.0,-17.205,42,,2526,0,7,34,3084,0.5996,904.4,0.1914,16,no_progress,0,54256,828.2
16,4667,373.32,-44.936,38,,3668,0,6,32,3801,0.5934,858.6,0.1738,18,no_progress,0,58923,900.1
17,3526,538.96,17.225,44,,2527,0,8,34,1930,0.5725,940.0,0.1193,19,no_progress,0,62449,959.3
