/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 1 |  4035스텝 | 배송 43/50 | 재적재  7 | 정지 0.14 교착최장  44 | no_progress
Ep 2 |  3502스텝 | 배송 42/50 | 재적재  7 | 정지 0.23 교착최장 100 | deadlock
Ep 3 |  2588스텝 | 배송 40/50 | 재적재  7 | 정지 0.13 교착최장  13 | no_progress
Ep 4 |  1395스텝 | 배송 26/50 | 재적재  4 | 정지 0.36 교착최장 100 | deadlock
Ep 5 |  2958스텝 | 배송 45/50 | 재적재  9 | 정지 0.10 교착최장  14 | no_progress
Ep 6 |  3769스텝 | 배송 39/50 | 재적재  7 | 정지 0.23 교착최장  40 | no_progress
Ep 7 |  3045스텝 | 배송 45/50 | 재적재  9 | 정지 0.10 교착최장  25 | no_progress
Ep 8 |  4465스텝 | 배송 45/50 | 재적재  8 | 정지 0.20 교착최장  31 | no_progress
Ep 9 |  4280스텝 | 배송 46/50 | 재적재  9 | 정지 0.15 교착최장  26 | no_progress
Ep 10 |  5590스텝 | 배송 49/50 | 재적재  8 | 정지 0.16 교착최장  24 | no_progress
Ep 11 |  2709스텝 | 배송 36/50 | 재적재  6 | 정지 0.37 교착최장  39 | no_progress
Ep 12 |  3963스텝 | 배송 45/50 | 재적재  8 | 정지 0.27 교착최장  30 | no_progress
Ep 13 |  4892스텝 | 배송 38/50 | 재적재  5 | 정지 0.18 교착최장  18 | no_progress
Ep 14 |  3540스텝 | 배송 43/50 | 재적재  8 | 정지 0.08 교착최장   9 | no_progress
Ep 15 |  3525스텝 | 배송 42/50 | 재적재  7 | 정지 0.19 교착최장  16 | no_progress
Ep 16 |  4667스텝 | 배송 38/50 | 재적재  6 | 정지 0.17 교착최장  18 | no_progress
Ep 17 |  3526스텝 | 배송 44/50 | 재적재  8 | 정지 0.12 교착최장  19 | no_progress
Ep 18 |  2049스텝 | 배송 29/50 | 재적재  3 | 정지 0.10 교착최장  11 | no_progress
Ep 19 |  1513스텝 | 배송 17/50 | 재적재  0 | 정지 0.08 교착최장   3 | no_progress
Ep 20 |  2590스텝 | 배송 34/50 | 재적재  6 | 정지 0.21 교착최장  36 | no_progress
Ep 21 |  3190스텝 | 배송 32/50 | 재적재  6 | 정지 0.11 교착최장  27 | no_progress
Ep 22 |  3537스텝 | 배송 34/50 | 재적재  6 | 정지 0.14 교착최장  16 | no_progress
Ep 23 |  4936스텝 | 배송 44/50 | 재적재  8 | 정지 0.16 교착최장  13 | no_progress
Ep 24 |  4073스텝 | 배송 42/50 | 재적재  8 | 정지 0.13 교착최장  21 | no_progress
Ep 25 |  4187스텝 | 배송 45/50 | 재적재  9 | 정지 0.09 교착최장  10 | no_progress
Ep 26 |  6027스텝 | 배송 49/50 | 재적재  8 | 정지 0.17 교착최장  28 | no_progress
Ep 27 |  5400스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  17 | no_progress
Ep 28 |  4464스텝 | 배송 46/50 | 재적재  9 | 정지 0.13 교착최장  26 | no_progress
Ep 29 |  5244스텝 | 배송 44/50 | 재적재  8 | 정지 0.14 교착최장  12 | no_progress
Ep 30 |  3577스텝 | 배송 40/50 | 재적재  7 | 정지 0.12 교착최장   8 | no_progress
Ep 31 |  3223스텝 | 배송 45/50 | 재적재  7 | 정지 0.16 교착최장 100 | deadlock
Ep 32 |  4632스텝 | 배송 44/50 | 재적재  7 | 정지 0.17 교착최장  18 | no_progress
Ep 33 |  3712스텝 | 배송 36/50 | 재적재  6 | 정지 0.22 교착최장  22 | no_progress
Ep 34 |  3518스텝 | 배송 39/50 | 재적재  6 | 정지 0.17 교착최장  10 | no_progress
Ep 35 |  4673스텝 | 배송 40/50 | 재적재  6 | 정지 0.25 교착최장  14 | no_progress
