episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,13.9167,10.8663,1.0833,1.4167,0.3327,454.5873,0,1,3596.9
100,21.4167,11.9962,2.25,0.6667,0.3795,554.8827,0,1,7340.7
150,25.4167,9.8612,2.75,0.0,0.4964,764.3738,0,1,10995.8
200,19.4167,5.3768,1.5,0.0,0.4863,629.7083,0,0,14117.5
250,18.8333,7.57,1.75,0.0,0.4672,597.2341,0,0,17105.2
300,18.4167,4.1324,1.8333,0.1667,0.4112,644.963,0,0,21074.4
350,19.4167,6.7387,1.5833,0.1667,0.4552,636.4237,0,0,23941.6
400,23.9167,4.5177,2.8333,0.0,0.3672,626.6679,0,0,26332.9
450,17.4167,4.8038,1.75,0.1667,0.2607,572.9632,0,0,28395.4
500,17.8333,3.7379,1.9167,0.0,0.2964,615.4041,0,0,30125.6
550,18.5833,3.6391,2.0833,0.0,0.2215,568.314,0,0,31875.3
600,17.9167,2.0999,2.0833,0.0,0.2816,624.3931,0,0,33456.1
650,16.9167,4.7163,1.8333,0.1667,0.2992,587.2322,0,0,35190.3
700,18.25,2.681,2.0833,0.0833,0.2637,581.6611,0,0,36751.4
750,16.6667,3.4238,1.4167,0.0833,0.3243,566.5936,0,0,38351.8
800,20.0833,5.139,2.0,0.0833,0.5399,706.4814,0,0,39905.2
850,26.9167,6.788,3.25,0.0,0.5108,683.9099,0,1,41690.7
900,15.0,3.1358,0.75,0.0,0.4821,577.5197,0,0,43360.8
950,16.0,3.6968,0.9167,0.0,0.5502,649.8781,0,0,45064.0
1000,17.25,7.4847,1.25,0.0833,0.5396,594.1597,0,0,46714.1
1050,15.5833,3.7072,0.75,0.0,0.5872,629.1771,0,0,48252.0
1100,17.75,3.8541,1.0,0.0,0.5739,624.1715,0,0,49952.4
1150,13.6667,11.4988,1.4167,1.3333,0.2977,430.8038,0,1,2461.3
1200,22.4167,9.0596,2.25,0.1667,0.5137,651.8333,0,1,5084.1
1250,19.5833,3.7072,1.8333,0.0,0.364,640.119,0,0,8586.2
1300,20.5833,6.0064,2.3333,0.0833,0.432,618.839,0,0,11149.6
1350,16.5,2.6926,0.8333,0.0,0.3427,564.8104,0,0,13633.3
1400,17.0,6.6207,1.3333,0.0833,0.5177,614.3071,0,0,15961.2
1450,21.8333,6.3487,2.3333,0.0,0.4342,627.4425,0,0,18188.7
1500,16.3333,3.448,1.25,0.0,0.302,536.4886,0,0,20443.3
1550,12.3333,2.5276,0.1667,0.0,0.5547,529.7156,0,0,22666.9
1600,13.3333,3.0368,0.6667,0.0,0.3506,561.9059,0,0,24918.8
1650,13.1667,5.3203,0.9167,0.0833,0.4064,544.9411,0,0,27147.6
1700,17.5833,7.8045,1.75,0.3333,0.4761,617.9368,0,0,29257.1
1750,15.9167,3.2777,1.25,0.0,0.2992,548.3615,0,0,31437.1
1800,20.8333,3.5551,2.4167,0.0,0.3066,608.5442,0,0,33644.2
1850,21.75,7.5842,2.6667,0.25,0.3869,590.7934,0,0,35749.7
1900,11.5,1.7078,0.3333,0.0,0.0634,456.3513,0,0,37819.6
