episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,5825,477.0,-22.996,47,,4826,0,8,34,4598,0.6337,964.2,0.1701,37,no_progress,0,5825,29.9
2,2759,539.64,-30.513,44,,2647,0,7,34,3269,0.6547,1023.4,0.2787,100,deadlock,0,8584,73.4
3,3470,541.2,-40.01,44,,2471,0,8,31,3849,0.6491,1017.5,0.2526,69,no_progress,0,12054,129.4
4,5106,475.76,-69.44,44,,4107,0,8,37,4913,0.4933,966.3,0.221,19,no_progress,0,17160,207.6
5,3548,548.08,-8.242,45,,2549,0,8,41,2297,0.5318,919.8,0.1474,25,no_progress,0,20708,265.3
6,2698,552.08,-24.496,42,,1699,0,8,40,3039,0.5995,881.9,0.2698,57,no_progress,0,23406,306.9
7,4755,529.8,-21.441,45,,3756,0,9,40,3498,0.5893,956.0,0.163,33,no_progress,0,28161,395.3
8,2986,540.56,-20.052,42,,1987,0,8,31,2801,0.6271,911.2,0.2069,18,no_progress,0,31147,446.5
9,2577,586.92,25.761,45,,1578,0,8,36,1201,0.478,931.0,0.1013,11,no_progress,0,33724,489.5
10,4886,484.56,-55.831,44,,3887,0,8,32,4546,0.5399,921.0,0.2086,26,no_progress,0,38610,572.2
11,3580,506.8,7.506,44,,2581,0,7,34,2619,0.5378,904.1,0.1587,15,no_progress,0,42190,633.5
12,2976,520.96,2.862,43,,1977,0,7,34,2077,0.5727,925.0,0.1545,30,no_progress,0,45166,680.6
13,4924,493.04,-87.257,45,,3925,0,8,34,5587,0.6548,921.1,0.2652,63,no_progress,0,50090,763.7
14,1693,202.28,-15.63,21,,694,0,2,16,1195,0.5812,635.2,0.1476,5,no_progress,0,51783,793.7
15,1975,281.0,-16.866,27,,976,0,3,21,1786,0.5684,698.1,0.1924,7,no_progress,0,53758,828.7
16,5405,493.8,-106.536,47,,4406,0,8,42,7428,0.6077,1007.1,0.3254,41,no_progress,0,59163,924.1
