/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=800 (초반 300ep까지 1000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 1 |  5825스텝 | 배송 47/50 | 재적재  8 | 정지 0.17 교착최장  37 | no_progress
Ep 2 |  2759스텝 | 배송 44/50 | 재적재  7 | 정지 0.28 교착최장 100 | deadlock
Ep 3 |  3470스텝 | 배송 44/50 | 재적재  8 | 정지 0.25 교착최장  69 | no_progress
Ep 4 |  5106스텝 | 배송 44/50 | 재적재  8 | 정지 0.22 교착최장  19 | no_progress
Ep 5 |  3548스텝 | 배송 45/50 | 재적재  8 | 정지 0.15 교착최장  25 | no_progress
Ep 6 |  2698스텝 | 배송 42/50 | 재적재  8 | 정지 0.27 교착최장  57 | no_progress
Ep 7 |  4755스텝 | 배송 45/50 | 재적재  9 | 정지 0.16 교착최장  33 | no_progress
Ep 8 |  2986스텝 | 배송 42/50 | 재적재  8 | 정지 0.21 교착최장  18 | no_progress
Ep 9 |  2577스텝 | 배송 45/50 | 재적재  8 | 정지 0.10 교착최장  11 | no_progress
Ep 10 |  4886스텝 | 배송 44/50 | 재적재  8 | 정지 0.21 교착최장  26 | no_progress
Ep 11 |  3580스텝 | 배송 44/50 | 재적재  7 | 정지 0.16 교착최장  15 | no_progress
Ep 12 |  2976스텝 | 배송 43/50 | 재적재  7 | 정지 0.15 교착최장  30 | no_progress
Ep 13 |  4924스텝 | 배송 45/50 | 재적재  8 | 정지 0.27 교착최장  63 | no_progress
Ep 14 |  1693스텝 | 배송 21/50 | 재적재  2 | 정지 0.15 교착최장   5 | no_progress
Ep 15 |  1975스텝 | 배송 27/50 | 재적재  3 | 정지 0.19 교착최장   7 | no_progress
Ep 16 |  5405스텝 | 배송 47/50 | 재적재  8 | 정지 0.33 교착최장  41 | no_progress
Ep 17 |  1683스텝 | 배송 22/50 | 재적재  2 | 정지 0.12 교착최장   7 | no_progress
Ep 18 |  3832스텝 | 배송 37/50 | 재적재  6 | 정지 0.29 교착최장  58 | no_progress
Ep 19 |  5411스텝 | 배송 44/50 | 재적재  8 | 정지 0.16 교착최장  15 | no_progress
Ep 20 |  3299스텝 | 배송 38/50 | 재적재  6 | 정지 0.11 교착최장   5 | no_progress
Ep 21 |  2679스텝 | 배송 30/50 | 재적재  5 | 정지 0.07 교착최장  10 | no_progress
Ep 22 |  4266스텝 | 배송 41/50 | 재적재  8 | 정지 0.10 교착최장  12 | no_progress
Ep 23 |  5076스텝 | 배송 45/50 | 재적재  8 | 정지 0.15 교착최장  10 | no_progress
Ep 24 |  5447스텝 | 배송 41/50 | 재적재  7 | 정지 0.19 교착최장  16 | no_progress
Ep 25 |  5174스텝 | 배송 44/50 | 재적재  8 | 정지 0.17 교착최장  35 | no_progress
Ep 26 |  3784스텝 | 배송 32/50 | 재적재  4 | 정지 0.16 교착최장   4 | no_progress
Ep 27 |  5129스텝 | 배송 47/50 | 재적재  8 | 정지 0.16 교착최장  21 | no_progress
Ep 28 |  2585스텝 | 배송 37/50 | 재적재  5 | 정지 0.09 교착최장  10 | no_progress
Ep 29 |  3265스텝 | 배송 35/50 | 재적재  5 | 정지 0.15 교착최장  10 | no_progress
Ep 30 |  4127스텝 | 배송 41/50 | 재적재  7 | 정지 0.25 교착최장  44 | no_progress
Ep 31 |  4398스텝 | 배송 45/50 | 재적재  6 | 정지 0.17 교착최장  21 | no_progress
Ep 32 |  5072스텝 | 배송 42/50 | 재적재  7 | 정지 0.16 교착최장  11 | no_progress
Ep 33 |  5537스텝 | 배송 46/50 | 재적재  8 | 정지 0.14 교착최장   9 | no_progress
Ep 34 |  4600스텝 | 배송 43/50 | 재적재  7 | 정지 0.13 교착최장  30 | no_progress
Ep 35 |  6115스텝 | 배송 44/50 | 재적재  7 | 정지 0.20 교착최장  53 | no_progress
Ep 36 |  1885스텝 | 배송 35/50 | 재적재  5 | 정지 0.16 교착최장 100 | deadlock
Ep 37 |  4253스텝 | 배송 41/50 | 재적재  8 | 정지 0.14 교착최장   8 | no_progress
Ep 38 |  4299스텝 | 배송 38/50 | 재적재  5 | 정지 0.17 교착최장  10 | no_progress
Ep 39 |  3791스텝 | 배송 43/50 | 재적재  7 | 정지 0.16 교착최장   8 | no_progress
Ep 40 |  4222스텝 | 배송 47/50 | 재적재  8 | 정지 0.10 교착최장  18 | no_progress
Ep 41 |  5473스텝 | 배송 44/50 | 재적재  8 | 정지 0.14 교착최장  16 | no_progress
Ep 42 |  6094스텝 | 배송 43/50 | 재적재  7 | 정지 0.18 교착최장  23 | no_progress
Ep 43 |  4316스텝 | 배송 45/50 | 재적재  8 | 정지 0.16 교착최장  16 | no_progress
Ep 44 |  4654스텝 | 배송 47/50 | 재적재  8 | 정지 0.13 교착최장  16 | no_progress
Ep 45 |  3729스텝 | 배송 46/50 | 재적재  9 | 정지 0.10 교착최장   9 | no_progress
Ep 46 |  2964스텝 | 배송 32/50 | 재적재  4 | 정지 0.17 교착최장   8 | no_progress
Ep 47 |  4379스텝 | 배송 44/50 | 재적재  7 | 정지 0.13 교착최장   5 | no_progress
Ep 48 |  3195스텝 | 배송 39/50 | 재적재  7 | 정지 0.15 교착최장   7 | no_progress
Ep 49 |  3599스텝 | 배송 40/50 | 재적재  7 | 정지 0.10 교착최장  10 | no_progress
Ep 50 |  3847스텝 | 배송 43/50 | 재적재  8 | 정지 0.09 교착최장   8 | no_progress
  [홀드아웃] 배송 13.9±10.9 재적재 1.1 2홉+ 0.33 | 최고 13.9@ep50 정체 0/15  ← 갱신
Ep 51 |  5267스텝 | 배송 41/50 | 재적재  7 | 정지 0.19 교착최장  35 | no_progress
Ep 52 |  4773스텝 | 배송 45/50 | 재적재  8 | 정지 0.15 교착최장  19 | no_progress
Ep 53 |  4219스텝 | 배송 42/50 | 재적재  7 | 정지 0.15 교착최장  15 | no_progress
Ep 54 |  4609스텝 | 배송 41/50 | 재적재  6 | 정지 0.26 교착최장  23 | no_progress
Ep 55 |  2148스텝 | 배송 31/50 | 재적재  5 | 정지 0.23 교착최장  56 | no_progress
Ep 56 |  4020스텝 | 배송 41/50 | 재적재  8 | 정지 0.13 교착최장   7 | no_progress
Ep 57 |  4008스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  11 | no_progress
Ep 58 |  5273스텝 | 배송 45/50 | 재적재  7 | 정지 0.20 교착최장  20 | no_progress
Ep 59 |  4378스텝 | 배송 44/50 | 재적재  8 | 정지 0.14 교착최장  14 | no_progress
Ep 60 |  2568스텝 | 배송 28/50 | 재적재  4 | 정지 0.13 교착최장  13 | no_progress
Ep 61 |  4390스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  19 | no_progress
Ep 62 |  3740스텝 | 배송 41/50 | 재적재  7 | 정지 0.20 교착최장  14 | no_progress
Ep 63 |  6558스텝 | 배송 46/50 | 재적재  8 | 정지 0.15 교착최장  19 | no_progress
Ep 64 |  5204스텝 | 배송 44/50 | 재적재  8 | 정지 0.15 교착최장  64 | no_progress
Ep 65 |  3868스텝 | 배송 45/50 | 재적재  8 | 정지 0.10 교착최장   8 | no_progress
Ep 66 |  4147스텝 | 배송 43/50 | 재적재  8 | 정지 0.09 교착최장  14 | no_progress
Ep 67 |  5491스텝 | 배송 49/50 | 재적재  8 | 정지 0.20 교착최장  33 | no_progress
Ep 68 |  5933스텝 | 배송 50/50 | 재적재  8 | 정지 0.23 교착최장  17 | complete
Ep 69 |  3343스텝 | 배송 43/50 | 재적재  7 | 정지 0.19 교착최장  20 | no_progress
Ep 70 |  6953스텝 | 배송 48/50 | 재적재  7 | 정지 0.22 교착최장  34 | no_progress
Ep 71 |  5009스텝 | 배송 41/50 | 재적재  7 | 정지 0.23 교착최장  80 | no_progress
Ep 72 |  4739스텝 | 배송 44/50 | 재적재  8 | 정지 0.15 교착최장  11 | no_progress
Ep 73 |  5084스텝 | 배송 47/50 | 재적재  8 | 정지 0.19 교착최장 100 | deadlock
Ep 74 |  4785스텝 | 배송 45/50 | 재적재  7 | 정지 0.18 교착최장  25 | no_progress
Ep 75 |  4161스텝 | 배송 44/50 | 재적재  7 | 정지 0.16 교착최장  15 | no_progress
Ep 76 |  3260스텝 | 배송 40/50 | 재적재  7 | 정지 0.22 교착최장  43 | no_progress
Ep 77 |  4163스텝 | 배송 46/50 | 재적재  7 | 정지 0.12 교착최장  15 | no_progress
Ep 78 |  3837스텝 | 배송 41/50 | 재적재  6 | 정지 0.24 교착최장  28 | no_progress
Ep 79 |  5769스텝 | 배송 48/50 | 재적재  8 | 정지 0.22 교착최장  94 | no_progress
Ep 80 |  3739스텝 | 배송 43/50 | 재적재  7 | 정지 0.17 교착최장  17 | no_progress
Ep 81 |  3319스텝 | 배송 40/50 | 재적재  6 | 정지 0.16 교착최장  21 | no_progress
Ep 82 |  3699스텝 | 배송 44/50 | 재적재  8 | 정지 0.11 교착최장   7 | no_progress
Ep 83 |  4590스텝 | 배송 45/50 | 재적재  7 | 정지 0.14 교착최장  24 | no_progress
