episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,19.25,6.8935,1.5833,0.3333,0.4624,609.6737,0,1,774.5
100,17.5,5.909,1.0833,0.0,0.4738,605.164,0,0,1626.0
150,9.6667,10.2659,0.8333,2.0833,0.2366,337.9314,0,0,2586.9
200,17.3333,8.0346,1.1667,0.3333,0.4713,600.6184,0,0,3599.0
250,12.9167,7.2968,0.5833,0.8333,0.4636,553.1993,0,0,4574.2
300,14.0833,5.0738,0.5833,0.25,0.4793,597.6717,0,0,5429.3
350,11.25,4.5666,0.3333,0.5833,0.3583,543.6811,0,0,6177.2
400,11.5,6.5638,0.5,0.5,0.3761,493.3354,0,0,6880.8
450,11.4167,6.6766,0.6667,0.8333,0.3278,494.0814,0,0,7621.2
500,11.5833,5.0738,0.3333,0.5,0.4415,558.851,0,0,8309.9
550,9.5,3.5473,0.0833,0.5,0.3911,490.1016,0,0,9028.7
600,9.5833,4.9575,0.25,0.6667,0.3259,463.2809,0,0,9711.3
650,9.4167,7.331,0.4167,1.3333,0.2845,485.3204,0,0,10439.8
700,13.3333,3.4238,0.25,0.0,0.4639,601.105,0,0,11160.3
750,13.1667,5.9838,0.75,0.5,0.4019,544.8392,0,0,11840.1
800,17.1667,4.0586,0.9167,0.0833,0.4596,592.2467,0,0,12547.4
