episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,330.0,12.849,25,,854,0,4,13,529,0.4385,639.7,0.1189,9,step_limit,0,1000,2.6
2,1000,310.0,10.219,26,,967,0,3,15,577,0.5337,726.4,0.1288,16,step_limit,0,2000,4.8
3,1000,260.0,6.689,24,,773,0,2,7,509,0.4567,722.0,0.111,10,step_limit,0,3000,7.0
4,1000,300.0,6.537,25,,887,0,3,15,597,0.4983,678.4,0.1425,4,step_limit,0,4000,9.2
5,1000,420.0,19.071,31,,970,0,5,19,586,0.6065,830.7,0.1371,9,step_limit,0,5000,11.8
6,1000,290.0,-1.457,24,,971,0,3,14,920,0.5823,699.5,0.2099,16,step_limit,0,6000,27.6
7,1000,300.0,2.351,25,,876,0,3,17,658,0.5357,698.8,0.1565,13,step_limit,0,7000,43.1
8,1000,360.0,21.158,31,,991,0,3,27,475,0.598,787.2,0.1123,10,step_limit,0,8000,59.8
9,1000,270.0,-6.541,25,,976,0,2,15,1076,0.5783,692.0,0.2418,10,step_limit,0,9000,74.3
10,1000,340.0,6.259,29,,804,0,3,32,914,0.5783,756.5,0.222,25,step_limit,0,10000,89.1
11,1000,300.0,13.185,25,,934,0,3,34,478,0.5573,653.2,0.103,4,step_limit,0,11000,106.8
12,1000,400.0,5.007,29,,900,0,5,21,748,0.5683,863.2,0.1697,10,step_limit,0,12000,121.5
13,1000,290.0,3.506,24,,949,0,3,22,612,0.4645,704.0,0.1357,18,step_limit,0,13000,138.5
14,1000,350.0,14.002,27,,901,0,4,30,489,0.5168,781.4,0.1003,7,step_limit,0,14000,154.2
15,1000,240.0,12.34,22,,918,0,2,17,430,0.4308,678.4,0.0955,8,step_limit,0,15000,171.4
16,1000,290.0,18.032,24,,946,0,3,29,596,0.391,584.6,0.1391,14,step_limit,0,16000,186.8
17,1000,340.0,12.433,26,,997,0,4,25,425,0.505,719.4,0.0855,6,step_limit,0,17000,203.7
18,1000,340.0,5.868,26,,757,0,4,23,586,0.4565,723.1,0.1319,21,step_limit,0,18000,218.5
19,1000,360.0,8.035,28,,874,0,4,20,568,0.54,764.0,0.1247,8,step_limit,0,19000,235.9
20,1000,260.0,13.958,24,,987,0,2,16,381,0.4728,751.5,0.0807,5,step_limit,0,20000,251.2
21,1000,380.0,20.505,30,,885,0,4,23,404,0.5597,858.2,0.0825,6,step_limit,0,21000,267.7
