/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 1 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.12 교착최장   9 | step_limit
Ep 2 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.13 교착최장  16 | step_limit
Ep 3 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.11 교착최장  10 | step_limit
Ep 4 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.14 교착최장   4 | step_limit
Ep 5 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.14 교착최장   9 | step_limit
Ep 6 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.21 교착최장  16 | step_limit
Ep 7 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.16 교착최장  13 | step_limit
Ep 8 |  1000스텝 | 배송 31/50 | 재적재  3 | 정지 0.11 교착최장  10 | step_limit
Ep 9 |  1000스텝 | 배송 25/50 | 재적재  2 | 정지 0.24 교착최장  10 | step_limit
Ep 10 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.22 교착최장  25 | step_limit
Ep 11 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.10 교착최장   4 | step_limit
Ep 12 |  1000스텝 | 배송 29/50 | 재적재  5 | 정지 0.17 교착최장  10 | step_limit
Ep 13 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.14 교착최장  18 | step_limit
Ep 14 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.10 교착최장   7 | step_limit
Ep 15 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.10 교착최장   8 | step_limit
Ep 16 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.14 교착최장  14 | step_limit
Ep 17 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.09 교착최장   6 | step_limit
Ep 18 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.13 교착최장  21 | step_limit
Ep 19 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.12 교착최장   8 | step_limit
Ep 20 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.08 교착최장   5 | step_limit
Ep 21 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.08 교착최장   6 | step_limit
Ep 22 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.08 교착최장   8 | step_limit
Ep 23 |  1000스텝 | 배송 21/50 | 재적재  3 | 정지 0.14 교착최장  17 | step_limit
Ep 24 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.15 교착최장   5 | step_limit
Ep 25 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.11 교착최장   5 | step_limit
Ep 26 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.10 교착최장   9 | step_limit
Ep 27 |  1000스텝 | 배송 24/50 | 재적재  4 | 정지 0.14 교착최장  17 | step_limit
Ep 28 |  1000스텝 | 배송 20/50 | 재적재  4 | 정지 0.04 교착최장   5 | step_limit
Ep 29 |  1000스텝 | 배송 30/50 | 재적재  3 | 정지 0.12 교착최장   9 | step_limit
