episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,19.8333,7.0218,1.8333,0.1667,0.508,631.6671,0,1,4580.4
100,19.9167,6.2511,1.75,0.0833,0.477,679.6284,0,1,10184.5
150,20.3333,6.0599,1.3333,0.0,0.5471,695.8852,0,1,14718.9
200,19.0,9.798,2.0,0.6667,0.2609,537.5204,0,0,19169.1
250,25.9167,7.2395,3.1667,0.0,0.4636,666.7781,0,1,23610.5
300,24.25,7.1778,3.0833,0.0,0.3453,663.0113,0,0,27659.0
350,22.5,4.8391,2.8333,0.0833,0.372,706.1462,0,0,31739.2
400,20.4167,2.8711,2.4167,0.0833,0.3275,595.3102,0,0,35996.3
450,21.5,4.9075,2.3333,0.0,0.4063,637.0566,0,0,39409.6
500,19.8333,12.3277,2.4167,0.75,0.2881,527.8957,0,0,42401.5
550,21.75,3.7444,2.6667,0.0833,0.2852,609.5123,0,0,45368.4
600,18.25,5.6587,1.9167,0.25,0.3456,584.7149,0,0,48314.6
650,21.8333,6.1757,2.6667,0.0833,0.3957,613.5197,0,0,51349.3
700,25.5833,6.211,3.1667,0.0833,0.5336,697.0608,0,0,54268.3
750,20.0833,5.4537,1.6667,0.0,0.5716,652.5813,0,0,57060.2
800,19.1667,5.713,1.6667,0.0,0.5682,606.6473,0,0,60006.2
850,20.1667,7.8722,2.0833,0.0,0.4644,641.2864,0,0,62868.5
900,17.0,4.8305,1.8333,0.0,0.4232,597.9203,0,0,65924.8
950,23.8333,5.6544,3.0,0.0,0.5191,686.5851,0,0,68797.7
1000,20.4167,4.4056,2.1667,0.0,0.2253,536.6961,0,0,71675.9
