episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,7790,398.4,-35.914,47,,5791,0,8,28,6059,0.6124,967.3,0.1674,25,no_progress,0,7790,56.4
2,6352,435.92,-33.206,45,,6249,0,8,123,4509,0.5444,1005.9,0.1534,100,deadlock,0,14142,148.0
3,8031,368.76,-115.852,45,,6032,0,8,29,8261,0.4454,965.6,0.2393,70,no_progress,0,22173,261.7
4,8926,322.96,-62.817,47,,6927,0,7,35,6867,0.6326,974.3,0.1645,49,no_progress,0,31099,379.4
5,5790,408.4,-32.276,43,,3791,0,7,25,3615,0.5533,1008.0,0.1333,15,no_progress,0,36889,462.9
6,7097,326.12,-22.473,43,,5098,0,6,68,5054,0.592,898.5,0.1543,9,no_progress,0,43986,565.5
7,6667,423.32,-69.349,45,,4668,0,8,25,5778,0.5021,888.5,0.1935,37,no_progress,0,50653,663.7
8,6000,470.0,-52.8,47,,4001,0,8,36,4691,0.4686,975.4,0.1716,21,no_progress,0,56653,753.9
9,5330,486.8,35.136,46,,3331,0,8,33,3150,0.5913,974.9,0.1231,12,no_progress,0,61983,831.1
10,7263,399.48,-68.953,45,,5264,0,8,38,5564,0.553,960.1,0.17,20,no_progress,0,69246,932.1
11,6588,496.48,-20.873,49,,4589,0,9,39,3340,0.5967,1040.3,0.1019,21,no_progress,0,75834,1022.5
12,6617,425.32,27.055,45,,4618,0,8,30,2610,0.5242,920.6,0.0823,13,no_progress,0,82451,1107.6
13,1102,305.92,-6.604,26,,837,0,3,10,1116,0.5481,809.8,0.2572,100,deadlock,0,83553,1121.0
14,8716,331.36,-34.012,44,,6717,0,8,32,5400,0.5949,900.3,0.1319,20,no_progress,0,92269,1240.5
15,6458,461.68,-43.515,48,,4459,0,8,43,5357,0.6132,972.7,0.1815,23,no_progress,0,98727,1329.5
16,5257,359.72,-81.796,39,,3258,0,6,36,6525,0.6339,870.5,0.2791,58,no_progress,0,103984,1401.1
17,8517,359.32,-50.468,46,,6518,0,8,56,6674,0.5847,983.0,0.1688,21,no_progress,0,112501,1521.6
18,7349,386.04,-55.51,44,,5350,0,8,29,5005,0.5333,880.4,0.1496,25,no_progress,0,119850,1620.4
19,6701,431.96,-16.536,46,,4702,0,8,45,4186,0.527,888.1,0.1333,27,no_progress,0,126551,1713.7
20,6488,380.48,-7.992,46,,4489,0,6,41,3730,0.6035,954.0,0.1201,18,no_progress,0,133039,1795.7
21,5464,391.44,-49.086,43,,3465,0,6,63,4673,0.6455,917.0,0.1804,13,no_progress,0,138503,1870.0
22,5663,453.48,-25.868,44,,3664,0,8,34,3351,0.5576,891.2,0.1254,10,no_progress,0,144166,1941.2
23,8604,345.84,-60.707,45,,6605,0,8,31,5903,0.5668,1026.5,0.1468,44,no_progress,0,152770,2044.1
24,5542,378.32,12.847,42,,3543,0,6,36,2818,0.5497,906.9,0.1055,28,no_progress,0,158312,2110.7
25,7495,420.2,-25.134,48,,5496,0,8,100,4155,0.5471,949.4,0.1156,13,no_progress,0,165807,2201.5
26,6385,484.6,-11.46,47,,4386,0,9,41,4881,0.6449,971.0,0.1649,24,no_progress,0,172192,2276.0
27,5744,480.24,1.111,47,,3745,0,8,33,3645,0.5201,1027.7,0.1356,16,no_progress,0,177936,2342.6
28,6660,443.6,-0.431,47,,4661,0,8,43,4331,0.5831,975.2,0.1376,10,no_progress,0,184596,2421.8
29,8384,314.64,-70.79,41,,6385,0,8,40,6456,0.58,871.5,0.1689,23,no_progress,0,192980,2519.4
30,7451,401.96,-17.607,46,,5452,0,8,36,4369,0.5295,977.0,0.1262,9,no_progress,0,200431,2605.4
31,6848,366.08,-36.674,40,,4849,0,8,32,3930,0.6126,895.2,0.128,11,no_progress,0,207279,2689.2
32,6320,417.2,-4.354,46,,4321,0,7,34,4970,0.645,976.3,0.172,10,no_progress,0,213599,2764.3
33,10000,320.0,-84.007,48,,9941,0,8,29,9163,0.6131,1032.7,0.2033,65,step_limit,0,223599,2885.3
34,6525,389.0,-50.06,44,,4526,0,7,28,5102,0.6288,887.7,0.1648,13,no_progress,0,230124,2966.2
35,9043,268.28,2.19,42,,7044,0,7,192,5474,0.5347,900.1,0.1292,15,no_progress,0,239167,3075.3
36,6465,381.4,-31.362,40,,4466,0,8,40,3202,0.5423,958.5,0.1048,12,no_progress,0,245632,3153.9
37,5435,272.6,-76.15,34,,3436,0,5,34,5356,0.5667,863.8,0.2213,30,no_progress,0,251067,3220.3
38,7574,297.04,-77.531,39,,5575,0,7,32,4824,0.6012,859.4,0.1323,17,no_progress,0,258641,3317.2
39,8510,339.6,-22.652,44,,6511,0,8,43,5537,0.5794,889.8,0.143,20,no_progress,0,267151,3422.2
40,4289,398.44,15.72,42,,2290,0,5,27,2242,0.6423,895.3,0.107,15,no_progress,0,271440,3472.2
41,9783,258.68,-86.857,44,,7784,0,7,44,8797,0.5569,951.4,0.1978,21,no_progress,0,281223,3593.3
42,10000,270.0,-112.914,46,,9666,0,7,32,8246,0.601,969.7,0.1733,22,step_limit,0,291223,3716.9
43,8576,296.96,-105.221,43,,6577,0,7,30,7357,0.629,953.9,0.1828,35,no_progress,0,299799,3829.2
44,8231,310.76,-120.145,43,,6232,0,7,44,8049,0.6674,895.1,0.2135,19,no_progress,0,308030,3930.4
45,4501,409.96,-38.55,41,,3093,0,6,35,4467,0.6148,955.2,0.2273,100,deadlock,0,312531,3988.0
46,7670,373.2,-26.96,44,,5671,0,8,52,5576,0.5575,962.8,0.1553,27,no_progress,0,320201,4126.4
47,5211,491.56,8.481,46,,3212,0,8,32,2822,0.5,926.4,0.1147,27,no_progress,0,325412,4203.9
48,6727,420.92,15.778,45,,4728,0,8,33,3706,0.5598,970.9,0.1189,60,no_progress,0,332139,4299.2
49,7919,333.24,-86.91,44,,5920,0,7,42,6818,0.5697,888.3,0.1908,42,no_progress,0,340058,4403.1
50,8119,335.24,-52.678,45,,6120,0,7,36,6148,0.5765,878.2,0.1639,40,no_progress,0,348177,4509.9
51,7397,424.12,-67.726,48,,5398,0,8,45,6409,0.6133,968.8,0.1951,29,no_progress,0,355574,4680.9
52,7299,438.04,-39.376,46,,5300,0,9,32,4188,0.4772,1000.1,0.121,31,no_progress,0,362873,4781.8
53,1381,284.76,-19.838,25,,1029,0,3,13,1614,0.5444,808.2,0.2893,100,deadlock,0,364254,4801.2
54,6639,464.44,-10.659,46,,4640,0,9,24,2839,0.4504,980.7,0.0895,26,no_progress,0,370893,4894.4
55,9930,312.8,-62.842,47,,7931,0,8,36,7929,0.6033,985.6,0.1689,32,no_progress,0,380823,5022.8
56,1970,341.2,-28.367,30,,1543,0,4,17,2104,0.591,901.7,0.2598,100,deadlock,0,382793,5051.6
57,6678,412.88,-30.93,47,,4679,0,7,29,3914,0.5964,976.1,0.1258,33,no_progress,0,389471,5137.5
58,7838,366.48,-86.81,44,,5839,0,8,43,7405,0.6146,892.4,0.2118,44,no_progress,0,397309,5235.8
59,7683,402.68,-22.706,47,,5684,0,8,32,5760,0.5806,1042.5,0.166,53,no_progress,0,404992,5331.7
60,5392,464.32,21.809,44,,3393,0,8,39,2331,0.4905,928.0,0.0931,22,no_progress,0,410384,5397.6
61,6378,444.88,-36.053,46,,4379,0,8,45,4308,0.51,967.3,0.15,58,no_progress,0,416762,5480.0
62,6761,359.56,-84.305,42,,4762,0,7,40,7138,0.644,928.8,0.234,33,no_progress,0,423523,5615.1
63,4333,396.68,-21.155,39,,2334,0,6,28,2865,0.6185,877.2,0.1422,7,no_progress,0,427856,5686.7
64,6799,328.04,-56.069,42,,4800,0,6,44,5192,0.6122,879.4,0.1714,13,no_progress,0,434655,5816.5
65,6731,400.76,-19.626,43,,4732,0,8,28,3791,0.5768,967.1,0.1196,10,no_progress,0,441386,5942.7
66,2657,133.72,-63.862,21,,658,0,1,8,3235,0.6734,739.8,0.252,12,no_progress,0,444043,5996.9
67,9173,323.08,-104.22,45,,7174,0,8,33,8952,0.5874,949.1,0.2163,24,no_progress,0,453216,6171.4
68,6157,443.72,-34.418,48,,4158,0,7,35,3383,0.4401,907.7,0.1205,19,no_progress,0,459373,6288.1
69,7822,377.12,-79.296,45,,5823,0,8,29,6904,0.5591,886.7,0.1937,42,no_progress,0,467195,6438.8
70,7077,436.92,-86.99,48,,5078,0,8,35,7099,0.58,1009.7,0.2213,70,no_progress,0,474272,6566.2
71,6807,437.72,3.384,47,,4808,0,8,66,3681,0.4387,978.3,0.114,33,no_progress,0,481079,6693.4
72,6095,456.2,-7.38,46,,4096,0,8,34,4612,0.5782,995.3,0.1656,35,no_progress,0,487174,6804.9
73,4632,414.72,11.335,42,,2633,0,6,27,2568,0.602,910.3,0.1174,14,no_progress,0,491806,6882.8
74,6644,434.24,-82.944,46,,4645,0,8,42,7360,0.6126,982.3,0.2497,38,no_progress,0,498450,6986.6
