/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=2000 (초반 300ep까지 2000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 1 |  7790스텝 | 배송 47/50 | 재적재  8 | 정지 0.17 교착최장  25 | no_progress
Ep 2 |  6352스텝 | 배송 45/50 | 재적재  8 | 정지 0.15 교착최장 100 | deadlock
Ep 3 |  8031스텝 | 배송 45/50 | 재적재  8 | 정지 0.24 교착최장  70 | no_progress
Ep 4 |  8926스텝 | 배송 47/50 | 재적재  7 | 정지 0.16 교착최장  49 | no_progress
Ep 5 |  5790스텝 | 배송 43/50 | 재적재  7 | 정지 0.13 교착최장  15 | no_progress
Ep 6 |  7097스텝 | 배송 43/50 | 재적재  6 | 정지 0.15 교착최장   9 | no_progress
Ep 7 |  6667스텝 | 배송 45/50 | 재적재  8 | 정지 0.19 교착최장  37 | no_progress
Ep 8 |  6000스텝 | 배송 47/50 | 재적재  8 | 정지 0.17 교착최장  21 | no_progress
Ep 9 |  5330스텝 | 배송 46/50 | 재적재  8 | 정지 0.12 교착최장  12 | no_progress
Ep 10 |  7263스텝 | 배송 45/50 | 재적재  8 | 정지 0.17 교착최장  20 | no_progress
Ep 11 |  6588스텝 | 배송 49/50 | 재적재  9 | 정지 0.10 교착최장  21 | no_progress
Ep 12 |  6617스텝 | 배송 45/50 | 재적재  8 | 정지 0.08 교착최장  13 | no_progress
Ep 13 |  1102스텝 | 배송 26/50 | 재적재  3 | 정지 0.26 교착최장 100 | deadlock
