episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,26.3333,5.7203,3.0,0.0,0.5857,777.2822,0,1,951.4
100,26.5833,6.6515,3.0,0.0,0.6224,780.6302,0,1,2008.5
150,21.1667,7.0336,2.0,0.0833,0.6278,749.1399,0,0,3048.2
200,22.8333,6.4786,1.8333,0.0,0.6473,800.5988,0,0,4076.3
250,24.0833,5.7945,2.5833,0.0,0.6377,770.7024,0,0,5113.5
300,19.0833,6.3437,1.0833,0.0,0.6501,720.0643,0,0,6156.8
350,25.75,4.935,2.4167,0.0,0.6461,751.8034,0,0,7206.2
400,23.25,7.2356,2.25,0.0,0.6343,771.4555,0,0,8254.2
450,24.5833,5.2035,2.4167,0.0,0.6131,765.6828,0,0,9290.9
500,26.5,3.8622,3.0833,0.0,0.5835,755.5254,0,0,10327.8
550,23.4167,3.9678,2.3333,0.0,0.6271,751.7684,0,0,11370.6
600,27.0,3.1358,2.5,0.0,0.6157,796.7263,0,1,12414.1
650,25.6667,3.9651,2.25,0.0,0.6011,744.392,0,0,13456.3
700,21.3333,4.9889,1.5833,0.0,0.6386,793.0061,0,0,14502.4
750,23.9167,5.1875,2.5,0.0,0.6129,791.9367,0,0,15536.4
800,24.5833,5.5597,2.1667,0.0,0.6138,735.9183,0,0,16386.4
850,22.5,4.4628,1.5833,0.0,0.6373,768.092,0,0,17039.7
900,24.25,3.9817,2.1667,0.0,0.6386,764.7121,0,0,17688.4
950,25.1667,4.2979,1.75,0.0,0.646,753.6424,0,0,18337.7
1000,23.1667,4.8448,2.3333,0.0,0.6136,738.7962,0,0,18992.4
1050,19.1667,7.2438,1.1667,0.1667,0.6458,765.5496,0,0,19646.5
1100,22.9167,5.5597,1.75,0.0,0.6163,747.0884,0,0,20301.2
1150,23.3333,5.0222,1.9167,0.0,0.6108,743.7797,0,0,20949.4
1200,25.75,4.7104,2.6667,0.0,0.6364,787.8177,0,0,21592.6
1250,26.9167,3.9255,2.6667,0.0,0.6348,780.641,0,0,22243.7
1300,22.0,5.2757,1.75,0.0,0.6166,743.2967,0,0,22889.0
1350,24.5833,6.1706,2.4167,0.0,0.6095,759.7934,0,0,23540.4
