episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,410.0,6.305,33,,888,0,4,15,635,0.6262,792.4,0.1504,7,step_limit,0,1000,3.0
2,1000,380.0,8.381,30,,882,0,4,15,650,0.6208,877.1,0.1473,6,step_limit,0,2000,5.5
3,1000,400.0,10.68,29,,923,0,5,15,501,0.563,964.5,0.1131,10,step_limit,0,3000,8.1
4,1000,490.0,15.588,35,,972,0,6,20,428,0.5938,951.8,0.0969,12,step_limit,0,4000,10.7
5,1000,330.0,0.242,28,,983,0,3,17,910,0.6575,962.1,0.2141,13,step_limit,0,5000,13.6
6,1000,450.0,8.76,31,,875,0,6,18,560,0.5925,752.8,0.1193,13,step_limit,0,6000,30.0
7,1000,390.0,0.883,31,,983,0,4,27,956,0.6148,820.6,0.2266,25,step_limit,0,7000,50.0
8,1000,380.0,11.515,30,,938,0,4,20,465,0.6032,810.1,0.0918,7,step_limit,0,8000,69.3
9,1000,450.0,2.323,34,,964,0,5,27,823,0.6192,878.1,0.2091,40,step_limit,0,9000,88.9
10,1000,490.0,5.214,38,,952,0,5,31,892,0.6118,972.6,0.2171,21,step_limit,0,10000,108.4
11,1000,390.0,10.762,28,,999,0,5,25,349,0.5467,793.5,0.0737,7,step_limit,0,11000,128.4
12,1000,410.0,8.106,30,,788,0,5,34,647,0.5597,765.7,0.151,10,step_limit,0,12000,149.0
13,1000,390.0,-2.99,31,,752,0,4,29,987,0.6462,881.8,0.2468,46,step_limit,0,13000,169.4
14,1000,400.0,-0.562,32,,993,0,4,26,712,0.6062,742.8,0.1647,8,step_limit,0,14000,188.4
15,1000,390.0,10.332,31,,978,0,4,25,505,0.5887,782.0,0.1142,10,step_limit,0,15000,207.9
16,1000,400.0,12.872,32,,831,0,4,27,401,0.5453,819.4,0.0901,10,step_limit,0,16000,227.3
