episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,30.4167,5.0738,3.25,0.0,0.6235,832.0737,0,1,928.5
100,11.5,7.7942,0.25,0.3333,0.712,792.7389,0,0,1995.1
150,21.75,7.5952,1.8333,0.0833,0.6623,773.578,0,0,3046.0
200,14.1667,8.6683,1.0,0.6667,0.6557,798.5434,0,0,4092.0
250,20.1667,9.6767,1.6667,0.25,0.6253,811.4775,0,0,5133.4
300,21.1667,6.6312,2.0,0.0,0.6525,774.6279,0,0,6173.3
350,20.5833,5.1228,1.75,0.0,0.6591,789.2768,0,0,7200.6
400,26.25,4.53,2.5,0.0,0.6396,841.1412,0,0,8223.0
450,23.4167,5.3144,2.1667,0.0,0.6404,786.8733,0,0,9257.3
500,23.3333,7.8563,2.0833,0.0,0.6245,789.6278,0,0,10293.5
550,23.8333,4.4127,2.3333,0.0,0.5987,757.6642,0,0,11330.7
600,23.9167,6.0478,2.4167,0.0,0.6365,792.5035,0,0,12371.6
650,17.9167,9.2957,1.5833,0.5,0.657,781.1889,0,0,13414.3
700,23.25,10.2966,2.4167,0.5,0.6486,817.9099,0,0,14445.6
750,20.9167,9.4115,1.75,0.3333,0.6495,837.6311,0,0,15478.3
800,18.8333,7.3239,0.75,0.25,0.6929,796.927,0,0,16347.2
