episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,360.0,7.773,31,,981,0,3,14,474,0.6375,893.4,0.1068,7,step_limit,0,1000,2.4
2,1000,420.0,17.479,34,,915,0,4,19,422,0.6242,770.8,0.0983,7,step_limit,0,2000,4.4
3,1000,400.0,6.589,29,,843,0,5,17,572,0.6185,789.9,0.1347,15,step_limit,0,3000,6.4
4,1000,490.0,9.21,35,,971,0,6,19,641,0.6288,812.9,0.1548,14,step_limit,0,4000,8.4
5,1000,400.0,4.952,32,,930,0,4,15,728,0.6222,834.7,0.164,6,step_limit,0,5000,10.5
6,1000,440.0,-3.378,33,,875,0,5,22,971,0.6322,826.4,0.2417,39,step_limit,0,6000,22.9
7,1000,310.0,27.985,29,,909,0,2,113,515,0.5663,819.3,0.1133,5,step_limit,0,7000,39.6
8,1000,480.0,10.755,37,,988,0,5,34,534,0.628,864.3,0.1196,10,step_limit,0,8000,58.4
9,1000,460.0,10.266,32,,918,0,6,28,783,0.578,948.9,0.1909,16,step_limit,0,9000,78.4
10,1000,380.0,-4.886,30,,661,0,4,24,1090,0.6368,934.0,0.2686,60,step_limit,0,10000,98.9
11,1000,360.0,-4.779,31,,963,0,3,28,1088,0.6165,1003.6,0.2746,179,step_limit,0,11000,119.7
12,1000,350.0,4.822,30,,874,0,3,31,756,0.615,848.0,0.1877,21,step_limit,0,12000,140.1
13,1000,420.0,13.15,31,,951,0,5,32,277,0.576,788.1,0.0602,6,step_limit,0,13000,159.3
14,1000,370.0,11.118,29,,895,0,4,26,416,0.625,774.8,0.0894,7,step_limit,0,14000,178.2
15,1000,360.0,21.395,31,,988,0,3,68,552,0.6002,817.7,0.1257,12,step_limit,0,15000,198.5
16,1000,350.0,-0.609,30,,947,0,3,20,667,0.6102,811.9,0.1526,10,step_limit,0,16000,218.0
17,1000,360.0,1.428,28,,884,0,4,19,633,0.6112,881.4,0.134,19,step_limit,0,17000,237.7
18,1000,390.0,-3.523,31,,972,0,4,21,975,0.626,817.3,0.2414,54,step_limit,0,18000,257.5
19,1000,400.0,-9.23,32,,965,0,4,21,932,0.621,936.0,0.2212,12,step_limit,0,19000,277.3
20,1000,350.0,-4.315,30,,979,0,3,22,885,0.6358,911.1,0.1981,7,step_limit,0,20000,296.7
21,1000,430.0,3.941,32,,994,0,5,16,829,0.6318,817.2,0.1959,10,step_limit,0,21000,315.9
22,1000,360.0,5.742,31,,880,0,3,21,723,0.6645,785.1,0.1664,9,step_limit,0,22000,335.4
23,1000,440.0,12.383,33,,992,0,5,22,575,0.6002,829.4,0.1284,6,step_limit,0,23000,354.9
24,1000,430.0,10.835,32,,950,0,5,27,616,0.6212,876.5,0.1496,13,step_limit,0,24000,374.3
