episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,25.25,7.4064,2.5,0.0,0.6376,790.6026,0,1,3735.9
100,22.3333,4.4783,2.4167,0.0,0.5748,709.0406,0,0,7347.0
150,22.8333,7.8934,2.25,0.0,0.6243,741.3933,0,0,11147.8
200,24.3333,7.2495,2.25,0.0,0.6202,803.8771,0,0,14879.2
250,21.3333,7.5314,1.9167,0.0833,0.6042,749.6937,0,0,17647.8
300,18.1667,3.3624,0.3333,0.0,0.6169,739.5255,0,0,20080.7
350,22.25,9.3374,2.0833,0.0,0.6254,767.231,0,0,20760.9
400,22.75,5.0353,1.9167,0.0,0.5936,790.8355,0,0,21487.6
450,27.75,4.4558,3.5833,0.0,0.6104,819.8346,0,1,22224.3
500,27.9167,7.6208,3.3333,0.0,0.5984,785.4199,0,1,22968.0
550,18.0,6.5955,0.9167,0.0,0.6073,731.9101,0,0,23657.4
600,21.5833,5.5446,1.75,0.0,0.5933,704.5887,0,0,24176.3
650,23.0,6.6332,2.0,0.0,0.6071,742.9447,0,0,24678.9
700,27.9167,7.6317,3.0,0.0,0.6081,793.4711,0,0,25177.5
750,22.5833,8.6261,1.75,0.0,0.6425,772.5931,0,0,25736.4
800,21.75,9.5927,1.9167,0.25,0.6261,755.2065,0,0,26260.3
850,20.4167,7.0765,1.5,0.0,0.5683,726.1451,0,0,26768.3
900,22.5,4.717,2.0833,0.0,0.552,692.8331,0,0,27300.3
950,22.8333,8.5521,1.9167,0.0,0.6177,757.434,0,0,27830.4
1000,23.75,7.201,1.9167,0.0833,0.6225,785.1285,0,0,28343.5
1050,22.5,7.4777,2.0,0.0,0.6189,773.9479,0,0,28896.7
1100,20.9167,5.1875,2.0,0.0,0.5537,725.2411,0,0,29434.4
1150,24.3333,6.9202,2.25,0.0,0.611,742.62,0,0,29944.1
1200,26.8333,6.0116,2.8333,0.0,0.5741,761.2825,0,0,30483.0
1250,21.5833,5.8232,2.0833,0.0,0.5874,752.2733,0,0,31036.9
