episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,2619,505.24,-26.365,40,,1620,0,7,22,2379,0.6815,1034.4,0.205,20,no_progress,0,2619,9.7
2,3991,520.36,-72.008,44,,2992,0,8,23,4205,0.6783,948.7,0.247,71,no_progress,0,6610,50.9
3,3371,525.16,-80.941,45,,2372,0,7,43,4764,0.6527,992.3,0.3365,16,no_progress,0,9981,117.2
4,4449,422.04,-74.372,42,,3450,0,6,68,4097,0.6846,965.5,0.2085,40,no_progress,0,14430,205.3
5,3642,504.32,-51.181,44,,2643,0,7,34,3525,0.7052,1053.6,0.2148,18,no_progress,0,18072,276.8
6,4286,458.56,-76.981,42,,3287,0,7,39,4512,0.7119,1016.8,0.2394,14,no_progress,0,22358,363.8
7,2459,461.64,-5.159,38,,1460,0,6,28,1206,0.6855,906.6,0.1071,4,no_progress,0,24817,412.9
8,3904,423.84,-80.062,40,,2905,0,6,26,3519,0.7034,984.6,0.2086,15,no_progress,0,28721,491.9
9,2874,485.04,-54.525,39,,1875,0,7,24,3134,0.67,935.1,0.2493,21,no_progress,0,31595,549.2
10,2478,460.88,-22.601,38,,1479,0,6,23,1935,0.6547,953.5,0.1629,18,no_progress,0,34073,599.2
11,3305,447.8,-60.45,40,,2306,0,6,25,3480,0.6868,1032.3,0.242,55,no_progress,0,37378,666.7
12,4486,450.56,-102.481,42,,3487,0,7,25,4652,0.7065,1015.7,0.2393,25,no_progress,0,41864,755.6
13,3673,443.08,-66.388,41,,2674,0,6,33,3611,0.6855,1030.9,0.2146,28,no_progress,0,45537,829.8
14,3720,431.2,-74.239,40,,2721,0,6,27,3847,0.7044,933.2,0.2403,28,no_progress,0,49257,901.9
15,3329,466.84,-43.6,42,,2330,0,6,25,2838,0.7022,1056.1,0.1878,21,no_progress,0,52586,964.8
16,3147,434.12,-40.34,38,,2148,0,6,29,2841,0.6874,1060.6,0.2041,12,no_progress,0,55733,1028.1
17,2916,453.36,-30.117,39,,1917,0,6,31,2433,0.6796,936.3,0.1868,13,no_progress,0,58649,1086.0
18,3918,473.28,-76.024,42,,2919,0,7,33,4255,0.6861,993.5,0.2484,36,no_progress,0,62567,1165.3
19,4898,414.08,-88.963,40,,3899,0,7,25,4628,0.6934,955.4,0.2108,24,no_progress,0,67465,1264.5
20,3979,510.84,-65.204,46,,2980,0,7,29,3908,0.6931,1021.3,0.2172,26,no_progress,0,71444,1346.4
21,2788,328.48,-47.063,32,,1789,0,4,25,2571,0.6977,908.3,0.201,12,no_progress,0,74232,1402.2
22,4259,449.64,-87.892,41,,3260,0,7,27,4832,0.702,1036.4,0.256,16,no_progress,0,78491,1487.7
23,2697,392.12,-38.294,35,,1698,0,5,28,2482,0.6878,935.8,0.216,12,no_progress,0,81188,1541.9
24,3693,492.28,-51.058,43,,2694,0,7,35,3381,0.6766,944.1,0.2076,19,no_progress,0,84881,1617.2
25,3711,471.56,-61.105,41,,2712,0,7,34,3755,0.6847,922.5,0.221,18,no_progress,0,88592,1691.6
26,3885,484.6,-80.539,43,,2886,0,7,35,4581,0.6974,1041.0,0.2753,20,no_progress,0,92477,1769.8
27,4338,506.48,-106.419,44,,3339,0,8,29,5359,0.6871,993.5,0.2853,53,no_progress,0,96815,1859.5
28,5336,486.56,-125.177,46,,4337,0,8,28,6440,0.7092,1053.3,0.2751,96,no_progress,0,102151,1964.5
29,3969,531.24,-90.278,45,,2970,0,8,34,5027,0.6939,986.5,0.2839,23,no_progress,0,106120,2043.0
30,5365,475.4,-107.22,45,,4366,0,8,33,5621,0.7073,993.7,0.2332,27,no_progress,0,111485,2151.8
31,5641,454.36,-176.096,44,,4642,0,8,30,8314,0.6931,1000.1,0.3384,81,no_progress,0,117126,2266.1
32,3103,385.88,-49.406,36,,2104,0,5,22,3162,0.6765,945.5,0.2278,16,no_progress,0,120229,2328.4
33,2890,474.4,-43.693,38,,1891,0,7,25,2883,0.6834,926.7,0.2248,31,no_progress,0,123119,2385.1
34,3465,471.4,-81.725,40,,2466,0,7,18,4609,0.6944,1004.8,0.3028,31,no_progress,0,126584,2455.9
35,3549,498.04,-54.182,43,,2550,0,7,25,3303,0.691,972.8,0.219,19,no_progress,0,130133,2524.6
36,3263,489.48,-69.377,41,,2264,0,7,20,3628,0.7039,1018.2,0.2584,31,no_progress,0,133396,2589.3
37,3584,456.64,-62.084,42,,2585,0,6,20,3340,0.7005,977.6,0.2093,16,no_progress,0,136980,2658.4
38,4289,408.44,-71.298,40,,3290,0,6,19,3672,0.6981,1034.9,0.1858,46,no_progress,0,141269,2740.4
39,4754,459.84,-120.341,44,,3755,0,7,26,6390,0.6619,1050.9,0.2991,47,no_progress,0,146023,2833.8
40,4148,524.08,-104.896,45,,3149,0,8,49,5742,0.6969,1003.5,0.3291,62,no_progress,0,150171,2916.7
41,3038,518.48,-37.741,43,,2039,0,7,25,2700,0.6619,1058.1,0.197,18,no_progress,0,153209,2978.7
42,2911,483.56,-60.56,39,,1912,0,7,22,3509,0.6902,973.3,0.2762,26,no_progress,0,156120,3033.1
43,4518,439.28,-142.996,41,,3519,0,7,23,6467,0.693,1031.6,0.3293,81,no_progress,0,160638,3122.0
44,4928,452.88,-128.496,44,,3929,0,7,23,6179,0.7013,1017.8,0.2813,30,no_progress,0,165566,3217.8
45,2349,346.04,-53.358,32,,1350,0,4,14,2388,0.7196,1047.5,0.2418,19,no_progress,0,167915,3264.9
46,3163,433.48,-64.632,38,,2164,0,6,20,3575,0.7033,951.4,0.255,60,no_progress,0,171078,3331.7
47,5639,444.44,-125.32,46,,4640,0,7,26,6683,0.7203,1054.3,0.2659,16,no_progress,0,176717,3447.3
48,4046,348.16,-80.131,36,,3047,0,5,20,4254,0.7231,953.4,0.2306,16,no_progress,0,180763,3528.3
49,3831,496.76,-81.659,44,,2832,0,7,30,4038,0.6725,968.3,0.2419,57,no_progress,0,184594,3603.4
50,4490,430.4,-88.302,40,,3491,0,7,26,4574,0.7063,996.8,0.2248,31,no_progress,0,189084,3691.7
51,3394,404.24,-44.337,36,,2395,0,6,31,2698,0.6485,882.5,0.1741,28,no_progress,0,192478,3803.6
52,3230,510.8,-73.716,43,,2231,0,7,18,3993,0.6893,1008.9,0.2902,33,no_progress,0,195708,3870.0
53,3454,481.84,-83.4,41,,2455,0,7,26,4295,0.6804,975.5,0.2945,21,no_progress,0,199162,3936.2
54,5099,406.04,-150.612,40,,4100,0,7,21,7190,0.699,1020.7,0.3139,37,no_progress,0,204261,4036.9
55,2944,442.24,-30.286,38,,1945,0,6,20,2264,0.6706,902.3,0.1655,13,no_progress,0,207205,4092.7
56,2739,450.44,-38.871,38,,1906,0,6,20,2743,0.6678,970.0,0.2332,100,deadlock,0,209944,4145.9
57,3489,500.44,-51.066,43,,2490,0,7,35,3631,0.6887,985.9,0.2337,30,no_progress,0,213433,4213.4
58,3375,475.0,-65.767,40,,2376,0,7,25,3459,0.6776,1029.3,0.2322,11,no_progress,0,216808,4277.7
59,4215,431.4,-57.744,42,,3216,0,6,18,3440,0.7084,952.2,0.1781,21,no_progress,0,221023,4357.7
60,3297,438.12,-81.713,39,,2298,0,6,16,3892,0.6922,969.9,0.2796,39,no_progress,0,224320,4421.0
61,3817,427.32,-89.571,40,,2818,0,6,24,4671,0.6868,993.5,0.2744,25,no_progress,0,228137,4496.7
62,2237,340.52,-8.077,31,,1238,0,4,20,1151,0.6872,947.7,0.1029,12,no_progress,0,230374,4541.5
63,3335,456.6,-74.658,41,,2336,0,6,26,3982,0.691,973.5,0.2789,45,no_progress,0,233709,4606.7
64,3087,496.52,-57.919,41,,2088,0,7,20,3480,0.6915,1053.9,0.2607,39,no_progress,0,236796,4669.3
65,4038,478.48,-54.249,43,,3039,0,7,27,3544,0.6667,984.2,0.1936,19,no_progress,0,240834,4750.6
66,2635,384.6,-34.304,34,,1636,0,5,29,2161,0.7038,944.3,0.1855,17,no_progress,0,243469,4801.1
67,5280,418.8,-144.567,42,,4281,0,7,33,7149,0.7064,983.5,0.3114,41,no_progress,0,248749,4903.8
68,4110,435.6,-99.729,42,,3111,0,6,35,4999,0.6914,1073.5,0.2775,16,no_progress,0,252859,4984.8
69,2624,435.04,-38.598,36,,1625,0,6,24,2102,0.6657,967.4,0.1737,15,no_progress,0,255483,5036.3
70,3175,383.0,-57.322,36,,2176,0,5,21,2943,0.699,1010.2,0.2018,17,no_progress,0,258658,5093.0
71,4042,478.32,-64.708,43,,3043,0,7,28,4216,0.6818,1052.0,0.222,17,no_progress,0,262700,5174.9
72,4076,456.96,-70.133,41,,3077,0,7,19,3968,0.6942,1073.5,0.2199,19,no_progress,0,266776,5261.2
73,3206,431.76,-46.152,38,,2207,0,6,24,2552,0.6801,964.6,0.1797,15,no_progress,0,269982,5324.1
74,3680,452.8,-56.375,42,,2681,0,6,22,3050,0.6965,1070.4,0.1803,21,no_progress,0,273662,5395.7
75,3758,519.68,-61.685,43,,2759,0,8,21,3633,0.6873,982.6,0.2183,32,no_progress,0,277420,5469.3
76,3162,433.52,-47.09,38,,2163,0,6,12,2573,0.669,935.1,0.1774,31,no_progress,0,280582,5531.4
77,2365,355.4,-29.289,33,,1366,0,4,13,1897,0.7122,951.5,0.1763,20,no_progress,0,282947,5577.4
78,3629,454.84,-68.345,39,,2630,0,7,14,3687,0.6985,971.1,0.2197,23,no_progress,0,286576,5648.8
79,3783,478.68,-89.613,42,,2784,0,7,30,4546,0.6859,987.0,0.2744,35,no_progress,0,290359,5721.6
80,2905,443.8,-17.346,38,,1906,0,6,20,1902,0.6614,991.3,0.1411,12,no_progress,0,293264,5780.5
81,2693,382.28,-34.178,34,,1694,0,5,16,2131,0.7026,1004.0,0.1815,10,no_progress,0,295957,5832.7
82,3613,505.48,-60.957,44,,2614,0,7,28,3450,0.6919,995.5,0.2084,18,no_progress,0,299570,5905.9
83,3123,455.08,-35.432,40,,2124,0,6,30,2251,0.6968,976.9,0.1686,20,no_progress,0,302693,5968.9
84,4358,465.68,-49.878,43,,3359,0,7,26,3540,0.6794,953.4,0.1698,14,no_progress,0,307051,6054.3
85,4430,402.8,-86.99,40,,3431,0,6,26,4363,0.6796,970.6,0.2181,20,no_progress,0,311481,6135.9
86,5395,434.2,-134.924,44,,4396,0,7,38,6615,0.7126,1041.9,0.2817,37,no_progress,0,316876,6242.8
87,3014,479.44,-32.949,42,,2015,0,6,28,2557,0.6834,971.5,0.194,12,no_progress,0,319890,6302.4
88,3135,454.6,-43.544,40,,2136,0,6,23,2621,0.6874,958.8,0.1893,16,no_progress,0,323025,6365.4
89,4057,507.72,-82.373,43,,3058,0,8,22,4292,0.6685,898.6,0.243,18,no_progress,0,327082,6447.7
90,3542,478.32,-61.286,41,,2543,0,7,25,3634,0.7062,1042.6,0.237,17,no_progress,0,330624,6517.6
91,4230,460.8,-107.237,42,,3231,0,7,25,5394,0.7078,1000.2,0.2853,24,no_progress,0,334854,6600.6
92,3830,446.8,-49.496,39,,2831,0,7,20,3143,0.6858,1018.0,0.1824,30,no_progress,0,338684,6676.4
93,3985,430.6,-67.478,41,,2986,0,6,28,4368,0.7012,1035.8,0.246,21,no_progress,0,342669,6754.6
94,3526,418.96,-56.995,38,,2527,0,6,25,3626,0.697,997.3,0.2336,52,no_progress,0,346195,6823.1
95,3646,434.16,-18.545,40,,2647,0,6,54,2427,0.6567,957.1,0.1478,14,no_progress,0,349841,6894.8
96,6014,429.44,-173.831,43,,5015,0,8,53,8045,0.6766,1017.1,0.3069,58,no_progress,0,355855,7012.5
97,5599,426.04,-96.366,44,,4600,0,7,42,5471,0.6991,982.1,0.2265,33,no_progress,0,361454,7120.1
98,2692,502.32,-31.401,40,,1693,0,7,32,2633,0.6647,1061.7,0.2261,30,no_progress,0,364146,7169.2
99,3774,469.04,-85.364,41,,2775,0,7,19,4315,0.6789,1040.6,0.2581,21,no_progress,0,367920,7243.7
100,3477,530.92,-67.689,43,,2478,0,8,30,3836,0.6793,1003.1,0.2494,40,no_progress,0,371397,7314.3
101,6128,464.88,-148.996,47,,5129,0,8,30,7197,0.7139,1038.1,0.2713,26,no_progress,0,377525,7469.1
102,3863,485.48,-49.22,43,,3494,0,7,31,3407,0.6629,965.5,0.1956,100,deadlock,0,381388,7547.2
103,4164,453.44,-75.936,41,,3165,0,7,27,4565,0.6946,1014.6,0.2473,19,no_progress,0,385552,7631.1
104,2848,336.08,-40.569,33,,1849,0,4,19,2415,0.7051,913.6,0.187,71,no_progress,0,388400,7688.4
105,3205,491.8,-64.411,41,,2206,0,7,23,3346,0.6863,1022.1,0.2364,18,no_progress,0,391605,7752.1
106,3429,462.84,-29.302,42,,2430,0,6,22,2663,0.6917,1044.8,0.1778,20,no_progress,0,395034,7819.6
