/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_04_15_w/best_worker.pth
Ep 1 |  2619스텝 | 배송 40/50 | 재적재  7 | 정지 0.20 교착최장  20 | no_progress
Ep 2 |  3991스텝 | 배송 44/50 | 재적재  8 | 정지 0.25 교착최장  71 | no_progress
Ep 3 |  3371스텝 | 배송 45/50 | 재적재  7 | 정지 0.34 교착최장  16 | no_progress
Ep 4 |  4449스텝 | 배송 42/50 | 재적재  6 | 정지 0.21 교착최장  40 | no_progress
Ep 5 |  3642스텝 | 배송 44/50 | 재적재  7 | 정지 0.21 교착최장  18 | no_progress
Ep 6 |  4286스텝 | 배송 42/50 | 재적재  7 | 정지 0.24 교착최장  14 | no_progress
Ep 7 |  2459스텝 | 배송 38/50 | 재적재  6 | 정지 0.11 교착최장   4 | no_progress
Ep 8 |  3904스텝 | 배송 40/50 | 재적재  6 | 정지 0.21 교착최장  15 | no_progress
Ep 9 |  2874스텝 | 배송 39/50 | 재적재  7 | 정지 0.25 교착최장  21 | no_progress
Ep 10 |  2478스텝 | 배송 38/50 | 재적재  6 | 정지 0.16 교착최장  18 | no_progress
Ep 11 |  3305스텝 | 배송 40/50 | 재적재  6 | 정지 0.24 교착최장  55 | no_progress
Ep 12 |  4486스텝 | 배송 42/50 | 재적재  7 | 정지 0.24 교착최장  25 | no_progress
Ep 13 |  3673스텝 | 배송 41/50 | 재적재  6 | 정지 0.21 교착최장  28 | no_progress
Ep 14 |  3720스텝 | 배송 40/50 | 재적재  6 | 정지 0.24 교착최장  28 | no_progress
Ep 15 |  3329스텝 | 배송 42/50 | 재적재  6 | 정지 0.19 교착최장  21 | no_progress
Ep 16 |  3147스텝 | 배송 38/50 | 재적재  6 | 정지 0.20 교착최장  12 | no_progress
Ep 17 |  2916스텝 | 배송 39/50 | 재적재  6 | 정지 0.19 교착최장  13 | no_progress
Ep 18 |  3918스텝 | 배송 42/50 | 재적재  7 | 정지 0.25 교착최장  36 | no_progress
Ep 19 |  4898스텝 | 배송 40/50 | 재적재  7 | 정지 0.21 교착최장  24 | no_progress
Ep 20 |  3979스텝 | 배송 46/50 | 재적재  7 | 정지 0.22 교착최장  26 | no_progress
Ep 21 |  2788스텝 | 배송 32/50 | 재적재  4 | 정지 0.20 교착최장  12 | no_progress
Ep 22 |  4259스텝 | 배송 41/50 | 재적재  7 | 정지 0.26 교착최장  16 | no_progress
Ep 23 |  2697스텝 | 배송 35/50 | 재적재  5 | 정지 0.22 교착최장  12 | no_progress
Ep 24 |  3693스텝 | 배송 43/50 | 재적재  7 | 정지 0.21 교착최장  19 | no_progress
Ep 25 |  3711스텝 | 배송 41/50 | 재적재  7 | 정지 0.22 교착최장  18 | no_progress
Ep 26 |  3885스텝 | 배송 43/50 | 재적재  7 | 정지 0.28 교착최장  20 | no_progress
Ep 27 |  4338스텝 | 배송 44/50 | 재적재  8 | 정지 0.29 교착최장  53 | no_progress
Ep 28 |  5336스텝 | 배송 46/50 | 재적재  8 | 정지 0.28 교착최장  96 | no_progress
Ep 29 |  3969스텝 | 배송 45/50 | 재적재  8 | 정지 0.28 교착최장  23 | no_progress
Ep 30 |  5365스텝 | 배송 45/50 | 재적재  8 | 정지 0.23 교착최장  27 | no_progress
Ep 31 |  5641스텝 | 배송 44/50 | 재적재  8 | 정지 0.34 교착최장  81 | no_progress
Ep 32 |  3103스텝 | 배송 36/50 | 재적재  5 | 정지 0.23 교착최장  16 | no_progress
Ep 33 |  2890스텝 | 배송 38/50 | 재적재  7 | 정지 0.22 교착최장  31 | no_progress
Ep 34 |  3465스텝 | 배송 40/50 | 재적재  7 | 정지 0.30 교착최장  31 | no_progress
Ep 35 |  3549스텝 | 배송 43/50 | 재적재  7 | 정지 0.22 교착최장  19 | no_progress
Ep 36 |  3263스텝 | 배송 41/50 | 재적재  7 | 정지 0.26 교착최장  31 | no_progress
Ep 37 |  3584스텝 | 배송 42/50 | 재적재  6 | 정지 0.21 교착최장  16 | no_progress
Ep 38 |  4289스텝 | 배송 40/50 | 재적재  6 | 정지 0.19 교착최장  46 | no_progress
Ep 39 |  4754스텝 | 배송 44/50 | 재적재  7 | 정지 0.30 교착최장  47 | no_progress
Ep 40 |  4148스텝 | 배송 45/50 | 재적재  8 | 정지 0.33 교착최장  62 | no_progress
Ep 41 |  3038스텝 | 배송 43/50 | 재적재  7 | 정지 0.20 교착최장  18 | no_progress
Ep 42 |  2911스텝 | 배송 39/50 | 재적재  7 | 정지 0.28 교착최장  26 | no_progress
Ep 43 |  4518스텝 | 배송 41/50 | 재적재  7 | 정지 0.33 교착최장  81 | no_progress
Ep 44 |  4928스텝 | 배송 44/50 | 재적재  7 | 정지 0.28 교착최장  30 | no_progress
Ep 45 |  2349스텝 | 배송 32/50 | 재적재  4 | 정지 0.24 교착최장  19 | no_progress
Ep 46 |  3163스텝 | 배송 38/50 | 재적재  6 | 정지 0.25 교착최장  60 | no_progress
Ep 47 |  5639스텝 | 배송 46/50 | 재적재  7 | 정지 0.27 교착최장  16 | no_progress
Ep 48 |  4046스텝 | 배송 36/50 | 재적재  5 | 정지 0.23 교착최장  16 | no_progress
Ep 49 |  3831스텝 | 배송 44/50 | 재적재  7 | 정지 0.24 교착최장  57 | no_progress
Ep 50 |  4490스텝 | 배송 40/50 | 재적재  7 | 정지 0.22 교착최장  31 | no_progress
  [홀드아웃] 배송 25.2±7.4 재적재 2.5 2홉+ 0.64 | 최고 25.2@ep50 정체 0/15  ← 갱신
Ep 51 |  3394스텝 | 배송 36/50 | 재적재  6 | 정지 0.17 교착최장  28 | no_progress
Ep 52 |  3230스텝 | 배송 43/50 | 재적재  7 | 정지 0.29 교착최장  33 | no_progress
Ep 53 |  3454스텝 | 배송 41/50 | 재적재  7 | 정지 0.29 교착최장  21 | no_progress
Ep 54 |  5099스텝 | 배송 40/50 | 재적재  7 | 정지 0.31 교착최장  37 | no_progress
Ep 55 |  2944스텝 | 배송 38/50 | 재적재  6 | 정지 0.17 교착최장  13 | no_progress
Ep 56 |  2739스텝 | 배송 38/50 | 재적재  6 | 정지 0.23 교착최장 100 | deadlock
Ep 57 |  3489스텝 | 배송 43/50 | 재적재  7 | 정지 0.23 교착최장  30 | no_progress
Ep 58 |  3375스텝 | 배송 40/50 | 재적재  7 | 정지 0.23 교착최장  11 | no_progress
Ep 59 |  4215스텝 | 배송 42/50 | 재적재  6 | 정지 0.18 교착최장  21 | no_progress
