episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,27.6667,4.0069,3.5833,0.0,0.5774,769.0418,0,1,952.8
100,23.8333,6.1486,1.9167,0.0,0.6241,760.2004,0,0,1990.2
150,24.5833,8.7508,2.75,0.0,0.6121,771.8413,0,0,3017.4
200,24.4167,8.6358,2.25,0.0,0.5881,737.7757,0,0,4039.0
250,22.4167,8.2002,1.5833,0.1667,0.6102,752.8968,0,0,5067.9
300,20.4167,6.8855,1.0833,0.0,0.6059,693.6387,0,0,6092.4
350,17.0833,7.4213,0.8333,0.0833,0.6528,774.8804,0,0,7073.0
400,19.9167,7.5549,1.5833,0.0833,0.6278,773.8337,0,0,8074.5
450,18.5833,7.9526,1.3333,0.1667,0.6189,769.5637,0,0,9055.5
500,14.0,8.2765,0.5833,0.1667,0.6532,760.3616,0,0,10027.3
550,19.4167,8.3212,1.25,0.1667,0.6299,781.1507,0,0,10976.7
600,18.25,10.6076,1.5833,0.3333,0.623,773.5855,0,0,11901.2
650,17.3333,9.681,1.25,0.1667,0.6292,762.953,0,0,12853.1
700,20.5833,9.5084,1.8333,0.0833,0.6329,794.4422,0,0,13775.8
750,18.75,10.0094,1.6667,0.4167,0.63,826.1803,0,0,14714.1
800,19.5833,5.0076,1.3333,0.0,0.6004,757.427,0,0,15636.1
