episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,370.0,3.022,29,,976,0,4,11,442,0.6435,821.3,0.0955,7,step_limit,0,1000,3.3
2,1000,370.0,5.434,32,,894,0,3,14,588,0.6508,1007.3,0.1337,18,step_limit,0,2000,6.3
3,1000,440.0,8.532,33,,969,0,5,14,598,0.6122,883.6,0.1362,10,step_limit,0,3000,9.5
4,1000,420.0,4.041,31,,898,0,5,18,582,0.552,978.5,0.1354,12,step_limit,0,4000,13.0
5,1000,320.0,-12.846,27,,869,0,3,15,1183,0.6603,893.7,0.2892,17,step_limit,0,5000,16.7
6,1000,350.0,-9.347,30,,960,0,3,16,908,0.6425,862.5,0.224,8,step_limit,0,6000,35.1
7,1000,400.0,4.252,32,,973,0,4,18,783,0.6448,819.3,0.1865,10,step_limit,0,7000,54.8
8,1000,350.0,10.739,27,,896,0,4,18,384,0.616,770.3,0.081,8,step_limit,0,8000,74.0
9,1000,330.0,7.931,28,,797,0,3,16,443,0.5833,747.0,0.0986,9,step_limit,0,9000,93.8
10,1000,360.0,-1.335,28,,914,0,4,16,588,0.6335,870.1,0.1313,9,step_limit,0,10000,113.3
11,1000,430.0,11.064,32,,994,0,5,26,494,0.6162,767.5,0.1109,16,step_limit,0,11000,133.3
12,1000,430.0,-2.493,35,,994,0,4,32,872,0.6042,832.9,0.2097,17,step_limit,0,12000,153.9
13,1000,380.0,16.163,30,,913,0,4,64,510,0.557,817.1,0.1178,9,step_limit,0,13000,173.7
14,1000,330.0,32.251,28,,970,0,3,142,681,0.5085,893.9,0.1621,10,step_limit,0,14000,193.6
15,1000,350.0,2.53,27,,718,0,4,16,522,0.572,787.6,0.1098,9,step_limit,0,15000,213.9
16,1000,340.0,3.102,29,,981,0,3,20,477,0.6128,802.7,0.097,7,step_limit,0,16000,234.7
17,1000,400.0,-2.711,32,,980,0,4,20,814,0.603,893.6,0.1898,17,step_limit,0,17000,255.5
18,1000,320.0,-4.467,27,,634,0,3,15,609,0.619,749.8,0.1424,15,step_limit,0,18000,277.2
19,1000,370.0,3.319,29,,949,0,4,19,547,0.59,839.5,0.1292,9,step_limit,0,19000,297.7
