episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,33.3333,9.551,4.5,0.0,0.6397,773.6567,0,1,817.1
100,34.5833,5.9785,4.8333,0.0,0.6349,774.9863,0,1,1730.3
150,33.0,5.9442,4.6667,0.0,0.6475,769.4849,0,0,2647.1
200,32.1667,8.1633,4.5,0.0,0.6184,752.3584,0,0,3565.2
250,33.5833,8.5192,4.5,0.0,0.6452,762.692,0,0,4482.6
300,35.1667,4.9301,5.0,0.0,0.5961,786.6413,0,1,5398.0
350,29.6667,6.8718,3.75,0.0,0.6145,734.7231,0,0,6316.3
400,31.5833,6.291,4.3333,0.0,0.657,737.6765,0,0,7226.3
450,27.9167,9.5172,3.5,0.0,0.6574,734.0704,0,0,8143.8
500,28.75,11.0538,3.5,0.0,0.6698,732.3534,0,0,9063.1
550,36.0833,4.7515,5.3333,0.0,0.6305,814.7115,0,1,9982.0
600,31.0,10.7238,4.0,0.0,0.6593,734.8303,0,0,10903.0
650,34.5,7.5884,5.0833,0.0,0.6165,767.2304,0,0,11824.9
700,32.9167,6.7634,4.6667,0.0,0.645,783.5344,0,0,12734.0
750,31.8333,5.8996,4.3333,0.0,0.5941,763.8817,0,0,13647.9
800,30.9167,9.6649,4.25,0.0,0.6769,745.4546,0,0,14553.7
850,34.0833,8.0463,5.0,0.0,0.6431,799.891,0,0,15472.2
900,30.5833,8.3811,3.75,0.0,0.6362,732.068,0,0,16399.1
950,31.25,7.4288,4.0833,0.0,0.6181,759.5008,0,0,17312.1
1000,27.6667,10.411,3.4167,0.0,0.6269,718.1921,0,0,18247.7
1050,31.5833,9.078,4.5833,0.0,0.643,741.7149,0,0,19175.1
1100,29.25,7.3158,3.5833,0.0,0.6174,728.305,0,0,20092.7
1150,26.8333,7.1278,3.3333,0.0,0.6448,696.5261,0,0,20965.4
1200,31.9167,8.703,4.25,0.0,0.6456,760.0197,0,0,21693.1
1250,32.1667,11.5818,4.1667,0.0,0.6375,761.1252,0,0,22287.1
1300,30.6667,10.2983,3.9167,0.0,0.6647,771.1222,0,0,22883.7
