episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,480.0,9.23,37,,844,0,5,46,2027,0.6315,917.6,0.5299,44,step_limit,0,1000,2.0
2,1000,430.0,-5.156,32,,988,0,5,33,2243,0.6797,884.3,0.586,59,step_limit,0,2000,3.8
3,1000,400.0,-16.302,32,,875,0,4,31,2398,0.6875,866.9,0.6409,172,step_limit,0,3000,5.6
4,1000,470.0,-1.303,36,,940,0,5,42,2157,0.635,856.8,0.5833,80,step_limit,0,4000,7.4
5,1000,410.0,-23.735,30,,967,0,5,23,2500,0.6717,709.7,0.6638,126,step_limit,0,5000,9.3
6,1000,580.0,17.449,41,,998,0,7,43,1842,0.6265,912.7,0.494,112,step_limit,0,6000,13.0
7,1000,270.0,3.085,22,,529,0,3,198,2742,0.4567,591.9,0.7272,458,step_limit,0,7000,29.4
8,1000,350.0,123.708,27,,718,0,4,505,1799,0.3895,787.7,0.5107,339,step_limit,0,8000,46.6
9,1000,460.0,103.177,35,,931,0,5,243,1159,0.4805,854.2,0.3081,46,step_limit,0,9000,64.1
10,1000,330.0,48.16,28,,712,0,3,251,2136,0.542,889.1,0.5672,288,step_limit,0,10000,81.8
11,1000,560.0,42.726,42,,872,0,6,103,1620,0.613,878.7,0.4395,85,step_limit,0,11000,99.5
12,1000,320.0,51.194,27,,721,0,3,288,2273,0.5525,814.2,0.5973,182,step_limit,0,12000,117.2
13,1000,330.0,82.907,28,,879,0,3,358,1989,0.4893,835.0,0.5263,95,step_limit,0,13000,136.0
14,1000,300.0,55.157,25,,606,0,3,301,2266,0.55,649.4,0.5925,412,step_limit,0,14000,154.7
15,1000,180.0,23.458,16,,523,0,2,261,2672,0.5463,547.6,0.6963,397,step_limit,0,15000,175.0
16,1000,220.0,281.958,20,,942,0,2,1174,1761,0.3005,697.0,0.4585,20,step_limit,0,16000,193.9
17,1000,270.0,36.671,25,,457,0,2,252,2371,0.5675,723.9,0.6273,504,step_limit,0,17000,211.4
18,1000,370.0,42.402,29,,771,0,4,200,2069,0.5405,738.1,0.5471,115,step_limit,0,18000,230.0
19,1000,280.0,-40.205,23,,921,0,3,47,2895,0.661,701.9,0.7631,576,step_limit,0,19000,247.1
20,1000,450.0,-15.287,34,,704,0,5,47,2417,0.642,792.8,0.6537,337,step_limit,0,20000,265.0
21,1000,320.0,-34.271,27,,890,0,3,50,2793,0.6803,769.9,0.7407,307,step_limit,0,21000,284.2
22,1000,520.0,25.358,38,,999,0,6,76,1842,0.622,862.4,0.4926,59,step_limit,0,22000,301.7
23,1000,480.0,3.713,34,,982,0,6,51,2102,0.6365,734.0,0.5719,81,step_limit,0,23000,319.9
24,1000,380.0,-6.259,30,,913,0,4,67,2367,0.634,770.6,0.6314,212,step_limit,0,24000,337.6
25,1000,380.0,-33.594,30,,528,0,4,23,2644,0.672,853.4,0.7153,436,step_limit,0,25000,356.8
26,1000,350.0,-38.117,27,,750,0,4,26,2756,0.534,666.1,0.7366,382,step_limit,0,26000,373.4
27,1000,500.0,-6.062,36,,985,0,6,41,2252,0.6583,859.7,0.6064,151,step_limit,0,27000,392.1
28,1000,520.0,2.712,38,,823,0,6,34,2067,0.653,893.0,0.5548,138,step_limit,0,28000,411.1
29,1000,380.0,-26.346,30,,720,0,4,29,2560,0.624,821.4,0.6844,223,step_limit,0,29000,429.1
30,1000,400.0,-3.852,32,,790,0,4,96,2448,0.6478,835.9,0.6442,167,step_limit,0,30000,447.5
31,1000,430.0,-26.565,32,,571,0,5,32,2560,0.6787,882.5,0.6937,179,step_limit,0,31000,464.8
32,1000,440.0,-19.619,33,,975,0,5,44,2492,0.6435,804.3,0.6725,173,step_limit,0,32000,483.7
33,1000,300.0,-47.969,25,,693,0,3,24,2926,0.5435,640.9,0.779,249,step_limit,0,33000,500.5
34,1000,440.0,-26.244,33,,849,0,5,32,2554,0.605,792.7,0.6887,189,step_limit,0,34000,518.7
35,1000,400.0,-19.192,32,,895,0,4,29,2448,0.6312,865.5,0.6486,80,step_limit,0,35000,536.1
36,1000,540.0,1.329,40,,889,0,6,50,2131,0.6388,965.2,0.5802,95,step_limit,0,36000,554.1
37,1000,370.0,-27.873,29,,900,0,4,24,2573,0.6165,775.9,0.6859,356,step_limit,0,37000,570.7
38,1000,390.0,-25.872,31,,844,0,4,24,2546,0.6825,743.7,0.6715,153,step_limit,0,38000,589.3
39,1000,230.0,-65.347,21,,993,0,2,17,3209,0.71,708.9,0.8455,467,step_limit,0,39000,606.7
40,1000,280.0,-51.623,23,,635,0,3,29,3018,0.4835,686.0,0.7987,627,step_limit,0,40000,625.9
