episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,40.4167,5.6489,6.1667,0.0,0.6071,854.1295,0,1,812.2
100,40.8333,2.6087,6.1667,0.0,0.6053,860.5674,0,1,1718.7
150,41.1667,3.5316,5.9167,0.0,0.6,876.8475,0,1,2634.1
200,41.25,5.3716,6.25,0.0,0.6132,857.8926,0,1,3558.2
250,42.25,4.3993,6.5833,0.0,0.6008,871.9611,0,1,4468.6
300,39.3333,5.2334,6.0,0.0,0.6121,830.2256,0,0,5383.2
350,40.0,6.377,5.9167,0.0,0.6079,840.7229,0,0,6287.4
400,43.25,3.0856,7.0833,0.0,0.622,890.2209,0,1,7208.7
450,43.5833,3.3531,6.9167,0.0,0.6225,875.2825,0,1,8131.1
500,41.5,4.3684,6.5,0.0,0.6168,856.1909,0,0,9040.0
550,41.9167,3.303,6.6667,0.0,0.6163,872.6621,0,0,9941.7
600,42.0833,2.465,6.6667,0.0,0.6035,862.7365,0,0,10852.1
650,40.8333,3.8694,6.4167,0.0,0.6183,839.5676,0,0,11763.6
700,41.5,4.2328,6.4167,0.0,0.5916,845.5725,0,0,12681.6
750,40.75,2.1262,5.9167,0.0,0.5923,849.5196,0,0,13586.8
800,40.4167,3.4751,6.25,0.0,0.5986,856.6573,0,0,14488.9
850,39.75,1.7381,6.1667,0.0,0.566,848.2304,0,0,15402.4
900,40.75,2.5536,6.25,0.0,0.587,856.5291,0,0,16312.9
950,39.5,2.6615,6.0,0.0,0.5852,848.3181,0,0,17233.2
1000,40.3333,3.1447,5.9167,0.0,0.5805,848.0653,0,0,18149.0
1050,39.1667,2.9392,5.8333,0.0,0.5668,843.0993,0,0,19059.5
1100,39.9167,3.2521,6.5,0.0,0.5774,839.0788,0,0,19979.3
1150,39.75,3.443,5.9167,0.0,0.5653,855.0109,0,0,20875.7
1200,39.5,3.4278,5.5833,0.0,0.5642,844.6847,0,0,21606.3
