episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,420.0,23.717,34,,932,0,4,40,1745,0.6242,878.7,0.4523,80,step_limit,0,1000,2.1
2,1000,530.0,27.256,39,,885,0,6,52,1608,0.6567,873.3,0.4318,87,step_limit,0,2000,3.8
3,1000,300.0,-7.444,25,,979,0,3,24,2251,0.647,752.6,0.5796,53,step_limit,0,3000,5.7
4,1000,460.0,31.439,35,,981,0,5,34,1529,0.6395,885.9,0.3981,54,step_limit,0,4000,7.4
5,1000,480.0,24.613,34,,769,0,6,50,1766,0.637,912.8,0.4554,108,step_limit,0,5000,9.2
6,1000,380.0,-0.298,30,,864,0,4,27,2106,0.6725,831.3,0.5484,121,step_limit,0,6000,13.8
7,1000,320.0,332.837,27,,694,0,3,1344,1329,0.3187,701.6,0.3522,140,step_limit,0,7000,30.5
8,1000,530.0,85.738,39,,885,0,6,283,1573,0.5497,855.4,0.4268,106,step_limit,0,8000,48.1
9,1000,440.0,128.479,33,,686,0,5,535,1787,0.5295,876.6,0.4798,52,step_limit,0,9000,66.1
10,1000,470.0,64.836,33,,991,0,6,274,1879,0.5763,817.7,0.5037,175,step_limit,0,10000,83.7
11,1000,510.0,32.743,37,,957,0,6,119,1829,0.5833,858.8,0.4913,81,step_limit,0,11000,103.0
12,1000,470.0,6.032,36,,972,0,5,44,2028,0.606,905.7,0.5532,130,step_limit,0,12000,121.8
13,1000,650.0,101.402,48,,984,0,7,304,1358,0.5657,909.0,0.3748,127,step_limit,0,13000,139.5
14,1000,350.0,4.426,27,,537,0,4,129,2417,0.5747,741.4,0.6447,336,step_limit,0,14000,157.8
15,1000,530.0,76.086,39,,820,0,6,237,1530,0.5835,858.5,0.4079,132,step_limit,0,15000,174.6
16,1000,600.0,111.992,43,,828,0,7,412,1536,0.5465,878.9,0.4246,35,step_limit,0,16000,192.5
17,1000,310.0,-28.876,26,,764,0,3,72,2789,0.6623,702.4,0.7399,200,step_limit,0,17000,209.0
18,1000,410.0,-8.742,30,,625,0,5,78,2418,0.5008,782.3,0.6538,474,step_limit,0,18000,229.0
19,1000,540.0,32.775,40,,967,0,6,88,1698,0.6025,913.2,0.4579,63,step_limit,0,19000,246.4
20,1000,540.0,50.209,40,,880,0,6,182,1762,0.6318,856.5,0.4774,151,step_limit,0,20000,263.2
21,1000,360.0,286.003,31,,990,0,3,1009,910,0.336,848.6,0.2263,56,step_limit,0,21000,282.7
22,1000,510.0,59.631,40,,955,0,5,200,1684,0.5982,888.9,0.4541,122,step_limit,0,22000,300.1
23,1000,620.0,24.873,45,,972,0,7,45,1624,0.6278,910.7,0.4483,89,step_limit,0,23000,319.0
24,1000,530.0,18.212,39,,950,0,6,41,1753,0.629,960.5,0.4756,84,step_limit,0,24000,336.5
25,1000,550.0,14.388,41,,947,0,6,38,1835,0.648,869.7,0.488,44,step_limit,0,25000,355.2
26,1000,650.0,24.838,45,,877,0,8,46,1631,0.6352,895.0,0.4491,44,step_limit,0,26000,373.7
27,1000,620.0,24.597,45,,894,0,7,41,1685,0.6315,882.4,0.4481,38,step_limit,0,27000,391.0
28,1000,410.0,-13.698,33,,1000,0,4,29,2279,0.6735,908.6,0.6099,179,step_limit,0,28000,410.0
29,1000,540.0,23.756,40,,989,0,6,37,1647,0.6515,868.5,0.4336,100,step_limit,0,29000,426.9
30,1000,630.0,33.014,46,,982,0,7,65,1578,0.6478,920.0,0.4338,46,step_limit,0,30000,446.0
31,1000,450.0,0.835,34,,964,0,5,33,2049,0.5743,754.2,0.5403,79,step_limit,0,31000,463.8
32,1000,500.0,28.835,39,,987,0,5,36,1510,0.6112,893.9,0.4046,35,step_limit,0,32000,481.7
33,1000,580.0,29.025,41,,943,0,7,49,1609,0.6432,939.7,0.4316,32,step_limit,0,33000,498.2
34,1000,480.0,3.291,37,,982,0,5,40,2052,0.6538,892.8,0.5502,127,step_limit,0,34000,516.6
35,1000,590.0,22.085,45,,978,0,6,48,1719,0.6565,887.8,0.4669,102,step_limit,0,35000,534.2
36,1000,600.0,36.192,43,,951,0,7,65,1550,0.6255,967.6,0.4157,34,step_limit,0,36000,553.9
37,1000,460.0,20.407,35,,700,0,5,69,1905,0.619,859.4,0.4979,86,step_limit,0,37000,571.1
38,1000,460.0,-4.386,35,,910,0,5,36,2185,0.609,809.6,0.5788,70,step_limit,0,38000,589.8
39,1000,480.0,19.506,37,,989,0,5,95,1953,0.6485,791.7,0.5313,71,step_limit,0,39000,608.9
40,1000,620.0,40.189,45,,963,0,7,43,1296,0.637,907.3,0.355,33,step_limit,0,40000,626.1
41,1000,440.0,20.661,33,,821,0,5,51,1835,0.5915,880.4,0.4812,105,step_limit,0,41000,644.3
42,1000,450.0,9.171,34,,994,0,5,67,2033,0.5877,789.7,0.5486,134,step_limit,0,42000,662.4
43,1000,550.0,28.901,41,,951,0,6,39,1555,0.6535,913.4,0.4077,35,step_limit,0,43000,682.4
44,1000,490.0,38.152,38,,943,0,5,119,1735,0.5817,855.9,0.4585,43,step_limit,0,44000,699.3
45,1000,590.0,44.156,45,,920,0,6,44,1254,0.657,972.6,0.3301,31,step_limit,0,45000,718.0
46,1000,410.0,-3.222,33,,910,0,4,32,2163,0.6388,812.9,0.5624,151,step_limit,0,46000,735.3
47,1000,470.0,29.215,36,,927,0,5,65,1693,0.6052,913.2,0.4348,37,step_limit,0,47000,753.5
48,1000,340.0,-18.401,26,,495,0,4,44,2489,0.6338,724.2,0.6602,453,step_limit,0,48000,769.9
49,1000,370.0,7.483,29,,984,0,4,63,2153,0.6085,862.0,0.5563,140,step_limit,0,49000,786.6
