episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,37.9167,8.529,5.8333,0.0,0.5986,828.5146,0,1,810.7
100,42.1667,3.7602,6.9167,0.0,0.6203,869.8189,0,1,1726.1
150,39.8333,3.2617,5.9167,0.0,0.6135,859.3931,0,0,2631.0
200,40.5833,4.3867,6.0833,0.0,0.6175,865.2882,0,0,3529.7
250,40.8333,4.6696,6.3333,0.0,0.6181,855.132,0,0,4449.6
300,41.5,3.5237,6.3333,0.0,0.6262,874.9884,0,0,5358.7
350,42.5833,3.1214,6.6667,0.0,0.6281,868.7297,0,1,6263.1
400,42.75,2.4195,6.5833,0.0,0.6221,871.5496,0,1,7177.6
450,40.5,4.0723,6.5833,0.0,0.6075,858.0253,0,0,8081.7
500,41.25,2.1262,6.75,0.0,0.604,892.1158,0,0,8998.9
550,40.1667,3.0505,6.3333,0.0,0.5827,830.533,0,0,9915.6
600,41.0,2.3452,6.5,0.0,0.5958,841.5822,0,0,10822.0
650,40.4167,2.7826,6.1667,0.0,0.6036,857.1842,0,0,11732.1
700,41.8333,1.5723,6.25,0.0,0.5879,863.0773,0,0,12643.4
750,40.3333,2.9814,6.0833,0.0,0.5873,884.3374,0,0,13547.4
800,41.1667,1.9508,6.8333,0.0,0.5881,843.2655,0,0,14459.8
850,39.6667,4.6607,5.6667,0.0,0.59,837.2217,0,0,15367.1
900,39.9167,3.6619,5.9167,0.0,0.59,850.4008,0,0,16280.0
950,41.5,3.8406,6.5,0.0,0.6012,870.1325,0,0,17188.6
1000,40.0833,4.232,6.0,0.0,0.5917,839.4012,0,0,18083.4
1050,39.75,3.4911,5.9167,0.0,0.5742,839.0121,0,0,18991.7
1100,40.75,3.443,6.1667,0.0,0.5826,847.4437,0,0,19895.4
1150,39.75,2.8025,6.25,0.0,0.5817,847.6483,0,0,20798.4
