episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,480.0,27.376,37,,973,0,5,33,1553,0.5968,817.6,0.4141,96,step_limit,0,1000,1.8
2,1000,420.0,6.602,34,,972,0,4,26,1979,0.646,805.4,0.5141,67,step_limit,0,2000,3.3
3,1000,600.0,37.492,43,,997,0,7,32,1380,0.603,962.0,0.3566,18,step_limit,0,3000,4.8
4,1000,360.0,10.373,31,,986,0,3,42,1930,0.5965,763.8,0.5059,58,step_limit,0,4000,8.1
5,1000,640.0,53.847,44,,965,0,8,38,1119,0.5915,914.4,0.2885,20,step_limit,0,5000,9.5
6,1000,460.0,41.622,35,,816,0,5,76,1499,0.5633,891.4,0.3866,53,step_limit,0,6000,12.6
7,1000,250.0,-25.764,23,,438,0,2,94,2832,0.6597,789.8,0.7467,498,step_limit,0,7000,27.0
8,1000,280.0,-45.018,23,,377,0,3,47,2965,0.647,732.1,0.7872,557,step_limit,0,8000,46.7
9,1000,210.0,9.662,19,,414,0,2,265,2933,0.6025,603.7,0.7681,404,step_limit,0,9000,63.7
10,1000,210.0,70.602,19,,587,0,2,485,2706,0.4612,593.2,0.7113,428,step_limit,0,10000,82.5
11,1000,150.0,-14.67,16,,352,0,1,179,2996,0.5925,575.5,0.7755,642,step_limit,0,11000,99.6
12,1000,100.0,-61.02,14,,237,0,0,52,3318,0.681,748.5,0.857,659,step_limit,0,12000,117.8
13,1000,420.0,-21.934,31,,567,0,5,39,2491,0.6155,706.6,0.672,427,step_limit,0,13000,136.0
14,1000,380.0,229.416,30,,993,0,4,943,1725,0.3685,705.9,0.4544,10,step_limit,0,14000,154.3
15,1000,370.0,-1.898,29,,563,0,4,106,2441,0.6385,778.8,0.6477,344,step_limit,0,15000,171.7
16,1000,530.0,3.499,39,,870,0,6,43,2013,0.6715,888.1,0.55,237,step_limit,0,16000,190.5
17,1000,550.0,5.71,41,,932,0,6,43,1932,0.6322,889.2,0.5333,223,step_limit,0,17000,208.9
18,1000,390.0,-15.694,31,,557,0,4,30,2367,0.6485,769.1,0.6339,109,step_limit,0,18000,227.0
19,1000,460.0,30.19,35,,893,0,5,84,1761,0.6022,789.0,0.4758,46,step_limit,0,19000,246.2
20,1000,460.0,29.783,35,,959,0,5,103,1904,0.5847,838.8,0.4917,79,step_limit,0,20000,264.1
21,1000,520.0,0.309,38,,949,0,6,29,2037,0.6168,829.2,0.5521,115,step_limit,0,21000,283.3
22,1000,450.0,-10.235,34,,943,0,5,38,2245,0.6368,878.6,0.6057,166,step_limit,0,22000,302.4
23,1000,390.0,-13.218,31,,923,0,4,45,2408,0.6035,784.7,0.6402,123,step_limit,0,23000,319.3
24,1000,440.0,1.136,33,,966,0,5,40,2061,0.5185,803.8,0.5569,303,step_limit,0,24000,338.3
25,1000,520.0,33.336,38,,999,0,6,138,1916,0.584,901.9,0.5123,33,step_limit,0,25000,355.7
26,1000,460.0,24.974,35,,928,0,5,102,1981,0.6148,883.6,0.5144,58,step_limit,0,26000,373.2
27,1000,440.0,-12.842,33,,811,0,5,31,2284,0.6415,750.9,0.6143,179,step_limit,0,27000,393.1
28,1000,570.0,28.049,43,,977,0,6,43,1630,0.6285,889.9,0.4373,62,step_limit,0,28000,409.5
29,1000,530.0,2.353,39,,971,0,6,37,2022,0.6597,860.7,0.5441,140,step_limit,0,29000,428.2
30,1000,400.0,-10.893,32,,667,0,4,36,2296,0.6355,890.1,0.6132,256,step_limit,0,30000,444.9
31,1000,600.0,42.813,43,,893,0,7,49,1388,0.6205,918.1,0.3729,35,step_limit,0,31000,463.4
32,1000,610.0,40.893,44,,986,0,7,44,1383,0.6593,905.0,0.3722,26,step_limit,0,32000,480.5
33,1000,440.0,-8.251,33,,966,0,5,31,2219,0.6737,852.8,0.591,238,step_limit,0,33000,499.0
34,1000,450.0,-4.619,34,,874,0,5,47,2193,0.6542,844.6,0.5881,94,step_limit,0,34000,516.8
35,1000,580.0,18.815,44,,924,0,6,37,1730,0.664,907.9,0.4717,80,step_limit,0,35000,535.7
36,1000,470.0,0.39,36,,991,0,5,34,2028,0.629,876.8,0.5497,112,step_limit,0,36000,552.7
37,1000,460.0,-3.936,35,,967,0,5,43,2220,0.6597,885.2,0.5935,159,step_limit,0,37000,571.6
38,1000,490.0,-8.193,38,,976,0,5,34,2233,0.6328,859.8,0.5919,78,step_limit,0,38000,588.5
39,1000,570.0,8.413,40,,911,0,7,36,1931,0.6415,880.5,0.5143,52,step_limit,0,39000,606.6
40,1000,460.0,-6.442,35,,848,0,5,52,2281,0.5793,821.1,0.6103,217,step_limit,0,40000,623.3
41,1000,630.0,17.489,46,,998,0,7,47,1794,0.6577,962.0,0.4931,198,step_limit,0,41000,641.1
42,1000,470.0,10.009,36,,729,0,5,34,1888,0.654,890.1,0.4955,60,step_limit,0,42000,657.6
43,1000,430.0,-13.611,32,,993,0,5,28,2321,0.6178,814.7,0.6129,81,step_limit,0,43000,676.0
44,1000,540.0,6.1,40,,938,0,6,44,2008,0.6637,870.5,0.5407,134,step_limit,0,44000,693.8
45,1000,420.0,-15.883,31,,945,0,5,46,2427,0.6562,739.7,0.6477,186,step_limit,0,45000,710.6
46,1000,510.0,16.671,40,,855,0,5,55,1863,0.5683,878.7,0.5059,61,step_limit,0,46000,729.5
47,1000,490.0,1.848,38,,826,0,5,35,2019,0.6565,878.2,0.5478,115,step_limit,0,47000,746.7
48,1000,560.0,27.541,42,,834,0,6,55,1651,0.644,958.7,0.4418,39,step_limit,0,48000,765.3
49,1000,580.0,34.531,41,,900,0,7,45,1472,0.589,879.2,0.4009,52,step_limit,0,49000,782.5
50,1000,570.0,18.665,40,,811,0,7,42,1758,0.6105,885.4,0.4778,41,step_limit,0,50000,800.9
51,1000,490.0,3.62,35,,859,0,6,31,1989,0.5905,850.7,0.5319,56,step_limit,0,51000,825.7
52,1000,580.0,50.352,41,,905,0,7,39,1223,0.6088,870.4,0.3167,38,step_limit,0,52000,843.1
53,1000,230.0,-48.56,21,,328,0,2,18,2898,0.5212,788.1,0.7538,372,step_limit,0,53000,861.8
54,1000,490.0,8.83,38,,978,0,5,47,1985,0.6232,851.2,0.5357,46,step_limit,0,54000,879.2
55,1000,460.0,-10.548,35,,758,0,5,34,2259,0.6715,810.6,0.6118,108,step_limit,0,55000,898.0
56,1000,540.0,43.546,40,,988,0,6,81,1489,0.6038,909.7,0.4007,35,step_limit,0,56000,914.7
57,1000,410.0,-2.85,33,,997,0,4,33,2152,0.656,848.8,0.5732,99,step_limit,0,57000,933.4
58,1000,510.0,45.549,40,,930,0,5,85,1515,0.5835,893.8,0.4031,63,step_limit,0,58000,950.5
59,1000,550.0,29.965,41,,914,0,6,39,1510,0.6315,887.6,0.4018,30,step_limit,0,59000,969.5
60,1000,630.0,35.411,43,,900,0,8,47,1472,0.6395,976.4,0.3853,35,step_limit,0,60000,986.2
61,1000,340.0,-29.821,29,,745,0,3,28,2602,0.6683,795.4,0.695,131,step_limit,0,61000,1005.7
62,1000,640.0,44.671,44,,883,0,8,53,1341,0.639,931.9,0.3517,32,step_limit,0,62000,1023.2
63,1000,550.0,14.682,41,,984,0,6,40,1827,0.658,890.6,0.4991,79,step_limit,0,63000,1041.2
64,1000,490.0,4.342,35,,988,0,6,28,2025,0.6332,822.2,0.5366,58,step_limit,0,64000,1058.5
65,1000,600.0,22.402,43,,723,0,7,45,1724,0.661,952.1,0.471,36,step_limit,0,65000,1077.1
66,1000,550.0,27.997,41,,884,0,6,39,1603,0.6172,873.4,0.4325,56,step_limit,0,66000,1093.7
67,1000,560.0,48.447,42,,905,0,6,76,1331,0.607,860.0,0.3563,67,step_limit,0,67000,1112.3
68,1000,510.0,15.104,40,,949,0,5,40,1815,0.6332,916.0,0.4886,54,step_limit,0,68000,1131.1
69,1000,530.0,16.477,39,,963,0,6,44,1834,0.631,960.6,0.4858,95,step_limit,0,69000,1147.7
70,1000,470.0,10.489,36,,988,0,5,40,1953,0.6292,885.3,0.5223,59,step_limit,0,70000,1168.9
71,1000,460.0,-3.29,35,,927,0,5,30,2139,0.666,919.8,0.5684,39,step_limit,0,71000,1189.5
72,1000,340.0,-11.323,29,,744,0,3,31,2305,0.658,752.5,0.6065,72,step_limit,0,72000,1208.8
73,1000,430.0,16.185,35,,969,0,4,30,1774,0.6348,875.5,0.4778,43,step_limit,0,73000,1226.4
74,1000,560.0,20.607,42,,980,0,6,34,1621,0.6265,891.0,0.4471,55,step_limit,0,74000,1244.8
75,1000,580.0,23.226,44,,978,0,6,39,1646,0.6252,948.6,0.444,52,step_limit,0,75000,1261.3
76,1000,580.0,29.896,41,,883,0,7,39,1555,0.63,874.3,0.4073,36,step_limit,0,76000,1279.4
77,1000,280.0,-44.587,23,,345,0,3,25,2885,0.6585,669.4,0.7582,617,step_limit,0,77000,1297.2
78,1000,510.0,10.902,37,,988,0,6,39,1924,0.6345,911.3,0.5133,51,step_limit,0,78000,1316.8
79,1000,570.0,23.748,40,,943,0,7,48,1700,0.595,874.4,0.4524,57,step_limit,0,79000,1334.6
80,1000,540.0,14.703,40,,979,0,6,38,1840,0.6165,879.0,0.4943,81,step_limit,0,80000,1351.2
81,1000,520.0,3.857,38,,971,0,6,42,2033,0.6145,886.0,0.5451,98,step_limit,0,81000,1369.6
82,1000,590.0,46.501,42,,838,0,7,70,1364,0.6068,906.0,0.3668,25,step_limit,0,82000,1387.6
83,1000,550.0,22.207,41,,953,0,6,37,1641,0.6485,895.5,0.4395,36,step_limit,0,83000,1405.1
84,1000,500.0,18.393,39,,978,0,5,46,1807,0.6298,884.4,0.4778,32,step_limit,0,84000,1422.8
