episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,40.0833,5.1552,6.0833,0.0,0.6249,845.7325,0,1,805.5
100,41.3333,3.5198,6.3333,0.0,0.6241,878.9196,0,1,1709.5
150,39.5833,6.7139,6.0833,0.0,0.616,849.6823,0,0,2615.0
200,39.75,5.0187,5.6667,0.0,0.6341,846.6519,0,0,3518.8
250,42.25,2.3496,6.4167,0.0,0.6308,894.2848,0,1,4425.2
300,42.6667,3.5668,6.5833,0.0,0.6328,876.5782,0,1,5330.1
350,42.5833,3.6619,6.75,0.0,0.6235,877.5327,0,0,6242.9
400,40.9167,4.991,6.0,0.0,0.6167,858.8384,0,0,7152.1
450,41.25,3.9607,6.6667,0.0,0.6256,878.4469,0,0,8052.7
500,41.0,4.7958,6.75,0.0,0.6104,857.2418,0,0,8957.5
550,40.4167,2.9849,6.5833,0.0,0.6073,856.7339,0,0,9869.4
600,41.5833,2.2158,6.6667,0.0,0.6165,845.4552,0,0,10772.1
650,40.5833,3.9042,6.3333,0.0,0.6222,837.7838,0,0,11675.8
700,41.4167,3.4268,6.5833,0.0,0.5959,860.3728,0,0,12583.0
750,43.25,2.6497,7.0,0.0,0.6001,864.2818,0,1,13502.4
800,41.8333,3.8909,6.75,0.0,0.6031,848.8532,0,0,14420.4
850,40.25,3.4911,6.0833,0.0,0.5885,856.6841,0,0,15326.5
900,40.3333,4.5522,6.0,0.0,0.5938,877.3405,0,0,16231.7
950,39.6667,2.7789,5.8333,0.0,0.5741,852.0905,0,0,17129.5
1000,40.0833,3.4751,6.25,0.0,0.5565,864.3308,0,0,18029.2
1050,39.6667,4.1899,6.1667,0.0,0.5662,832.3545,0,0,18923.3
1100,39.75,3.1918,6.0833,0.0,0.5544,818.8269,0,0,19823.2
1150,36.4167,4.6271,5.4167,0.0,0.5325,803.2737,0,0,20728.9
1200,39.8333,2.0344,5.9167,0.0,0.576,853.4711,0,0,21454.6
1250,41.25,3.0035,6.1667,0.0,0.5874,854.8538,0,0,22067.2
1300,38.1667,3.1842,6.0,0.0,0.5494,826.9961,0,0,22642.9
1350,39.0833,3.3778,5.9167,0.0,0.5605,839.6566,0,0,23142.8
1400,38.5,2.7538,6.0833,0.0,0.5488,839.4395,0,0,23584.9
1450,38.6667,3.7044,6.1667,0.0,0.5499,823.339,0,0,24025.5
1500,39.6667,2.8674,6.0,0.0,0.5594,837.5631,0,0,24466.5
