episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,509.35,34.785,37,,973,0,6,31,1463,0.5773,915.8,0.3804,75,step_limit,0,1000,1.9
2,1000,499.45,27.194,39,,994,0,5,31,1613,0.6743,886.7,0.4189,31,step_limit,0,2000,3.5
3,1000,519.55,34.255,41,,985,0,5,35,1428,0.6458,939.2,0.3813,20,step_limit,0,3000,5.1
4,1000,499.3,52.26,36,,979,0,6,43,1225,0.5763,813.2,0.3151,36,step_limit,0,4000,6.6
5,1000,459.25,21.319,35,,865,0,5,27,1661,0.5775,882.5,0.4339,38,step_limit,0,5000,8.2
6,1000,569.5,40.43,40,,889,0,7,66,1470,0.5978,966.1,0.3897,24,step_limit,0,6000,13.2
7,1000,589.6,69.555,42,,925,0,7,245,1699,0.599,884.9,0.4614,75,step_limit,0,7000,27.2
8,1000,489.25,1.815,35,,924,0,6,90,2214,0.63,801.4,0.6048,276,step_limit,0,8000,45.5
9,1000,579.7,87.676,44,,869,0,6,267,1390,0.5942,971.8,0.3751,65,step_limit,0,9000,62.4
10,1000,569.5,74.26,40,,977,0,7,206,1436,0.5777,864.2,0.3834,100,step_limit,0,10000,81.1
11,1000,469.3,52.162,36,,922,0,5,178,1692,0.5917,916.2,0.4503,66,step_limit,0,11000,98.1
12,1000,268.6,616.177,22,,447,0,3,2370,262,0.1583,665.1,0.0662,13,step_limit,0,12000,116.1
13,1000,328.9,1.75,28,,627,0,3,134,2475,0.6285,777.5,0.6603,338,step_limit,0,13000,134.5
14,1000,469.3,99.223,36,,991,0,5,320,1456,0.5643,899.2,0.3884,74,step_limit,0,14000,151.6
15,1000,178.45,738.906,19,,239,0,1,2885,98,0.1165,657.3,0.0226,7,step_limit,0,15000,169.5
16,1000,499.45,108.038,39,,986,0,5,275,1151,0.515,861.3,0.2948,39,step_limit,0,16000,185.9
17,1000,399.1,288.301,32,,904,0,4,1112,1475,0.421,786.3,0.3887,17,step_limit,0,17000,204.4
18,1000,439.3,10.74,36,,975,0,4,36,1904,0.6252,859.5,0.504,94,step_limit,0,18000,221.2
19,1000,509.5,4.138,40,,994,0,5,55,2084,0.5547,914.2,0.5565,197,step_limit,0,19000,239.4
20,1000,459.25,-8.648,35,,933,0,5,40,2266,0.6405,907.3,0.6068,99,step_limit,0,20000,256.3
21,1000,599.5,44.519,40,,854,0,8,90,1468,0.6032,889.6,0.3867,56,step_limit,0,21000,272.5
22,1000,449.2,29.158,34,,948,0,5,41,1631,0.6225,870.1,0.4245,57,step_limit,0,22000,291.2
23,1000,338.95,-24.462,29,,802,0,3,26,2531,0.658,789.8,0.6651,116,step_limit,0,23000,308.0
24,1000,619.75,53.658,45,,977,0,7,104,1321,0.6258,885.7,0.3584,30,step_limit,0,24000,326.1
25,1000,519.4,55.42,38,,963,0,6,116,1403,0.58,830.2,0.3661,136,step_limit,0,25000,343.2
26,1000,579.7,28.047,44,,958,0,6,43,1583,0.6285,910.1,0.4245,42,step_limit,0,26000,361.5
27,1000,549.55,28.495,41,,976,0,6,41,1559,0.6072,866.4,0.4189,73,step_limit,0,27000,378.1
28,1000,559.6,42.551,42,,933,0,6,76,1474,0.6052,965.8,0.3886,54,step_limit,0,28000,398.0
29,1000,469.3,11.591,36,,819,0,5,73,2062,0.648,888.2,0.5465,315,step_limit,0,29000,414.7
30,1000,489.4,25.024,38,,969,0,5,88,1854,0.6202,866.1,0.4958,49,step_limit,0,30000,432.1
31,1000,509.5,23.924,40,,889,0,5,37,1650,0.6058,806.3,0.4361,40,step_limit,0,31000,450.8
32,1000,599.65,30.42,43,,917,0,7,51,1589,0.644,913.9,0.4278,27,step_limit,0,32000,467.4
33,1000,349.0,-19.044,30,,982,0,3,26,2393,0.6535,796.1,0.6355,122,step_limit,0,33000,486.0
34,1000,529.45,34.055,39,,859,0,6,49,1491,0.6042,966.8,0.3944,23,step_limit,0,34000,504.5
35,1000,619.75,26.098,45,,872,0,7,50,1616,0.6495,886.9,0.4277,42,step_limit,0,35000,523.7
36,1000,529.45,19.666,39,,996,0,6,44,1786,0.6452,962.9,0.4714,41,step_limit,0,36000,541.5
37,1000,479.35,1.358,37,,978,0,5,30,2067,0.6585,876.7,0.5529,105,step_limit,0,37000,560.4
38,1000,519.55,26.712,41,,991,0,5,39,1541,0.6382,903.3,0.4076,50,step_limit,0,38000,578.3
39,1000,569.65,43.281,43,,947,0,6,40,1319,0.661,966.8,0.3479,30,step_limit,0,39000,597.3
40,1000,449.2,29.094,34,,909,0,5,62,1703,0.606,968.4,0.4424,31,step_limit,0,40000,614.4
41,1000,499.45,18.748,39,,886,0,5,53,1761,0.6552,916.4,0.472,114,step_limit,0,41000,633.1
42,1000,499.3,23.165,36,,1000,0,6,34,1681,0.609,910.7,0.4383,38,step_limit,0,42000,651.9
43,1000,389.05,-0.207,31,,983,0,4,81,2317,0.5867,899.1,0.6152,122,step_limit,0,43000,669.6
44,1000,649.75,47.047,45,,869,0,8,49,1250,0.5965,898.2,0.3223,18,step_limit,0,44000,687.7
45,1000,479.2,12.993,34,,725,0,6,34,1852,0.5787,782.8,0.4957,210,step_limit,0,45000,705.4
46,1000,419.2,8.227,34,,721,0,4,31,1903,0.6272,874.6,0.5105,37,step_limit,0,46000,723.7
47,1000,529.45,24.573,39,,970,0,6,34,1605,0.6665,940.5,0.4297,44,step_limit,0,47000,741.1
48,1000,559.6,13.451,42,,982,0,6,39,1797,0.6338,905.8,0.4891,43,step_limit,0,48000,759.6
49,1000,499.45,7.793,39,,943,0,5,38,1936,0.6532,908.4,0.5108,65,step_limit,0,49000,777.5
50,1000,579.7,22.477,44,,893,0,6,33,1561,0.6142,977.0,0.4289,33,step_limit,0,50000,796.0
51,1000,569.65,27.602,43,,993,0,6,41,1531,0.594,905.5,0.4162,49,step_limit,0,51000,823.3
52,1000,659.8,50.991,46,,970,0,8,47,1203,0.6385,965.6,0.3178,36,step_limit,0,52000,839.4
53,1000,479.35,19.115,37,,921,0,5,33,1745,0.6603,788.7,0.463,32,step_limit,0,53000,858.6
54,1000,479.35,39.023,37,,912,0,5,33,1425,0.6252,895.4,0.3579,26,step_limit,0,54000,875.0
55,1000,268.6,-29.552,22,,955,0,3,18,2585,0.6432,781.5,0.674,165,step_limit,0,55000,893.6
56,1000,379.0,20.218,30,,833,0,4,31,1746,0.6268,758.9,0.4542,79,step_limit,0,56000,909.9
57,1000,419.2,-1.746,34,,996,0,4,31,2136,0.5887,798.0,0.569,192,step_limit,0,57000,929.2
58,1000,389.05,1.938,31,,903,0,4,27,2012,0.6005,759.0,0.5353,59,step_limit,0,58000,946.8
59,1000,559.6,42.579,42,,896,0,6,79,1490,0.618,899.1,0.3937,28,step_limit,0,59000,965.8
60,1000,399.1,7.466,32,,905,0,4,29,1951,0.6647,874.7,0.5088,39,step_limit,0,60000,982.4
61,1000,509.35,30.843,37,,993,0,6,34,1505,0.6152,871.0,0.3857,39,step_limit,0,61000,1001.1
62,1000,499.3,2.424,36,,646,0,6,31,2014,0.6385,829.1,0.5493,220,step_limit,0,62000,1018.6
63,1000,449.2,-0.974,34,,950,0,5,30,2100,0.6548,803.7,0.5536,167,step_limit,0,63000,1037.0
64,1000,599.65,26.506,43,,960,0,7,40,1600,0.6105,965.8,0.4305,46,step_limit,0,64000,1056.1
65,1000,479.35,13.828,37,,804,0,5,36,1787,0.581,869.4,0.4808,47,step_limit,0,65000,1072.5
66,1000,569.5,32.93,40,,925,0,7,50,1517,0.611,883.4,0.415,43,step_limit,0,66000,1090.8
