episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,37.4167,8.1492,5.5833,0.0,0.6382,832.5446,0,1,2052.4
100,40.75,6.3787,5.9167,0.0,0.6099,860.7746,0,1,4401.9
150,38.25,7.0371,5.6667,0.0,0.6043,857.0989,0,0,6747.7
200,35.8333,9.1818,5.0833,0.0,0.6033,813.8015,0,0,9091.4
250,34.5,8.3516,5.0,0.0,0.6095,797.8936,0,0,11414.0
300,37.4167,5.866,5.25,0.0,0.5916,820.8908,0,0,13751.8
350,34.3333,8.5959,4.75,0.0,0.6133,792.4315,0,0,15945.5
400,33.0,10.4003,4.6667,0.0,0.5975,786.3938,0,0,18159.0
450,30.5833,6.5506,4.0833,0.0,0.5772,771.2945,0,0,20095.9
500,31.6667,6.4593,4.4167,0.0,0.5937,768.1023,0,0,22116.4
550,30.25,7.5622,4.0,0.0,0.5946,771.0798,0,0,24024.5
600,33.0,5.1153,4.3333,0.0,0.5304,739.3737,0,0,25745.4
650,29.9167,9.0412,3.75,0.0833,0.6415,726.5737,0,0,27354.3
700,30.4167,9.8188,3.8333,0.0,0.6049,748.8328,0,0,28590.5
750,30.3333,9.481,3.8333,0.0,0.5838,765.9497,0,0,29827.0
800,28.0833,10.2831,3.5833,0.0,0.6045,740.8157,0,0,31019.6
850,31.9167,8.2407,4.5,0.0,0.5863,752.5714,0,0,32206.6
