episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,530.0,26.23,39,,869,0,6,52,1716,0.573,834.6,0.4542,132,step_limit,0,1000,2.0
2,1000,620.0,38.652,45,,992,0,7,42,1371,0.6278,897.5,0.3726,21,step_limit,0,2000,3.6
3,1000,590.0,32.33,42,,920,0,7,40,1484,0.5717,859.2,0.4027,38,step_limit,0,3000,5.3
4,1000,530.0,31.94,39,,989,0,6,36,1509,0.6322,891.7,0.3973,43,step_limit,0,4000,7.0
5,1000,580.0,40.143,44,,998,0,6,57,1434,0.6358,897.5,0.3824,21,step_limit,0,5000,8.8
6,1000,630.0,69.117,46,,869,0,7,159,1370,0.6072,851.5,0.3727,90,step_limit,0,6000,18.6
7,1000,250.0,122.799,23,,683,0,2,568,2056,0.48,595.5,0.5416,319,step_limit,0,7000,40.9
8,1000,320.0,35.917,27,,502,0,3,263,2397,0.553,627.2,0.6386,498,step_limit,0,8000,86.7
9,1000,600.0,115.885,43,,731,0,7,408,1540,0.4875,872.2,0.4194,65,step_limit,0,9000,136.6
10,1000,460.0,74.082,35,,890,0,5,270,1736,0.514,846.2,0.4575,106,step_limit,0,10000,184.2
11,1000,520.0,120.265,41,,943,0,5,293,976,0.4637,795.8,0.2677,91,step_limit,0,11000,233.7
12,648,94.08,-43.371,12,,149,0,0,16,2096,0.7164,773.8,0.843,324,no_progress,0,11648,264.5
13,1000,470.0,36.366,36,,976,0,5,117,1770,0.5587,832.9,0.4735,79,step_limit,0,12648,311.7
14,1000,590.0,53.974,42,,997,0,7,76,1184,0.5687,878.9,0.3264,112,step_limit,0,13648,359.1
15,1000,550.0,68.484,41,,983,0,6,170,1375,0.5805,888.9,0.371,72,step_limit,0,14648,408.7
16,1000,570.0,68.341,43,,978,0,6,192,1388,0.516,862.6,0.3776,90,step_limit,0,15648,456.4
17,1000,460.0,4.184,35,,981,0,5,59,2135,0.6318,876.2,0.5754,137,step_limit,0,16648,505.6
18,1000,590.0,113.509,42,,906,0,7,308,1156,0.452,755.0,0.3137,54,step_limit,0,17648,552.9
19,1000,540.0,22.159,40,,697,0,6,36,1668,0.6072,835.9,0.4467,258,step_limit,0,18648,600.1
20,1000,670.0,84.243,47,,940,0,8,150,1053,0.516,909.2,0.2813,22,step_limit,0,19648,650.1
21,1000,560.0,123.727,42,,920,0,6,322,965,0.4808,802.4,0.256,49,step_limit,0,20648,698.1
22,1000,610.0,23.11,41,,937,0,8,32,1616,0.632,854.7,0.4373,40,step_limit,0,21648,747.2
